|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.5/LAR/LAR_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            hed            q             
  1435.90        2500.00       0.151997E-001   99.8720       0.110458       0.203737E-002            NaN  0.297962E-003            NaN            NaN            NaN            NaN            NaN
  1434.81        2500.00       0.210787E-003   99.5367       0.141447       0.321582                 NaN  0.982016E-004            NaN            NaN            NaN            NaN            NaN
  1433.72        2500.00       0.198037E-003   99.5369       0.322214       0.140709                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1432.62        2500.00       0.186174E-003   99.5392       0.140369       0.320279                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1431.53        2500.00       0.182059E-003   99.5414       0.139473       0.318953                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1430.44        2500.00       0.167277E-003   99.5440       0.138994       0.316828                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1429.35        2500.00       0.152108E-003   99.5456       0.137644       0.316307                 NaN  0.330361E-003            NaN            NaN            NaN            NaN            NaN
  1428.25        2500.00       0.140717E-003   99.5472       0.137819       0.314867                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1427.16        2500.00       0.109069E-003   99.5277       0.327981       0.144188                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1426.07        2500.00       0.117594E-003   99.5750       0.295479       0.128850                 NaN  0.536495E-003            NaN            NaN            NaN            NaN            NaN
  1424.98        2500.00                 NaN   99.5674       0.128874E-001  0.342485                 NaN  0.772356E-001            NaN            NaN            NaN            NaN            NaN
  1423.88        2500.00       0.365831E-004   99.5667       0.320703       0.112515                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.79        2500.00       0.935581E-004   99.5577       0.134616       0.307587                 NaN  0.139705E-005            NaN            NaN            NaN            NaN            NaN
  1421.70        2500.00       0.827654E-004   99.5589       0.307415       0.133618                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.61        2500.00       0.696210E-004   99.5616       0.133111       0.305257                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1419.51        2500.00       0.578023E-004   99.2297       0.233922       0.536287                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1418.42        2500.00       0.149687E-004   99.8926       0.327697E-001  0.746256E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1417.33        2500.00       0.427199E-004   99.5759       0.296369       0.126460                 NaN  0.125293E-002            NaN            NaN            NaN            NaN            NaN
  1416.24        2500.00                 NaN   98.9695       0.268421       0.335598                 NaN  0.843576E-001  0.342162                 NaN            NaN            NaN            NaN
  1415.14        2500.00                 NaN   98.8878       0.367600       0.196505                 NaN  0.147756       0.400379                 NaN            NaN            NaN            NaN
  1414.05        2500.00                 NaN   98.9027       0.363913       0.191083                 NaN  0.147109       0.395163                 NaN            NaN            NaN            NaN
  1412.96        2500.00                 NaN   98.9159       0.360713       0.186219                 NaN  0.146470       0.390662                 NaN            NaN            NaN            NaN
  1411.87        2500.00                 NaN   98.9290       0.181044       0.357920                 NaN  0.145881       0.386184                 NaN            NaN            NaN            NaN
  1410.77        2500.00                 NaN   97.8694       0.714156       0.353732                 NaN  0.293074       0.769593                 NaN            NaN            NaN            NaN
  1409.68        2500.00                 NaN   99.9269       0.119143E-001  0.249671E-001            NaN  0.100428E-001  0.261710E-001            NaN            NaN            NaN            NaN
  1408.59        2500.00                 NaN   99.0798       0.148305       0.311566                 NaN  0.128162       0.332129                 NaN            NaN            NaN            NaN
  1407.50        2500.00                 NaN   98.9796       0.162875       0.345833                 NaN  0.143204       0.368492                 NaN            NaN            NaN            NaN
  1406.40        2500.00                 NaN   98.9924       0.342965       0.157788                 NaN  0.142747       0.364135                 NaN            NaN            NaN            NaN
  1405.31        2500.00                 NaN   99.0025       0.341483       0.153215                 NaN  0.142279       0.360538                 NaN            NaN            NaN            NaN
  1404.22        2500.00                 NaN   99.0148       0.149526       0.337938                 NaN  0.141361       0.356329                 NaN            NaN            NaN            NaN
  1403.13        2500.00                 NaN   99.0268       0.336085       0.143740                 NaN  0.141183       0.352149                 NaN            NaN            NaN            NaN
  1402.03        2500.00                 NaN   99.0379       0.332909       0.141155                 NaN  0.139886       0.348110                 NaN            NaN            NaN            NaN
  1400.94        2500.00                 NaN   99.0486       0.330639       0.136815                 NaN  0.139523       0.344456                 NaN            NaN            NaN            NaN
  1399.85        2500.00                 NaN   99.0583       0.130099       0.329234                 NaN  0.140783       0.341619                 NaN            NaN            NaN            NaN
  1398.76        2500.00                 NaN   99.0716       0.132002       0.324093                 NaN  0.136533       0.335814                 NaN            NaN            NaN            NaN
  1397.66        2500.00                 NaN   99.0794       0.324362       0.124813                 NaN  0.137731       0.333656                 NaN            NaN            NaN            NaN
  1396.57        2500.00                 NaN   99.0898       0.121788       0.321663                 NaN  0.136853       0.329870                 NaN            NaN            NaN            NaN
  1395.48        2500.00                 NaN   99.1005       0.319056       0.117925                 NaN  0.136371       0.326189                 NaN            NaN            NaN            NaN
  1394.39        2500.00                 NaN   99.1102       0.113753       0.317352                 NaN  0.135912       0.322752                 NaN            NaN            NaN            NaN
  1393.29        2500.00                 NaN   99.1181       0.109127       0.317412                 NaN  0.135375       0.319964                 NaN            NaN            NaN            NaN
  1392.20        2500.00                 NaN   99.1308       0.311957       0.108389                 NaN  0.133696       0.315164                 NaN            NaN            NaN            NaN
  1391.11        2500.00                 NaN   99.2550       0.269558       0.870211E-001            NaN  0.117381       0.271035                 NaN            NaN            NaN            NaN
  1390.02        2500.00                 NaN   99.0309       0.350588       0.117335                 NaN  0.150007       0.351203                 NaN            NaN            NaN            NaN
  1388.92        2500.00                 NaN   99.1568       0.305928       0.995165E-001            NaN  0.131889       0.305894                 NaN            NaN            NaN            NaN
  1387.83        2500.00                 NaN   99.1668       0.945257E-001  0.304598                 NaN  0.131519       0.302577                 NaN            NaN            NaN            NaN
  1386.74        2500.00                 NaN   99.1748       0.921481E-001  0.302354                 NaN  0.131094       0.299601                 NaN            NaN            NaN            NaN
  1385.65        2500.00                 NaN   99.1836       0.301109       0.888257E-001            NaN  0.130063       0.296385                 NaN            NaN            NaN            NaN
  1384.55        2500.00                 NaN   99.1909       0.299239       0.857380E-001            NaN  0.129991       0.294093                 NaN            NaN            NaN            NaN
