|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.5/LAR/LAR_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            hed            q             
  1435.90        2500.00       0.236071E-001   99.8418       0.131836       0.240209E-002            NaN  0.380879E-003            NaN            NaN            NaN            NaN            NaN
  1434.81        2500.00       0.327030E-003   99.4516       0.168817       0.379084                 NaN  0.125617E-003            NaN            NaN            NaN            NaN            NaN
  1433.72        2500.00       0.307163E-003   99.4516       0.380034       0.168035                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1432.62        2500.00       0.288636E-003   99.4541       0.167704       0.377886                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1431.53        2500.00       0.282231E-003   99.4565       0.166710       0.376472                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1430.44        2500.00       0.259167E-003   99.4594       0.166240       0.374141                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1429.35        2500.00       0.235604E-003   99.4609       0.164717       0.373710                 NaN  0.424093E-003            NaN            NaN            NaN            NaN            NaN
  1428.25        2500.00       0.217878E-003   99.4626       0.165015       0.372167                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1427.16        2500.00       0.168622E-003   99.4394       0.387731       0.172684                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1426.07        2500.00       0.181945E-003   99.4951       0.349587       0.154448                 NaN  0.690494E-003            NaN            NaN            NaN            NaN            NaN
  1424.98        2500.00                 NaN   99.4798       0.154569E-001  0.405318                 NaN  0.993987E-001            NaN            NaN            NaN            NaN            NaN
  1423.88        2500.00       0.565777E-004   99.4851       0.379786       0.135020                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.79        2500.00       0.144588E-003   99.4738       0.161624       0.364409                 NaN  0.180165E-005            NaN            NaN            NaN            NaN            NaN
  1421.70        2500.00       0.127855E-003   99.4750       0.364378       0.160511                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.61        2500.00       0.107539E-003   99.4778       0.160013       0.362032                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1419.51        2500.00       0.891877E-004   99.0828       0.281182       0.635951                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1418.42        2500.00       0.231103E-004   99.8719       0.394563E-001  0.886344E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1417.33        2500.00       0.658953E-004   99.4941       0.351944       0.152256                 NaN  0.162287E-002            NaN            NaN            NaN            NaN            NaN
  1416.24        2500.00                 NaN   98.8369       0.323274       0.398634                 NaN  0.109344       0.331867                 NaN            NaN            NaN            NaN
  1415.14        2500.00                 NaN   98.7457       0.437041       0.236896                 NaN  0.191815       0.388501                 NaN            NaN            NaN            NaN
  1414.05        2500.00                 NaN   98.7615       0.432998       0.230561                 NaN  0.191286       0.383649                 NaN            NaN            NaN            NaN
  1412.96        2500.00                 NaN   98.7753       0.429570       0.224905                 NaN  0.190771       0.379487                 NaN            NaN            NaN            NaN
  1411.87        2500.00                 NaN   98.7888       0.218871       0.426668                 NaN  0.190304       0.375344                 NaN            NaN            NaN            NaN
  1410.77        2500.00                 NaN   97.5903       0.851618       0.427638                 NaN  0.382700       0.747787                 NaN            NaN            NaN            NaN
  1409.68        2500.00                 NaN   99.9170       0.144534E-001  0.298588E-001            NaN  0.131651E-001  0.254998E-001            NaN            NaN            NaN            NaN
  1408.59        2500.00                 NaN   98.9562       0.179842       0.372494                 NaN  0.168051       0.323400                 NaN            NaN            NaN            NaN
  1407.50        2500.00                 NaN   98.8416       0.197679       0.413741                 NaN  0.188036       0.358958                 NaN            NaN            NaN            NaN
  1406.40        2500.00                 NaN   98.8551       0.410630       0.191676                 NaN  0.187677       0.354918                 NaN            NaN            NaN            NaN
  1405.31        2500.00                 NaN   98.8654       0.409269       0.186318                 NaN  0.187423       0.351615                 NaN            NaN            NaN            NaN
  1404.22        2500.00                 NaN   98.8783       0.182021       0.405431                 NaN  0.186502       0.347714                 NaN            NaN            NaN            NaN
  1403.13        2500.00                 NaN   98.8911       0.403515       0.175132                 NaN  0.186459       0.343837                 NaN            NaN            NaN            NaN
  1402.03        2500.00                 NaN   98.9025       0.400139       0.172175                 NaN  0.185142       0.340094                 NaN            NaN            NaN            NaN
  1400.94        2500.00                 NaN   98.9135       0.397768       0.167039                 NaN  0.184943       0.336725                 NaN            NaN            NaN            NaN
  1399.85        2500.00                 NaN   98.9236       0.158985       0.396400                 NaN  0.186903       0.334152                 NaN            NaN            NaN            NaN
  1398.76        2500.00                 NaN   98.9377       0.161477       0.390620                 NaN  0.181566       0.328673                 NaN            NaN            NaN            NaN
  1397.66        2500.00                 NaN   98.9456       0.391329       0.152841                 NaN  0.183473       0.326759                 NaN            NaN            NaN            NaN
  1396.57        2500.00                 NaN   98.9564       0.149294       0.388465                 NaN  0.182581       0.323249                 NaN            NaN            NaN            NaN
  1395.48        2500.00                 NaN   98.9676       0.385653       0.144691                 NaN  0.182244       0.319839                 NaN            NaN            NaN            NaN
  1394.39        2500.00                 NaN   98.9778       0.139706       0.383938                 NaN  0.181898       0.316664                 NaN            NaN            NaN            NaN
  1393.29        2500.00                 NaN   98.9858       0.134167       0.384459                 NaN  0.181468       0.314124                 NaN            NaN            NaN            NaN
  1392.20        2500.00                 NaN   98.9993       0.378166       0.133393                 NaN  0.179520       0.309607                 NaN            NaN            NaN            NaN
  1391.11        2500.00                 NaN   99.1414       0.327098       0.107210                 NaN  0.157882       0.266447                 NaN            NaN            NaN            NaN
  1390.02        2500.00                 NaN   98.8822       0.425725       0.144661                 NaN  0.202023       0.345382                 NaN            NaN            NaN            NaN
  1388.92        2500.00                 NaN   99.0262       0.371955       0.122850                 NaN  0.177943       0.301070                 NaN            NaN            NaN            NaN
  1387.83        2500.00                 NaN   99.0369       0.116783       0.370633                 NaN  0.177681       0.297996                 NaN            NaN            NaN            NaN
  1386.74        2500.00                 NaN   99.0450       0.113978       0.368308                 NaN  0.177430       0.295254                 NaN            NaN            NaN            NaN
  1385.65        2500.00                 NaN   99.0543       0.367153       0.109976                 NaN  0.176293       0.292273                 NaN            NaN            NaN            NaN
  1384.55        2500.00                 NaN   99.0619       0.365214       0.106254                 NaN  0.176465       0.290201                 NaN            NaN            NaN            NaN
  1383.46        2500.00                 NaN   99.0727       0.361737       0.106927                 NaN  0.172702       0.285898                 NaN            NaN            NaN            NaN
  1382.37        2500.00                 NaN   99.0808       0.362066       0.967887E-001            NaN  0.176224       0.284159                 NaN            NaN            NaN            NaN
  1381.28        2500.00                 NaN   99.4018       0.244467       0.252748E-001            NaN  0.135472       0.192937                 NaN            NaN            NaN            NaN
  1380.18        2500.00                 NaN   98.7826       0.474407       0.164510                 NaN  0.211099       0.367419                 NaN            NaN            NaN            NaN
  1379.09        2500.00                 NaN   99.1035       0.910461E-001  0.356905                 NaN  0.172131       0.276398                 NaN            NaN            NaN            NaN
  1378.00        2500.00                 NaN   99.1145       0.353595       0.881422E-001            NaN  0.170823       0.272892                 NaN            NaN            NaN            NaN
  1376.91        2500.00                 NaN   99.1218       0.352729       0.845592E-001            NaN  0.170394       0.270559                 NaN            NaN            NaN            NaN
  1375.81        2500.00                 NaN   99.1281       0.351905       0.817849E-001            NaN  0.169749       0.268463                 NaN            NaN            NaN            NaN
  1374.72        2500.00                 NaN   98.9094       0.986265E-001  0.444759                 NaN  0.212015       0.335239                 NaN            NaN            NaN            NaN
  1373.63        2500.00                 NaN   99.3688       0.255892       0.579589E-001            NaN  0.123488       0.193854                 NaN            NaN            NaN            NaN
  1372.54        2500.00                 NaN   99.1515       0.734220E-001  0.347244                 NaN  0.167017       0.260821                 NaN            NaN            NaN            NaN
  1371.44        2500.00                 NaN   99.1591       0.715163E-001  0.345278                 NaN  0.165844       0.258218                 NaN            NaN            NaN            NaN
  1370.35        2500.00                 NaN   99.1659       0.344810       0.677047E-001            NaN  0.165478       0.256058                 NaN            NaN            NaN            NaN
