|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.5/Y98/Y98_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             ilm            Sp(TH)         San(TH)        q             
  1487.18        2500.00        99.7937                 NaN  0.841328E-001  0.122188                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.96        2500.00        99.2032                 NaN  0.444947       0.351870                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.74        2500.00        99.1461                 NaN  0.301647       0.552205                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.52        2500.00        99.1498                 NaN  0.549683       0.300532                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.30        2500.00        99.1585                 NaN  0.297597       0.543922                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.07        2500.00        99.1594                 NaN  0.544165       0.296450                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.85        2500.00        99.1677                 NaN  0.537816       0.294450                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.63        2500.00        99.1757                 NaN  0.291664       0.532619                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.41        2500.00        99.1401                 NaN  0.557474       0.302431                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.19        2500.00        99.2221                 NaN  0.501529       0.276340                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.97        2500.00        99.1886                 NaN  0.287607       0.523769                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.75        2500.00        99.1933                 NaN  0.521118       0.285624                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.53        2500.00        99.1516                 NaN  0.547789       0.300592                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.31        2500.00        99.2483                 NaN  0.485595       0.266130                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.09        2500.00        99.2080                 NaN  0.280716       0.511284                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.86        2500.00        99.2130                 NaN  0.508433       0.278533                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.64        2500.00        99.2161                 NaN  0.277863       0.505999                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.42        2500.00        99.2213                 NaN  0.276043       0.502647                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.20        2500.00        99.2252                 NaN  0.274639       0.500202                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.98        2500.00        99.2299                 NaN  0.272595       0.497483                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.76        2500.00        99.1840                 NaN  0.526950       0.289036                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.54        2500.00        99.2868                 NaN  0.461153       0.252015                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.32        2500.00        99.2409                 NaN  0.267998       0.491098                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.10        2500.00        99.2455                 NaN  0.487822       0.266695                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.88        2500.00        99.2503                 NaN  0.484292       0.265397                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.65        2500.00        99.2519                 NaN  0.263529       0.484591                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.43        2500.00        99.2565                 NaN  0.262648       0.480860                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.21        2500.00        99.2612                 NaN  0.260810       0.477948                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.99        2500.00        99.1580                 NaN  0.296495       0.545479                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.77        2500.00        99.3727                 NaN  0.222868       0.404481                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.55        2500.00        99.2697                 NaN  0.473131       0.257204                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.33        2500.00        99.2739                 NaN  0.255797       0.470259                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.11        2500.00        99.2770                 NaN  0.254096       0.468850                 NaN            NaN  0.123672E-004            NaN            NaN            NaN            NaN            NaN
  1446.89        2500.00        99.2795                 NaN  0.467668       0.252850                 NaN            NaN  0.415352E-005            NaN            NaN            NaN            NaN            NaN
  1445.67        2500.00        99.2827                 NaN  0.465659       0.251621                 NaN            NaN  0.210389E-005            NaN            NaN            NaN            NaN            NaN
  1444.44        2500.00        99.2854                 NaN  0.250084       0.464468                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.22        2500.00        99.0374                 NaN  0.317514       0.491371                 NaN            NaN  0.237221E-001  0.129957                 NaN            NaN            NaN            NaN
  1442.00        2500.00        98.0470                 NaN  0.629616       0.424200                 NaN            NaN  0.233296       0.665885                 NaN            NaN            NaN            NaN
  1440.78        2500.00        98.0732                 NaN  0.411807       0.624023                 NaN            NaN  0.233358       0.657608                 NaN            NaN            NaN            NaN
  1439.56        2500.00        98.1046                 NaN  0.615358       0.400480                 NaN            NaN  0.232335       0.647239                 NaN            NaN            NaN            NaN
  1438.34        2500.00        98.1348                 NaN  0.388019       0.608367                 NaN            NaN  0.231432       0.637357                 NaN            NaN            NaN            NaN
  1437.12        2500.00        98.1600                 NaN  0.600863       0.376736                 NaN            NaN  0.231863       0.630556                 NaN            NaN            NaN            NaN
  1435.90        2500.00        98.1871                 NaN  0.364469       0.597581                 NaN            NaN  0.230697       0.620196                 NaN            NaN            NaN            NaN
  1434.68        2500.00        98.2153                 NaN  0.589054       0.354412                 NaN            NaN  0.229860       0.611381                 NaN            NaN            NaN            NaN
  1433.46        2500.00        98.2418                 NaN  0.582413       0.343898                 NaN            NaN  0.229198       0.602656                 NaN            NaN            NaN            NaN
  1432.23        2500.00        98.2656                 NaN  0.334076       0.575745                 NaN            NaN  0.229228       0.595356                 NaN            NaN            NaN            NaN
  1431.01        2500.00        98.2905                 NaN  0.570219       0.323637                 NaN            NaN  0.228609       0.587035                 NaN            NaN            NaN            NaN
  1429.79        2500.00        98.3132                 NaN  0.314095       0.564076                 NaN            NaN  0.228597       0.580059                 NaN            NaN            NaN            NaN
  1428.57        2500.00        98.3361                 NaN  0.559407       0.304103                 NaN            NaN  0.228113       0.572263                 NaN            NaN            NaN            NaN
  1427.35        2500.00        98.3603                 NaN  0.294406       0.553129                 NaN            NaN  0.227504       0.564619                 NaN            NaN            NaN            NaN
  1426.13        2500.00        98.3809                 NaN  0.548575       0.285263                 NaN            NaN  0.227408       0.557831                 NaN            NaN            NaN            NaN
  1424.91        2500.00        98.4028                 NaN  0.276321       0.543123                 NaN            NaN  0.227033       0.550723                 NaN            NaN            NaN            NaN
  1423.69        2500.00        98.4248                 NaN  0.538410       0.266616                 NaN            NaN  0.226518       0.543616                 NaN            NaN            NaN            NaN
  1422.47        2500.00        98.4433                 NaN  0.258565       0.534098                 NaN            NaN  0.226548       0.537526                 NaN            NaN            NaN            NaN
  1421.25        2500.00        98.7377                 NaN  0.642975                 NaN            NaN            NaN  0.131983       0.487341                 NaN            NaN            NaN            NaN
  1420.02        2500.00        98.1608                 NaN  0.991743                 NaN            NaN            NaN  0.274900       0.572522                 NaN            NaN            NaN            NaN
  1418.80        2500.00        98.5005                 NaN  0.921094E-001  0.594060                 NaN            NaN  0.280895       0.532475                 NaN            NaN            NaN            NaN
  1417.58        2500.00        98.5704                 NaN  0.216238       0.498918                 NaN            NaN  0.219429       0.495065                 NaN            NaN            NaN            NaN
  1416.36        2500.00        98.5395                 NaN  0.510569       0.221200                 NaN            NaN  0.223148       0.505604                 NaN            NaN            NaN            NaN
  1415.14        2500.00        98.5574                 NaN  0.507041       0.210308                 NaN            NaN  0.224958       0.500326                 NaN            NaN            NaN            NaN
  1413.92        2500.00        98.5740                 NaN  0.503479       0.202715                 NaN            NaN  0.224907       0.494872                 NaN            NaN            NaN            NaN
  1412.70        2500.00        98.5925                 NaN  0.498381       0.195867                 NaN            NaN  0.224414       0.488803                 NaN            NaN            NaN            NaN
  1411.48        2500.00        98.6092                 NaN  0.495341       0.188044                 NaN            NaN  0.224128       0.483253                 NaN            NaN            NaN            NaN
  1410.26        2500.00        98.6248                 NaN  0.181207       0.491794                 NaN            NaN  0.224101       0.478141                 NaN            NaN            NaN            NaN
  1409.04        2500.00        98.2231                 NaN  0.226236       0.637934                 NaN            NaN  0.294062       0.618689                 NaN            NaN            NaN            NaN
  1407.81        2500.00        99.0736                 NaN  0.334140       0.117142                 NaN            NaN  0.153576       0.321525                 NaN            NaN            NaN            NaN
  1406.59        2500.00        98.6711                 NaN  0.481330       0.161573                 NaN            NaN  0.223408       0.462597                 NaN            NaN            NaN            NaN
  1405.37        2500.00        98.6859                 NaN  0.479048       0.153619                 NaN            NaN  0.223352       0.458089                 NaN            NaN            NaN            NaN
  1404.15        2500.00        98.7023                 NaN  0.148012       0.474925                 NaN            NaN  0.222493       0.452224                 NaN            NaN            NaN            NaN
  1402.93        2500.00        98.7157                 NaN  0.141639       0.472068                 NaN            NaN  0.222561       0.448009                 NaN            NaN            NaN            NaN
  1401.71        2500.00        98.7301                 NaN  0.469110       0.135191                 NaN            NaN  0.222377       0.443229                 NaN            NaN            NaN            NaN
  1400.49        2500.00        98.7402                 NaN  0.467199       0.128959                 NaN            NaN  0.223277       0.440327                 NaN            NaN            NaN            NaN
  1399.27        2500.00        98.7624                 NaN  0.123992       0.461177                 NaN            NaN  0.220468       0.431997                 NaN            NaN            NaN            NaN
  1398.05        2500.00        98.7702                 NaN  0.460306       0.118200                 NaN            NaN  0.221515       0.429744                 NaN            NaN            NaN            NaN
  1396.83        2500.00        98.7800                 NaN  0.461362       0.108740                 NaN            NaN  0.222681       0.427233                 NaN            NaN            NaN            NaN
  1395.60        2500.00        98.7979                 NaN  0.108121       0.454370                 NaN            NaN  0.219541       0.420100                 NaN            NaN            NaN            NaN
  1394.38        2500.00        98.8088                 NaN  0.452817       0.101408                 NaN            NaN  0.220301       0.416647                 NaN            NaN            NaN            NaN
  1393.16        2500.00        98.8207                 NaN  0.450625       0.953824E-001            NaN            NaN  0.220351       0.412955                 NaN            NaN            NaN            NaN
  1391.94        2500.00        98.8342                 NaN  0.908706E-001  0.447592                 NaN            NaN  0.219310       0.408063                 NaN            NaN            NaN            NaN
  1390.72        2500.00        98.8449                 NaN  0.854259E-001  0.445806                 NaN            NaN  0.219266       0.404560                 NaN            NaN            NaN            NaN
  1389.50        2500.00        98.8570                 NaN  0.443170       0.804140E-001            NaN            NaN  0.218896       0.400499                 NaN            NaN            NaN            NaN
  1388.28        2500.00        98.8680                 NaN  0.754932E-001  0.441365                 NaN            NaN  0.218480       0.396681                 NaN            NaN            NaN            NaN
  1387.06        2500.00        98.8799                 NaN  0.713444E-001  0.438380                 NaN            NaN  0.217819       0.392522                 NaN            NaN            NaN            NaN
  1385.84        2500.00        98.8825                 NaN  0.437889       0.656125E-001            NaN            NaN  0.220761       0.393234                 NaN            NaN            NaN            NaN
  1384.62        2500.00        98.9118                 NaN  0.431520       0.624307E-001            NaN            NaN  0.213932       0.380318                 NaN            NaN            NaN            NaN
  1383.39        2500.00        98.9131                 NaN  0.584989E-001  0.431952                 NaN            NaN  0.215603       0.380801                 NaN            NaN            NaN            NaN
  1382.17        2500.00        98.9228                 NaN  0.430581       0.534405E-001            NaN            NaN  0.215608       0.377571                 NaN            NaN            NaN            NaN
  1380.95        2500.00        98.9333                 NaN  0.493797E-001  0.428370                 NaN            NaN  0.214997       0.374000                 NaN            NaN            NaN            NaN
  1379.73        2500.00        98.9412                 NaN  0.478263E-001  0.425344                 NaN            NaN  0.214257       0.371386                 NaN            NaN            NaN            NaN
  1378.51        2500.00        98.9548                 NaN  0.389672E-001  0.426320                 NaN            NaN  0.213767       0.366116                 NaN            NaN            NaN            NaN
  1377.29        2500.00        98.9635                 NaN  0.375480E-001  0.422838                 NaN            NaN  0.212803       0.363290                 NaN            NaN            NaN            NaN
  1376.07        2500.00        98.9723                 NaN  0.421253       0.343071E-001            NaN            NaN  0.212097       0.360061                 NaN            NaN            NaN            NaN
  1374.85        2500.00        98.9818                 NaN  0.298204E-001  0.419343                 NaN            NaN  0.211867       0.357154                 NaN            NaN            NaN            NaN
  1373.63        2500.00        98.9826                 NaN  0.422344       0.263773E-001            NaN            NaN  0.212202       0.356427                 NaN            NaN            NaN            NaN
  1372.41        2500.00        99.0085                 NaN  0.412287       0.249010E-001            NaN            NaN  0.207755       0.346605                 NaN            NaN            NaN            NaN
  1371.18        2500.00        99.0106                 NaN  0.413880       0.211254E-001            NaN            NaN  0.208221       0.346158                 NaN            NaN            NaN            NaN
  1369.96        2500.00        99.0187                 NaN  0.412571       0.176872E-001            NaN            NaN  0.207685       0.343363                 NaN            NaN            NaN            NaN
  1368.74        2500.00        99.0271                 NaN  0.145488E-001  0.411259                 NaN            NaN  0.206733       0.340352                 NaN            NaN            NaN            NaN
  1367.52        2500.00        99.0358                 NaN  0.410028       0.114908E-001            NaN            NaN  0.205698       0.336996                 NaN            NaN            NaN            NaN
  1366.30        2500.00        99.0434                 NaN  0.408817       0.899638E-002            NaN            NaN  0.204685       0.334125                 NaN            NaN            NaN            NaN
  1365.08        2500.00        99.0523                 NaN  0.407008       0.648506E-002            NaN            NaN  0.203332       0.330853                 NaN            NaN            NaN            NaN
  1363.86        2500.00        99.0603                 NaN  0.405448       0.410646E-002            NaN            NaN  0.202282       0.327829                 NaN            NaN            NaN            NaN
  1362.64        2500.00        99.0158                 NaN  0.375840       0.722382E-001            NaN            NaN  0.192439       0.343730                 NaN            NaN            NaN            NaN
  1361.42        2500.00        99.1200                 NaN  0.393873                 NaN            NaN            NaN  0.185460       0.300689                 NaN            NaN            NaN            NaN
  1360.20        2500.00        99.0834                 NaN  0.399372                 NaN            NaN            NaN  0.198293       0.318912                 NaN            NaN            NaN            NaN
  1358.97        2500.00        99.0884                 NaN  0.189863E-001  0.387942                 NaN            NaN  0.189451       0.315181                 NaN            NaN            NaN            NaN
  1357.75        2500.00        99.0970                 NaN  0.396023                 NaN            NaN            NaN  0.193820       0.313176                 NaN            NaN            NaN            NaN
  1356.53        2500.00        99.1054                 NaN  0.392264                 NaN            NaN            NaN  0.192426       0.309910                 NaN            NaN            NaN            NaN
  1355.31        2500.00        99.1113                 NaN  0.389108                 NaN            NaN            NaN  0.191721       0.307837                 NaN            NaN            NaN            NaN
  1354.09        2500.00        99.1199                 NaN  0.385652                 NaN            NaN            NaN  0.190049       0.304401                 NaN            NaN            NaN            NaN
  1352.87        2500.00        99.1256                 NaN  0.385358                 NaN            NaN            NaN  0.187287       0.301767                 NaN            NaN            NaN            NaN
  1351.65        2500.00        99.0829                 NaN  0.355654                 NaN            NaN            NaN  0.234504       0.326935                 NaN            NaN            NaN            NaN
  1350.43        2500.00        99.1916                 NaN  0.405333                 NaN            NaN            NaN  0.135323       0.267703                 NaN            NaN            NaN            NaN
  1349.21        2500.00        99.1439                 NaN  0.381665                 NaN            NaN            NaN  0.180593       0.293887                 NaN            NaN            NaN            NaN
  1347.99        2500.00        99.1535                 NaN  0.379066                 NaN            NaN            NaN  0.177623       0.289807                 NaN            NaN            NaN            NaN
  1346.76        2500.00        99.1571                 NaN  0.379077                 NaN            NaN            NaN  0.175696       0.288098                 NaN            NaN            NaN            NaN
  1345.54        2500.00        99.1654                 NaN  0.374099                 NaN            NaN            NaN  0.175030       0.285460                 NaN            NaN            NaN            NaN
