|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.5/Y98/Y98_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             ilm            Sp(TH)         San(TH)        q             
  1487.18        2500.00        99.7662                 NaN  0.948544E-001  0.138946                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.96        2500.00        99.0987                 NaN  0.501385       0.399937                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.74        2500.00        99.0347                 NaN  0.342968       0.622372                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.52        2500.00        99.0384                 NaN  0.619728       0.341857                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.30        2500.00        99.0480                 NaN  0.338623       0.613356                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.07        2500.00        99.0487                 NaN  0.613860       0.337489                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.85        2500.00        99.0578                 NaN  0.606851       0.335321                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.63        2500.00        99.0666                 NaN  0.332270       0.601109                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.41        2500.00        99.0260                 NaN  0.629313       0.344659                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.19        2500.00        99.1187                 NaN  0.566262       0.315028                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.97        2500.00        99.0804                 NaN  0.328023       0.591605                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.75        2500.00        99.0854                 NaN  0.588736       0.325874                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.53        2500.00        99.0378                 NaN  0.619042       0.343125                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.31        2500.00        99.1471                 NaN  0.548978       0.303918                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.09        2500.00        99.1012                 NaN  0.320672       0.578110                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.86        2500.00        99.1066                 NaN  0.575071       0.318288                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.64        2500.00        99.1099                 NaN  0.317664       0.572474                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.42        2500.00        99.1154                 NaN  0.315712       0.568851                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.20        2500.00        99.1195                 NaN  0.314247       0.566270                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.98        2500.00        99.1246                 NaN  0.312045       0.563372                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.76        2500.00        99.0721                 NaN  0.596923       0.330985                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.54        2500.00        99.1887                 NaN  0.522552       0.288736                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.32        2500.00        99.1362                 NaN  0.307134       0.556637                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.10        2500.00        99.1410                 NaN  0.553134       0.305826                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.88        2500.00        99.1463                 NaN  0.549248       0.304452                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.65        2500.00        99.1479                 NaN  0.302418       0.549721                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.43        2500.00        99.1525                 NaN  0.301626       0.545829                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.21        2500.00        99.1578                 NaN  0.299588       0.542615                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.99        2500.00        99.0399                 NaN  0.340692       0.619390                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
