|6.6.6
Archiving\03_Data\eqfrac/QFM_m4/TAY13/TAY13_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        San(TH)        ilm            pxmn           ne             lc            
  1599.36        2500.00       0.842239E-002   99.5662       0.425345                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1597.86        2500.00       0.586063E-003   99.8840       0.722783E-001  0.431856E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.36        2500.00                 NaN   98.8015        1.14485       0.536030E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.85        2500.00       0.276703E-002   98.7516        1.08254       0.163050                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.35        2500.00                 NaN   99.9728       0.238933E-001  0.330426E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.85        2500.00                 NaN   99.3512       0.574639       0.741477E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.35        2500.00                 NaN   98.1494        1.64434       0.206282                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.84        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.34        2500.00                 NaN   99.9706       0.256136E-001  0.376570E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.84        2500.00                 NaN   99.3993       0.530949       0.697584E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.34        2500.00                 NaN   99.3908       0.538748       0.704960E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.84        2500.00                 NaN   98.9897       0.893449       0.116887                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.33        2500.00                 NaN   99.7826       0.192400       0.250356E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.83        2500.00                 NaN   99.8053       0.172171       0.224982E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.33        2500.00                 NaN   99.0441       0.846774       0.109085                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.83        2500.00                 NaN   99.4132       0.521514       0.653221E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.33        2500.00                 NaN   99.4280       0.507644       0.643291E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.82        2500.00                 NaN   99.4280       0.508236       0.637524E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.32        2500.00                 NaN   99.4337       0.501150       0.651102E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.82        2500.00                 NaN   99.4385       0.501405       0.600823E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.32        2500.00                 NaN   99.4377       0.499499       0.628281E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.81        2500.00                 NaN   99.4551       0.484528       0.604215E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.31        2500.00                 NaN   99.4832       0.461490       0.552618E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.81        2500.00                 NaN   99.4262       0.510343       0.634163E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.31        2500.00                 NaN   99.4640       0.477290       0.587281E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.81        2500.00                 NaN   99.5082       0.438330       0.535144E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.30        2500.00                 NaN   99.4313       0.507912       0.608304E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.80        2500.00                 NaN   99.4762       0.467746       0.560936E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.30        2500.00                 NaN   99.4788       0.461897       0.592853E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
