|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.25/KHA22/KHA22_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ne             lc             ilm           
  1586.54        2500.00       0.244084E-001   99.7930       0.182564                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.07        2500.00                 NaN   99.3021       0.693763       0.417452E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.60        2500.00                 NaN   99.3028       0.630299       0.669445E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.13        2500.00                 NaN   99.3096       0.624697       0.656736E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.66        2500.00                 NaN   99.3156       0.619499       0.648650E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.19        2500.00                 NaN   99.3199       0.615902       0.641835E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.72        2500.00                 NaN   99.3286       0.608549       0.628503E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.25        2500.00                 NaN   99.3260       0.608766       0.652157E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.78        2500.00                 NaN   99.3485       0.591654       0.598304E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.31        2500.00                 NaN   99.3450       0.593815       0.612218E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.84        2500.00                 NaN   99.3505       0.589815       0.596758E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.37        2500.00                 NaN   99.3549       0.587226       0.578852E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.90        2500.00                 NaN   99.3612       0.581349       0.574548E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.43        2500.00                 NaN   99.3662       0.576515       0.572389E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.96        2500.00                 NaN   99.3716       0.572231       0.562131E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.49        2500.00                 NaN   99.3757       0.569061       0.552661E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.02        2500.00                 NaN   99.3824       0.562614       0.550280E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.55        2500.00                 NaN   99.3869       0.559025       0.541069E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.08        2500.00                 NaN   99.3915       0.555740       0.527901E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.61        2500.00                 NaN   99.3944       0.552170       0.534033E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.14        2500.00                 NaN   99.4048       0.544454       0.507574E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.67        2500.00                 NaN   99.4063       0.543087       0.506452E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.20        2500.00                 NaN   99.4095       0.540809       0.496959E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.73        2500.00                 NaN   99.1420       0.785088       0.729122E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.26        2500.00                 NaN   99.6960       0.279389       0.246243E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.79        2500.00                 NaN   99.4243       0.527049       0.486568E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.32        2500.00                 NaN   99.4283       0.526016       0.456815E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.85        2500.00                 NaN   99.4340       0.519887       0.461518E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.38        2500.00                 NaN   99.4254       0.529036       0.455630E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.91        2500.00                 NaN   99.4523       0.504229       0.434819E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.44        2500.00                 NaN   99.4453       0.510522       0.441791E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.97        2500.00                 NaN   99.4494       0.508673       0.419577E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.50        2500.00                 NaN   99.4119       0.546303       0.418333E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.03        2500.00                 NaN   99.4952       0.466483       0.383227E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.56        2500.00                 NaN   99.4602       0.500603       0.391490E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.09        2500.00                 NaN   99.4645       0.496755       0.387649E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.62        2500.00                 NaN   99.4662       0.496063       0.377535E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.15        2500.00                 NaN   99.6622       0.314504       0.233078E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.68        2500.00                 NaN   99.2811       0.669201       0.497487E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.21        2500.00                 NaN   99.4824       0.479902       0.377450E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.74        2500.00                 NaN   99.4802       0.484516       0.353315E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.27        2500.00                 NaN   99.4871       0.478313       0.345509E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.80        2500.00                 NaN   99.4880       0.479070       0.328840E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.33        2500.00                 NaN   99.4923       0.475991       0.317008E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.86        2500.00                 NaN   99.4951       0.473206       0.316572E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.39        2500.00                 NaN   99.4991       0.469084       0.318463E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.92        2500.00                 NaN   99.5020       0.467490       0.305518E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.45        2500.00                 NaN   99.5046       0.465064       0.303245E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.98        2500.00                 NaN   99.5088       0.454869       0.363325E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.51        2500.00                 NaN   99.5104       0.468931       0.206532E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.04        2500.00                 NaN   99.5122       0.460746       0.270832E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.57        2500.00                 NaN   99.5189       0.453408       0.276720E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.10        2500.00                 NaN   99.5191       0.455516       0.253457E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.63        2500.00                 NaN   99.5220       0.452557       0.254029E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.16        2500.00                 NaN   99.5255       0.450656       0.238378E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
