|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.25/KHA22/KHA22_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ne             lc             ilm           
  1586.54        2500.00       0.156286E-001   99.8256       0.158803                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.07        2500.00                 NaN   99.3928       0.603643       0.356196E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.60        2500.00                 NaN   99.3946       0.548265       0.570974E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.13        2500.00                 NaN   99.4008       0.543209       0.559861E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.66        2500.00                 NaN   99.4062       0.538510       0.552721E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.19        2500.00                 NaN   99.4101       0.535228       0.546783E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.72        2500.00                 NaN   99.4178       0.528713       0.535251E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.25        2500.00                 NaN   99.4160       0.528551       0.554935E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.78        2500.00                 NaN   99.4354       0.513656       0.508975E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.31        2500.00                 NaN   99.4326       0.515343       0.520626E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.84        2500.00                 NaN   99.4375       0.511770       0.507248E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.37        2500.00                 NaN   99.4414       0.509399       0.491839E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.90        2500.00                 NaN   99.4471       0.504109       0.487985E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.43        2500.00                 NaN   99.4517       0.499720       0.485893E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.96        2500.00                 NaN   99.4565       0.495836       0.476941E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.49        2500.00                 NaN   99.4602       0.492925       0.468680E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.02        2500.00                 NaN   99.4662       0.487193       0.466489E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.55        2500.00                 NaN   99.4703       0.483898       0.458468E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.08        2500.00                 NaN   99.4743       0.480972       0.447209E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.61        2500.00                 NaN   99.4770       0.477738       0.452324E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.14        2500.00                 NaN   99.4862       0.470872       0.429516E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.67        2500.00                 NaN   99.4876       0.469558       0.428428E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
