|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.75/TAY13/TAY13_3.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             iron           San(TH)        ilm            q             
  1567.31        500.000        99.9998       0.186719E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.89        500.000        99.4703       0.804045E-003  0.528920                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.47        500.000        99.4111       0.526545E-002  0.583607                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.04        500.000        99.4159       0.163174E-001  0.567796                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.62        500.000        99.4096       0.286048E-001  0.561803                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.20        500.000        99.4437       0.260511E-001  0.530218                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.78        500.000        99.4343       0.258875E-001  0.539859                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.36        500.000        99.4412       0.263688E-001  0.532463                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.94        500.000        99.4401       0.239184E-001  0.535951                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.51        500.000        99.4468       0.237323E-001  0.529440                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.09        500.000        99.4598       0.234291E-001  0.516730                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.67        500.000        99.4583       0.226720E-001  0.519011                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.25        500.000        99.4208       0.191618E-001  0.560009                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.83        500.000        99.5057       0.201076E-001  0.474154                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.40        500.000        99.4734       0.211482E-001  0.505478                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.98        500.000        99.4785       0.215413E-001  0.499940                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.56        500.000        99.4818       0.204731E-001  0.497763                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.14        500.000        99.4860       0.196301E-001  0.494361                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.72        500.000        99.4910       0.189893E-001  0.489964                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.30        500.000        99.4939       0.181147E-001  0.487981                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.87        500.000        99.4836       0.174289E-001  0.498923                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.45        500.000        99.5165       0.159028E-001  0.467613                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.03        500.000        99.5080       0.173995E-001  0.474594                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.61        500.000        99.5109       0.160461E-001  0.473058                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.19        500.000        99.4442       0.150564E-001  0.540717                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.76        500.000        99.5867       0.123142E-001  0.401014                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.34        500.000        99.5126       0.240653E-001  0.463359                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.92        500.000        99.5345       0.170589E-002  0.463792                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.50        500.000        99.5284       0.119539E-001  0.459598                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.08        500.000        99.5345       0.135669E-001  0.451955                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.66        500.000        99.5368       0.117796E-001  0.451458                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.23        500.000        99.2745       0.138363       0.587099                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.81        500.000        99.8335       0.332774E-003  0.166125                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.39        500.000        99.5449                 NaN  0.455113                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.97        500.000        99.5480                 NaN  0.451975                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.55        500.000        99.3978       0.131010E-002  0.600913                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.12        500.000        99.6808       0.324376E-001  0.286796                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.70        500.000        99.6055                 NaN  0.394457                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
