|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.75/TAY13/TAY13_1.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             iron           San(TH)        ilm            q             
  1567.31        500.000        99.9998       0.224037E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.89        500.000        99.3843       0.963843E-003  0.614774                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.47        500.000        99.3151       0.631531E-002  0.678559                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.04        500.000        99.3201       0.195803E-001  0.660343                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.62        500.000        99.3120       0.343414E-001  0.653691                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.20        500.000        99.3516       0.312847E-001  0.617076                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.78        500.000        99.3404       0.310996E-001  0.628504                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.36        500.000        99.3481       0.317078E-001  0.620192                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.94        500.000        99.3470       0.287687E-001  0.624272                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.51        500.000        99.3544       0.285702E-001  0.617049                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.09        500.000        99.3693       0.282125E-001  0.602506                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.67        500.000        99.3675       0.273048E-001  0.605208                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.25        500.000        99.3237       0.230924E-001  0.653216                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.83        500.000        99.4223       0.242487E-001  0.553409                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.40        500.000        99.3843       0.255141E-001  0.590150                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.98        500.000        99.3901       0.260029E-001  0.583937                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.56        500.000        99.3937       0.247238E-001  0.581537                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.14        500.000        99.3985       0.237209E-001  0.577824                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.72        500.000        99.4042       0.229569E-001  0.572806                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.30        500.000        99.4073       0.219135E-001  0.570787                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.87        500.000        99.3953       0.210916E-001  0.583619                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.45        500.000        99.4335       0.192546E-001  0.547237                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.03        500.000        99.4233       0.210770E-001  0.555656                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.61        500.000        99.4266       0.194453E-001  0.553980                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.19        500.000        99.3482       0.182634E-001  0.633562                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.76        500.000        99.5150       0.149419E-001  0.470022                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.34        500.000        99.4277       0.292136E-001  0.543060                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.92        500.000        99.4540       0.207250E-002  0.543887                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.50        500.000        99.4464       0.145218E-001  0.539123                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.08        500.000        99.4531       0.164937E-001  0.530384                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.66        500.000        99.4557       0.143277E-001  0.530008                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.23        500.000        99.1418       0.168573       0.689616                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.81        500.000        99.8043       0.405455E-003  0.195311                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.39        500.000        99.4652                 NaN  0.534792                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.97        500.000        99.4686                 NaN  0.531421                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.55        500.000        99.2921       0.159671E-002  0.706331                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.12        500.000        99.6229       0.395889E-001  0.337487                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.70        500.000        99.5357                 NaN  0.464315                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.28        500.000        99.4679                 NaN  0.532131                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.86        500.000        99.4896                 NaN  0.510403                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.44        500.000        99.4913                 NaN  0.508655                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.01        500.000        99.4952                 NaN  0.504764                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.59        500.000        99.4985                 NaN  0.501474                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.17        500.000        99.5020                 NaN  0.497999                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.75        500.000        99.4206                 NaN  0.579376                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.33        500.000        99.7057                 NaN  0.294260                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.91        500.000        99.3993       0.263083E-001  0.574439                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.48        500.000        99.5147       0.155964E-004  0.485332                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.06        500.000        99.5213       0.392617E-001  0.439419                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.64        500.000        99.5206       0.560238E-002  0.473840                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.22        500.000        99.5225                 NaN  0.477541                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.80        500.000        99.5249                 NaN  0.475107                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.37        500.000        99.5299                 NaN  0.470069                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.95        500.000        99.5556                 NaN  0.444390                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.53        500.000        99.5083                 NaN  0.491713                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.11        500.000        99.5418                 NaN  0.458213                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.69        500.000        99.5399       0.195171E-001  0.440589                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.27        500.000        99.5427                 NaN  0.457281                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.84        500.000        99.5461                 NaN  0.453921                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.42        500.000        99.5491                 NaN  0.450946                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
