|6.6.6
Archiving\03_Data\Deq/QFM_m2/K22/K22_1.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)       
  2000.00        2500.00        99.9607       0.392604E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.9607       0.392603E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.9607       0.392602E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.9607       0.392601E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.9607       0.392601E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.9607       0.392600E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.9607       0.392599E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.9607       0.392598E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.9607       0.392598E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.9279       0.385575E-001  0.334981E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.1183       0.210929E-001  0.860619                 NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        98.1602       0.179717E-003   1.83962                 NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        97.8987                 NaN   2.10133                 NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        97.4931                 NaN   2.50690                 NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        97.0875                 NaN   2.91246                 NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        96.6820                 NaN   3.31803                 NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        96.2764                 NaN   3.72359                 NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        95.6414                 NaN   4.35864                 NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        95.0063                 NaN   4.99369                 NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        94.3713                 NaN   5.62875                 NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        93.7362                 NaN   6.26381                 NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        93.1011                 NaN   6.89887                 NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        92.4661                 NaN   7.53394                 NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        91.8310                 NaN   8.16902                 NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        91.1959                 NaN   8.80410                 NaN            NaN            NaN            NaN            NaN            NaN
