|6.6.6
Archiving\03_Data\eqLP/QFM_m0.75/TAY13/TAY13_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       mang           Ni             O(HP)          Sp(TH)         pxmn           Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        500.000        99.5359       0.440500       0.236007E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.5359       0.440499       0.236006E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.5359       0.440497       0.236005E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.5359       0.440495       0.236004E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.5359       0.440494       0.236003E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.5359       0.440492       0.236003E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.5359       0.440490       0.236002E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.5359       0.440489       0.236001E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.3783       0.440471       0.931040E-002  0.171935                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.2637       0.440459                 NaN  0.295859                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.2538       0.440457                 NaN  0.305709                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.2385       0.440456                 NaN  0.320999                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.2233       0.440454                 NaN  0.336288                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.2034       0.440452                 NaN  0.356132                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.1836       0.440451                 NaN  0.375975                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.1637       0.440449                 NaN  0.395818                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.1439       0.440447                 NaN  0.415662                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.0968       0.440446                 NaN  0.462718                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        99.0498       0.440444                 NaN  0.509773                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        99.0027       0.440443                 NaN  0.556829                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        98.9557       0.440441                 NaN  0.603884                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        98.9086       0.440440                 NaN  0.650939                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        98.8616       0.440438                 NaN  0.697994                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        98.8145       0.440437                 NaN  0.745048                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        98.7675       0.440435                 NaN  0.792102                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        98.5162       0.440436                 NaN   1.04334                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        98.2650       0.440436                 NaN   1.29459                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        98.0137       0.440437                 NaN   1.54583                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        97.7625       0.440437                 NaN   1.79708                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        97.5112       0.440438                 NaN   2.04832                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        97.2600       0.440438                 NaN   2.29957                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        97.0087       0.440439                 NaN   2.55081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        96.7575       0.440439                 NaN   2.80206                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        96.1174       0.440444                 NaN   3.44217                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        95.4773       0.440449                 NaN   4.08229                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        94.8371       0.440454                 NaN   4.72242                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        94.1970       0.440458                 NaN   5.36257                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        93.5568       0.440463                 NaN   6.00274                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        92.9166       0.440468                 NaN   6.64291                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        92.2764       0.440473                 NaN   7.28310                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        91.6362       0.440477                 NaN   7.92331                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        90.9341       0.440483                 NaN   8.62547                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
