|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.75/GRV/GRV_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1596.15        2500.00       0.151337E-003   99.1554                 NaN  0.844451                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.66        2500.00       0.706210E-003   99.1643                 NaN  0.834031       0.100149E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.16        2500.00                 NaN   99.1700                 NaN  0.801542       0.284777E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.67        2500.00                 NaN   99.1752                 NaN  0.794229       0.305613E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.17        2500.00                 NaN   99.1818                 NaN  0.788618       0.295503E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.68        2500.00                 NaN   99.1854                 NaN  0.786195       0.283928E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.19        2500.00                 NaN   99.1909                 NaN  0.781897       0.272007E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.69        2500.00                 NaN   99.1949                 NaN  0.779063       0.260223E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.20        2500.00                 NaN   99.1908                 NaN  0.783967       0.252489E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.70        2500.00                 NaN   99.2138                 NaN  0.762716       0.235023E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.21        2500.00       0.234670E-003   99.9923                 NaN            NaN  0.742906E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.71        2500.00                 NaN   98.4316                 NaN   1.53099       0.373772E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.22        2500.00                 NaN   99.1830                 NaN  0.795562       0.214870E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.73        2500.00                 NaN   99.2523                 NaN  0.730219       0.175103E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.23        2500.00                 NaN   99.2264                 NaN  0.752547       0.210631E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
