|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.75/GRV/GRV_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1596.15        2500.00       0.237905E-003   99.0550                 NaN  0.944806                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.66        2500.00       0.111029E-002   99.0644                 NaN  0.933376       0.116253E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.16        2500.00                 NaN   99.0697                 NaN  0.897193       0.330658E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.67        2500.00                 NaN   99.0755                 NaN  0.889020       0.354897E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.17        2500.00                 NaN   99.0828                 NaN  0.882855       0.343248E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.68        2500.00                 NaN   99.0867                 NaN  0.880330       0.329940E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.19        2500.00                 NaN   99.0927                 NaN  0.875662       0.316183E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.69        2500.00                 NaN   99.0971                 NaN  0.872606       0.302595E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.20        2500.00                 NaN   99.0923                 NaN  0.878308       0.293731E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.70        2500.00                 NaN   99.1180                 NaN  0.854620       0.273488E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.21        2500.00       0.369414E-003   99.9910                 NaN            NaN  0.865647E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.71        2500.00                 NaN   98.2421                 NaN   1.71443       0.434904E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.22        2500.00                 NaN   99.0830                 NaN  0.891928       0.250334E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.73        2500.00                 NaN   99.1608                 NaN  0.818787       0.204090E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.23        2500.00                 NaN   99.1316                 NaN  0.843872       0.245576E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.74        2500.00                 NaN   99.1328                 NaN  0.848958       0.182130E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.24        2500.00                 NaN   99.1256                 NaN  0.772616       0.162727E-001  0.855019E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1570.75        2500.00                 NaN   98.9761                 NaN  0.581986E-001  0.673651E-002  0.958958                 NaN            NaN            NaN            NaN            NaN            NaN
  1569.26        2500.00       0.247235E-003   98.9428                 NaN            NaN  0.222937E-005   1.05695                 NaN            NaN            NaN            NaN            NaN            NaN
  1567.76        2500.00       0.115434E-001   98.8990                 NaN            NaN            NaN   1.08948                 NaN            NaN            NaN            NaN            NaN            NaN
  1566.27        2500.00       0.123796E-001   98.7954                 NaN            NaN  0.801820E-001   1.11208                 NaN            NaN            NaN            NaN            NaN            NaN
  1564.77        2500.00       0.105127E-001   98.9767                 NaN            NaN            NaN   1.01279                 NaN            NaN            NaN            NaN            NaN            NaN
  1563.28        2500.00       0.115906E-001   98.8503                 NaN            NaN            NaN   1.13815                 NaN            NaN            NaN            NaN            NaN            NaN
  1561.79        2500.00       0.251634E-001   97.1798                 NaN            NaN  0.731681E-002   2.78768                 NaN            NaN            NaN            NaN            NaN            NaN
  1560.29        2500.00       0.547984E-004   99.9933                 NaN            NaN            NaN  0.669368E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1558.80        2500.00       0.952617E-002   98.9811                 NaN            NaN            NaN   1.00939                 NaN            NaN            NaN            NaN            NaN            NaN
  1557.30        2500.00       0.114777E-001   98.7220                 NaN            NaN            NaN   1.26654                 NaN            NaN            NaN            NaN            NaN            NaN
  1555.81        2500.00       0.114369E-001   98.6170                 NaN            NaN            NaN   1.33090       0.406522E-001            NaN            NaN            NaN            NaN            NaN
  1554.31        2500.00       0.104586E-001   98.1408                 NaN            NaN            NaN  0.380786        1.46794                 NaN            NaN            NaN            NaN            NaN
  1552.82        2500.00       0.101899E-001   98.1658                 NaN            NaN            NaN   1.44466       0.379360                 NaN            NaN            NaN            NaN            NaN
  1551.33        2500.00       0.958940E-002   98.1917                 NaN            NaN  0.723085E-001   1.50662       0.219832                 NaN            NaN            NaN            NaN            NaN
  1549.83        2500.00       0.888124E-002   98.1889                 NaN            NaN  0.184167        1.60665       0.113626E-001            NaN            NaN            NaN            NaN            NaN
  1548.34        2500.00       0.863665E-002   98.2187                 NaN            NaN  0.180981        1.58370       0.801770E-002            NaN            NaN            NaN            NaN            NaN
  1546.84        2500.00       0.850788E-002   98.2409                 NaN            NaN  0.172606       0.369526E-001   1.54107                 NaN            NaN            NaN            NaN            NaN
  1545.35        2500.00       0.811663E-002   98.2750                 NaN            NaN  0.184697        1.53215                 NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00       0.797225E-002   98.2946                 NaN            NaN  0.180415        1.51703                 NaN            NaN            NaN            NaN            NaN            NaN
  1542.36        2500.00       0.768868E-002   98.3306                 NaN            NaN  0.182549        1.47917                 NaN            NaN            NaN            NaN            NaN            NaN
  1540.87        2500.00       0.758756E-002   98.3460                 NaN            NaN  0.171640        1.47481                 NaN            NaN            NaN            NaN            NaN            NaN
  1539.37        2500.00       0.736038E-002   98.3715                 NaN            NaN  0.173760        1.44735                 NaN            NaN            NaN            NaN            NaN            NaN
  1537.88        2500.00       0.714267E-002   98.3954                 NaN            NaN  0.173373        1.42409                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.39        2500.00       0.699637E-002   98.4160                 NaN            NaN  0.168560        1.40841                 NaN            NaN            NaN            NaN            NaN            NaN
  1534.89        2500.00       0.328343E-002   99.2677                 NaN            NaN  0.712322E-001  0.631640       0.261774E-001            NaN            NaN            NaN            NaN            NaN
  1533.40        2500.00       0.102895E-001   97.6235                 NaN            NaN  0.247967        2.11353       0.467772E-002            NaN            NaN            NaN            NaN            NaN
  1531.90        2500.00       0.648475E-002   98.4765                 NaN            NaN  0.158052        1.35901                 NaN            NaN            NaN            NaN            NaN            NaN
  1530.41        2500.00       0.625621E-002   98.5007                 NaN            NaN  0.158941        1.33409                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.92        2500.00       0.612901E-002   98.5159                 NaN            NaN  0.154340        1.31774       0.586758E-002            NaN            NaN            NaN            NaN            NaN
  1527.42        2500.00       0.604895E-002   98.5314                 NaN            NaN  0.144865       0.450694E-001   1.27259                 NaN            NaN            NaN            NaN            NaN
  1525.93        2500.00       0.118191E-001   97.1569                 NaN            NaN  0.276720        2.53122       0.233546E-001            NaN            NaN            NaN            NaN            NaN
  1524.43        2500.00       0.186175E-004   99.9872                 NaN            NaN  0.415254E-002  0.858848E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1522.94        2500.00       0.555588E-002   98.5967                 NaN            NaN  0.133880        1.21036       0.534670E-001            NaN            NaN            NaN            NaN            NaN
  1521.44        2500.00       0.544086E-002   98.5973                 NaN            NaN  0.134544       0.603495E-001   1.20239                 NaN            NaN            NaN            NaN            NaN
  1519.95        2500.00       0.523823E-002   98.6243                 NaN            NaN  0.130754       0.642935E-001   1.17538                 NaN            NaN            NaN            NaN            NaN
  1518.46        2500.00       0.511282E-002   98.6354                 NaN            NaN  0.128517       0.697237E-001   1.16121                 NaN            NaN            NaN            NaN            NaN
  1516.96        2500.00       0.498414E-002   98.6502                 NaN            NaN  0.126199        1.14502       0.736312E-001            NaN            NaN            NaN            NaN            NaN
  1515.47        2500.00       0.483670E-002   98.6654                 NaN            NaN  0.123712       0.782662E-001   1.12782                 NaN            NaN            NaN            NaN            NaN
  1513.97        2500.00       0.470418E-002   98.6808                 NaN            NaN  0.121209        1.11052       0.827579E-001            NaN            NaN            NaN            NaN            NaN
  1512.48        2500.00       0.455359E-002   98.6952                 NaN            NaN  0.118630       0.876661E-001   1.09398                 NaN            NaN            NaN            NaN            NaN
  1510.99        2500.00       0.302163E-002   99.1263                 NaN            NaN  0.795992E-001  0.600093E-001  0.731066                 NaN            NaN            NaN            NaN            NaN
  1509.49        2500.00       0.605054E-002   98.2824                 NaN            NaN  0.119455        1.35109       0.241016                 NaN            NaN            NaN            NaN            NaN
  1508.00        2500.00       0.388577E-002   98.7517                 NaN            NaN  0.142313        1.10214                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.50        2500.00       0.401859E-002   98.7562                 NaN            NaN  0.111964        1.03531       0.925064E-001            NaN            NaN            NaN            NaN            NaN
  1505.01        2500.00       0.394107E-002   98.7628                 NaN            NaN  0.107434        1.01908       0.106763                 NaN            NaN            NaN            NaN            NaN
  1503.52        2500.00       0.381229E-002   98.7757                 NaN            NaN  0.105384        1.00612       0.108967                 NaN            NaN            NaN            NaN            NaN
  1502.02        2500.00       0.370505E-002   98.7867                 NaN            NaN  0.103426       0.994274       0.111862                 NaN            NaN            NaN            NaN            NaN
  1500.53        2500.00       0.358058E-002   98.7983                 NaN            NaN  0.101261       0.114949       0.981931                 NaN            NaN            NaN            NaN            NaN
  1499.03        2500.00       0.345751E-002   98.8135                 NaN            NaN  0.990718E-001  0.119022       0.964940                 NaN            NaN            NaN            NaN            NaN
  1497.54        2500.00       0.336054E-002   98.8236                 NaN            NaN  0.971492E-001  0.122217       0.953668                 NaN            NaN            NaN            NaN            NaN
  1496.04        2500.00       0.326373E-002   98.8327                 NaN            NaN  0.954843E-001  0.125918       0.942646                 NaN            NaN            NaN            NaN            NaN
  1494.55        2500.00       0.314953E-002   98.8444                 NaN            NaN  0.933340E-001  0.127222       0.931907                 NaN            NaN            NaN            NaN            NaN
  1493.06        2500.00       0.304304E-002   98.8550                 NaN            NaN  0.915081E-001  0.130815       0.919591                 NaN            NaN            NaN            NaN            NaN
  1491.56        2500.00       0.293951E-002   98.8674                 NaN            NaN  0.896629E-001  0.906975       0.132975                 NaN            NaN            NaN            NaN            NaN
  1490.07        2500.00       0.283460E-002   98.8775                 NaN            NaN  0.877818E-001  0.896270       0.135654                 NaN            NaN            NaN            NaN            NaN
  1488.57        2500.00       0.273829E-002   98.8864                 NaN            NaN  0.861097E-001  0.886510       0.138195                 NaN            NaN            NaN            NaN            NaN
  1487.08        2500.00       0.264707E-002   98.8965                 NaN            NaN  0.842646E-001  0.875584       0.141007                 NaN            NaN            NaN            NaN            NaN
  1485.59        2500.00       0.254888E-002   98.9056                 NaN            NaN  0.826379E-001  0.865952       0.143239                 NaN            NaN            NaN            NaN            NaN
  1484.09        2500.00       0.245479E-002   98.9145                 NaN            NaN  0.807765E-001  0.145723       0.856512                 NaN            NaN            NaN            NaN            NaN
  1482.60        2500.00       0.236262E-002   98.9257                 NaN            NaN  0.792675E-001  0.844793       0.147878                 NaN            NaN            NaN            NaN            NaN
  1481.10        2500.00       0.227472E-002   98.9334                 NaN            NaN  0.777407E-001  0.149565       0.837062                 NaN            NaN            NaN            NaN            NaN
  1479.61        2500.00       0.218944E-002   98.9387                 NaN            NaN  0.763355E-001  0.831190       0.151580                 NaN            NaN            NaN            NaN            NaN
  1478.12        2500.00       0.209203E-002   98.9512                 NaN            NaN  0.745812E-001  0.821490       0.150626                 NaN            NaN            NaN            NaN            NaN
  1476.62        2500.00       0.202517E-002   98.9599                 NaN            NaN  0.728045E-001  0.809375       0.155904                 NaN            NaN            NaN            NaN            NaN
  1475.13        2500.00       0.193463E-002   98.9660                 NaN            NaN  0.714990E-001  0.802920       0.157613                 NaN            NaN            NaN            NaN            NaN
  1473.63        2500.00       0.187509E-002   98.9409                 NaN            NaN  0.663819E-001  0.169020       0.821854                 NaN            NaN            NaN            NaN            NaN
  1472.14        2500.00       0.174770E-002   99.0113                 NaN            NaN  0.728473E-001  0.147131       0.767003                 NaN            NaN            NaN            NaN            NaN
  1470.64        2500.00       0.170612E-002   98.9921                 NaN            NaN  0.667967E-001  0.773928       0.165471                 NaN            NaN            NaN            NaN            NaN
  1469.15        2500.00       0.162479E-002   98.9968                 NaN            NaN  0.654243E-001  0.164879       0.771226                 NaN            NaN            NaN            NaN            NaN
  1467.66        2500.00       0.154667E-002   99.0031                 NaN            NaN  0.646682E-001  0.165558       0.765103                 NaN            NaN            NaN            NaN            NaN
  1466.16        2500.00       0.147899E-002   99.0139                 NaN            NaN  0.628194E-001  0.753207       0.168585                 NaN            NaN            NaN            NaN            NaN
  1464.67        2500.00       0.140126E-002   99.0188                 NaN            NaN  0.617492E-001  0.749292       0.168764                 NaN            NaN            NaN            NaN            NaN
  1463.17        2500.00       0.132993E-002   99.0251                 NaN            NaN  0.603403E-001  0.170528       0.742693                 NaN            NaN            NaN            NaN            NaN
  1461.68        2500.00       0.126714E-002   99.0316                 NaN            NaN  0.590378E-001  0.172362       0.735724                 NaN            NaN            NaN            NaN            NaN
  1460.19        2500.00       0.119786E-002   99.0382                 NaN            NaN  0.577259E-001  0.173546       0.729308                 NaN            NaN            NaN            NaN            NaN
  1458.69        2500.00       0.113141E-002   99.0440                 NaN            NaN  0.565226E-001  0.174652       0.723646                 NaN            NaN            NaN            NaN            NaN
  1457.20        2500.00       0.106554E-002   99.0504                 NaN            NaN  0.552148E-001  0.176017       0.717288                 NaN            NaN            NaN            NaN            NaN
  1455.70        2500.00       0.999593E-003   99.0561                 NaN            NaN  0.540749E-001  0.712056       0.176815                 NaN            NaN            NaN            NaN            NaN
  1454.21        2500.00       0.944050E-003   99.0626                 NaN            NaN  0.528166E-001  0.704991       0.178660                 NaN            NaN            NaN            NaN            NaN
  1452.72        2500.00       0.885322E-003   99.0619                 NaN            NaN  0.516955E-001  0.179968       0.705560                 NaN            NaN            NaN            NaN            NaN
  1451.22        2500.00       0.856707E-003   99.0766                 NaN            NaN  0.506245E-001  0.693544       0.178393                 NaN            NaN            NaN            NaN            NaN
  1449.73        2500.00       0.762809E-003   99.0792                 NaN            NaN  0.491657E-001  0.688745       0.182176                 NaN            NaN            NaN            NaN            NaN
  1448.23        2500.00       0.706679E-003   99.0819                 NaN            NaN  0.479910E-001  0.685729       0.183670                 NaN            NaN            NaN            NaN            NaN
  1446.74        2500.00       0.651752E-003   99.0905                 NaN            NaN  0.472416E-001  0.678211       0.183376                 NaN            NaN            NaN            NaN            NaN
  1445.24        2500.00       0.592381E-003   99.0934                 NaN            NaN  0.460898E-001  0.675989       0.183928                 NaN            NaN            NaN            NaN            NaN
