|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3/WD94/WD94_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        San(TH)        ilm            q             
  1570.51        500.000       0.109135E-001   99.5508       0.373893       0.644344E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.08        500.000                 NaN   99.3832       0.585339       0.314937E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.65        500.000                 NaN   99.4759       0.501015       0.230880E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.22        500.000                 NaN   99.2982       0.665431       0.363628E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.79        500.000                 NaN   99.3852       0.584522       0.302581E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.36        500.000                 NaN   99.4113       0.561068       0.276584E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.93        500.000                 NaN   99.4103       0.491357       0.983396E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.50        500.000                 NaN   99.4075       0.592514                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.07        500.000                 NaN   99.4261       0.517422       0.565029E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.64        500.000                 NaN   99.4205       0.570491       0.902367E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.21        500.000                 NaN   99.4307       0.503616       0.657251E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.78        500.000                 NaN   99.4317       0.568289                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.35        500.000                 NaN   99.4360       0.563956                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.92        500.000                 NaN   99.4388       0.561207       0.146837E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.49        500.000                 NaN   99.4462       0.553775       0.682620E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.06        500.000                 NaN   99.4513       0.536258       0.124151E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.63        500.000                 NaN   99.4317       0.546858       0.213979E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.20        500.000                 NaN   99.4853       0.495485       0.192294E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.77        500.000                 NaN   99.4681       0.511603       0.203349E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.34        500.000                 NaN   99.4700       0.511936       0.180275E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.91        500.000                 NaN   99.4744       0.506169       0.194239E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.48        500.000                 NaN   99.4787       0.505641       0.157030E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.05        500.000                 NaN   99.4828       0.500142       0.170144E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.62        500.000                 NaN   99.4876       0.496846       0.155850E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.19        500.000                 NaN   99.4923       0.491874       0.157778E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.76        500.000                 NaN   99.4947       0.490719       0.145761E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.33        500.000                 NaN   99.5012       0.483665       0.151767E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.90        500.000                 NaN   99.5046       0.480273       0.151428E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.47        500.000                 NaN   99.4471       0.502486       0.504537E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.04        500.000                 NaN   99.5787       0.421295                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.61        500.000                 NaN   99.5260       0.384168       0.898449E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.18        500.000                 NaN   99.5152       0.484822                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.75        500.000                 NaN   99.4515       0.493987       0.545471E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.32        500.000                 NaN   99.6076       0.392439                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.90        500.000                 NaN   99.5295       0.470278       0.233515E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.47        500.000                 NaN   99.5323       0.463952       0.374428E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.04        500.000                 NaN   99.5363       0.463747                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.61        500.000                 NaN   99.6731       0.326892                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.18        500.000                 NaN   99.4079       0.592149                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.75        500.000                 NaN   99.5462       0.453782                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.32        500.000                 NaN   99.5294       0.470620                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.89        500.000                 NaN   99.5733       0.426344       0.307691E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.46        500.000                 NaN   99.5573       0.432573       0.101030E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.03        500.000                 NaN   99.5588       0.441192                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.60        500.000                 NaN   99.5410       0.447779       0.111977E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.17        500.000                 NaN   99.6389       0.361037       0.312850E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.74        500.000                 NaN   99.5139       0.486119       0.119241E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.31        500.000                 NaN   99.5716       0.428355                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.88        500.000                 NaN   99.5712       0.428818       0.436167E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.45        500.000                 NaN   99.5790       0.420962                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.02        500.000                 NaN   99.5781       0.421922                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.59        500.000                 NaN   99.5831       0.416874                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.16        500.000                 NaN   99.5838       0.416212                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.73        500.000                 NaN   99.5870       0.413006                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.30        500.000                 NaN   99.5905       0.409453                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.87        500.000                 NaN   99.5945       0.388433       0.171030E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.44        500.000                 NaN   99.5969       0.403106                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.01        500.000                 NaN   99.7030       0.296993                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.58        500.000                 NaN   99.4955       0.502440       0.209578E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.15        500.000                 NaN   99.5307       0.469303       0.538456E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.72        500.000                 NaN   99.6809       0.312785       0.635054E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.29        500.000                 NaN   99.6097       0.387491       0.277473E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.86        500.000                 NaN   99.6091       0.390943                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.43        500.000                 NaN   99.6130       0.387044       0.184549E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.00        500.000                 NaN   99.6135       0.386522                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.57        500.000                 NaN   99.6163       0.383741                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.14        500.000                 NaN   99.6186       0.381410                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.71        500.000                 NaN   99.6043       0.303292                 NaN  0.923808E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.28        500.000                 NaN   99.5384       0.175010E-001            NaN  0.444138                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.85        500.000                 NaN   99.5437       0.923120E-001            NaN  0.363981                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.42        500.000                 NaN   99.5405                 NaN            NaN  0.459484                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.99        500.000                 NaN   98.9234                 NaN            NaN   1.07661                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.56        500.000                 NaN   99.9962       0.570267E-003            NaN  0.325621E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.13        500.000                 NaN   99.8630                 NaN            NaN  0.136995                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.70        500.000                 NaN   99.9940                 NaN            NaN  0.600413E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.27        500.000                 NaN   98.9444                 NaN            NaN   1.05561                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.84        500.000                 NaN   99.5547       0.130260                 NaN  0.315052                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.41        500.000                 NaN   99.5475                 NaN            NaN  0.452501                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.98        500.000                 NaN   99.5494                 NaN  0.878895E-006  0.450598                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.55        500.000                 NaN   99.5482                 NaN            NaN  0.451811                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.12        500.000                 NaN   99.5489                 NaN            NaN  0.451143                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.69        500.000                 NaN   99.5526                 NaN            NaN  0.447403                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1453.26        500.000                 NaN   99.5440                 NaN            NaN  0.456031                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.83        500.000                 NaN   99.2584                 NaN            NaN  0.741597                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.40        500.000                 NaN   99.8408                 NaN            NaN  0.159220                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.97        500.000                 NaN   99.6303                 NaN            NaN  0.369691                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.54        500.000                 NaN   99.4554                 NaN            NaN  0.544584                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.11        500.000                 NaN   99.5386                 NaN            NaN  0.461389                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1444.68        500.000                 NaN   99.4798                 NaN            NaN  0.414184       0.106061                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.25        500.000                 NaN   99.3307                 NaN            NaN  0.427908       0.241396                 NaN            NaN            NaN            NaN            NaN            NaN
  1441.82        500.000                 NaN   99.2710                 NaN            NaN  0.263209       0.465768                 NaN            NaN            NaN            NaN            NaN            NaN
  1440.39        500.000                 NaN   99.3108                 NaN            NaN  0.248498       0.440749                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.96        500.000                 NaN   99.3169                 NaN            NaN  0.246556       0.436554                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.53        500.000                 NaN   99.3229                 NaN            NaN  0.433666       0.243443                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.10        500.000                 NaN   99.3294                 NaN            NaN  0.429619       0.240997                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.67        500.000                 NaN   99.3353                 NaN            NaN  0.425816       0.238907                 NaN            NaN            NaN            NaN            NaN            NaN
  1433.24        500.000                 NaN   99.3417                 NaN            NaN  0.236618       0.421685                 NaN            NaN            NaN            NaN            NaN            NaN
  1431.81        500.000                 NaN   99.3471                 NaN            NaN  0.418042       0.234820                 NaN            NaN            NaN            NaN            NaN            NaN
  1430.38        500.000                 NaN   99.3535                 NaN            NaN  0.231801       0.414735                 NaN            NaN            NaN            NaN            NaN            NaN
  1428.95        500.000                 NaN   99.3597                 NaN            NaN  0.229345       0.410930                 NaN            NaN            NaN            NaN            NaN            NaN
  1427.53        500.000                 NaN   99.3650                 NaN            NaN  0.227206       0.407806                 NaN            NaN            NaN            NaN            NaN            NaN
  1426.10        500.000                 NaN   99.3707                 NaN            NaN  0.224739       0.404517                 NaN            NaN            NaN            NaN            NaN            NaN
  1424.67        500.000                 NaN   99.3746                 NaN            NaN  0.402119       0.223283                 NaN            NaN            NaN            NaN            NaN            NaN
  1423.24        500.000                 NaN   99.3833                 NaN            NaN  0.396555       0.220194                 NaN            NaN            NaN            NaN            NaN            NaN
  1421.81        500.000                 NaN   99.3862                 NaN            NaN  0.218933       0.394838                 NaN            NaN            NaN            NaN            NaN            NaN
