|6.6.6
Archiving\03_Data\frac/QFM_m5/KHA22/KHA22_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          17
T(K)           P(bar)         melt(TH)       mang           iron           Ni             pxmn           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  2000.00        2500.00        96.9405       0.367301        2.65316       0.390033E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1997.49        2500.00        96.9211       0.367322        2.67260       0.390054E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1994.99        2500.00        96.9017       0.367342        2.69199       0.390076E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1992.48        2500.00        96.8823       0.367362        2.71134       0.390097E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1989.97        2500.00        96.8630       0.367382        2.73063       0.390119E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.47        2500.00        96.8437       0.367403        2.74989       0.390140E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1984.96        2500.00        96.8245       0.367423        2.76908       0.390161E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1982.46        2500.00        96.8053       0.367443        2.78822       0.390183E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1979.95        2500.00        96.7862       0.367463        2.80732       0.390204E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.44        2500.00        96.7671       0.367483        2.82636       0.390225E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.94        2500.00        96.7438       0.367507        2.84970       0.390251E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1972.43        2500.00        96.7291       0.367522        2.86431       0.390267E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1969.92        2500.00        96.7102       0.367542        2.88321       0.390288E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.42        2500.00        96.6913       0.367562        2.90206       0.390309E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.91        2500.00        96.6725       0.367581        2.92086       0.390330E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1962.41        2500.00        96.6538       0.367601        2.93960       0.390351E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1959.90        2500.00        96.6350       0.367621        2.95832       0.390372E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1957.39        2500.00        96.6164       0.367640        2.97697       0.390392E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        2500.00        96.5977       0.367660        2.99556       0.390413E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        2500.00        96.5791       0.367679        3.01414       0.390434E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        2500.00        96.5606       0.367698        3.03262       0.390454E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        2500.00        96.5422       0.367718        3.05108       0.390475E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        2500.00        96.5237       0.367737        3.06949       0.390495E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        2500.00        96.5053       0.367756        3.08785       0.390515E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        2500.00        96.4870       0.367775        3.10616       0.390536E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        2500.00        96.4687       0.367794        3.12442       0.390556E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        2500.00        96.4221       0.367843        3.17095       0.390608E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        2500.00        96.4305       0.367834        3.16265       0.390599E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        2500.00        96.4142       0.367851        3.17891       0.390617E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        2500.00        96.3961       0.367870        3.19699       0.390637E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        2500.00        96.3941       0.367872        3.19895       0.390639E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        2500.00        96.3600       0.367908        3.23299       0.390677E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        2500.00        96.3403       0.366283        3.25131       0.390697E-001  0.303622E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        2500.00        96.2964       0.342357        3.27492       0.390723E-001  0.472739E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        2500.00        96.1300       0.289008        3.30312       0.390041E-001  0.145863       0.930529E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        2500.00        99.5592                 NaN  0.680173E-002            NaN            NaN  0.433997                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        2500.00        99.6353                 NaN            NaN            NaN            NaN  0.364711                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        2500.00        99.2215                 NaN  0.534392E-002            NaN            NaN  0.773196                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        2500.00        99.4329                 NaN  0.217756E-002            NaN            NaN  0.564872                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        2500.00        99.4299                 NaN  0.169434E-002            NaN            NaN  0.568434                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        2500.00        99.4497                 NaN  0.178379E-002            NaN            NaN  0.548562                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        2500.00        99.4452                 NaN  0.128719E-002            NaN            NaN  0.553551                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        2500.00        99.4491                 NaN  0.100507E-002            NaN            NaN  0.549860                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        2500.00        99.4520                 NaN  0.669034E-003            NaN            NaN  0.547294                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        2500.00        99.3656                 NaN  0.367530E-002            NaN            NaN  0.630686                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        2500.00        99.5481                 NaN            NaN            NaN            NaN  0.451930                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        2500.00        99.4594                 NaN  0.239721E-002            NaN            NaN  0.538242                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        2500.00        99.4628                 NaN  0.705471E-002            NaN            NaN  0.530121                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        2500.00        99.4685                 NaN            NaN            NaN            NaN  0.531485                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        2500.00        99.4641                 NaN  0.153068E-001            NaN            NaN  0.520571                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        2500.00        99.4720                 NaN            NaN            NaN            NaN  0.528011                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        2500.00        99.4746                 NaN  0.396030E-002            NaN            NaN  0.521460                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        2500.00        99.4809                 NaN            NaN            NaN            NaN  0.519079                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        2500.00        99.4795                 NaN            NaN            NaN            NaN  0.520478                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        2500.00        99.4833                 NaN            NaN            NaN            NaN  0.516741                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        99.4843                 NaN            NaN            NaN            NaN  0.515689                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        99.4867                 NaN            NaN            NaN            NaN  0.512909       0.416170E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        99.4920                 NaN            NaN            NaN            NaN  0.508025                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        99.4863                 NaN            NaN            NaN            NaN  0.511171       0.251121E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        99.4796                 NaN            NaN            NaN            NaN  0.504286       0.161224E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        99.4813                 NaN            NaN            NaN            NaN  0.502607       0.160904E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        99.4821                 NaN            NaN            NaN            NaN  0.501879       0.160299E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00        99.4845                 NaN            NaN            NaN            NaN  0.499538       0.159496E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        99.4846                 NaN            NaN            NaN            NaN  0.499412       0.159531E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        99.4863                 NaN            NaN            NaN            NaN  0.497842       0.158980E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        99.4884                 NaN            NaN            NaN            NaN  0.495758       0.158174E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        99.4890                 NaN            NaN            NaN            NaN  0.495232       0.158065E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        99.4893                 NaN            NaN            NaN            NaN  0.494933       0.157882E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        99.4933                 NaN            NaN            NaN            NaN  0.491111       0.156155E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        99.4924                 NaN            NaN            NaN            NaN  0.491950       0.156468E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        99.4932                 NaN            NaN            NaN            NaN  0.491224       0.155906E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        99.4942                 NaN            NaN            NaN            NaN  0.490251       0.155435E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        99.4949                 NaN            NaN            NaN            NaN  0.489600       0.154844E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        99.4959                 NaN            NaN            NaN            NaN  0.488721       0.154277E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        99.4950                 NaN            NaN            NaN            NaN  0.489619       0.154251E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        99.4977                 NaN            NaN            NaN            NaN  0.486953       0.153146E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
