|6.6.6
Archiving\03_Data\eqLP/QFM_m4.5/ALH/ALH_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       mang           iron           O(HP)          pxmn           Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        500.000        99.1180       0.273768       0.608207                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.1017       0.273833       0.624497                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.0853       0.273897       0.640793                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.0689       0.273962       0.657097                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.0526       0.274026       0.673409                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.0362       0.274091       0.689728                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.0198       0.274155       0.706054                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.0034       0.274220       0.722387                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        98.9870       0.274285       0.738729                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        98.9708       0.274348       0.754835                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        98.9546       0.274412       0.770949                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        98.9385       0.274476       0.787070                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        98.9223       0.274540       0.803198                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        98.9061       0.274604       0.819334                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        98.8899       0.274668       0.835476                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        98.8736       0.274732       0.851626                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        98.8574       0.274796       0.867784                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        98.8414       0.274859       0.883698                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        98.8255       0.274922       0.899619                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        98.8095       0.274985       0.915547                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        98.7935       0.275048       0.931483                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        98.7775       0.275112       0.947425                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        98.7615       0.275175       0.963375                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        98.7454       0.275238       0.979331                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        98.7294       0.275301       0.995295                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        98.7136       0.275364        1.01100                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        98.6979       0.275426        1.02672                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        98.6821       0.275489        1.04244                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        98.6663       0.275552        1.05817                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        98.6505       0.275614        1.07391                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        98.6347       0.275677        1.08965                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        98.6189       0.275739        1.10540                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        98.6030       0.275802        1.12116                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        98.5874       0.275864        1.13671                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        98.5718       0.275926        1.15227                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        98.5562       0.275988        1.16783                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        98.5405       0.276049        1.18341                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        98.5250       0.276111        1.19890                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        98.0959       0.276217        1.20297       0.424917                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        97.3726       0.276351        1.19795        1.15308                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        96.6486       0.276485        1.19292        1.88200                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        95.9332       0.276615        1.18707        2.60314                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        95.2059       0.273703        1.18144        3.33113       0.786306E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        92.7658                 NaN   1.25388        5.26413       0.716155                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        92.0742                 NaN   1.24575        5.96358       0.716499                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        91.3961                 NaN   1.23635        6.65072       0.716829                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        90.7175                 NaN   1.22695        7.33845       0.717157                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        90.0382                 NaN   1.21753        8.02676       0.717484                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        89.3584                 NaN   1.20811        8.71567       0.717810                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        88.6989                 NaN   1.19480        9.38823       0.718107                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        88.0388                 NaN   1.18148        10.0613       0.718402                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        87.3783                 NaN   1.16815        10.7349       0.718696                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        86.7172                 NaN   1.15481        11.4090       0.718989                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        86.0557                 NaN   1.14146        12.0835       0.719280                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
