|6.6.6
Archiving\03_Data\eqfrac/QFM_m3/WD94/WD94_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc             hed           
  1602.56        2500.00       0.173273E-002   99.4803       0.458929       0.590207E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.05        2500.00                 NaN   99.3066       0.610753       0.826358E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.54        2500.00                 NaN   99.3141       0.603926       0.819662E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.03        2500.00                 NaN   99.3199       0.599714       0.804030E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.52        2500.00                 NaN   99.3280       0.592468       0.794869E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.01        2500.00                 NaN   99.8214       0.158360       0.202298E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.50        2500.00                 NaN   98.8532        1.01280       0.134042                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.99        2500.00                 NaN   99.0708       0.820668       0.108533                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.48        2500.00                 NaN   99.6296       0.327225       0.432061E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00                 NaN   99.5788       0.371982       0.492005E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.46        2500.00                 NaN   98.8139        1.04786       0.138260                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.95        2500.00                 NaN   99.7094       0.258589       0.320323E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.44        2500.00                 NaN   99.3475       0.578798       0.736963E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.93        2500.00                 NaN   99.7866       0.189897       0.235299E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.42        2500.00                 NaN   99.0131       0.874783       0.112132                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.91        2500.00                 NaN   99.3940       0.537526       0.684401E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.40        2500.00                 NaN   99.4006       0.531679       0.677262E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.89        2500.00                 NaN   99.4031       0.531083       0.658428E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.38        2500.00                 NaN   99.4108       0.523468       0.657221E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.87        2500.00                 NaN   99.4134       0.521277       0.653168E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.36        2500.00                 NaN   99.4227       0.513682       0.636487E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.85        2500.00                 NaN   99.4451       0.492383       0.625530E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.34        2500.00                 NaN   99.4112       0.524218       0.645429E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.83        2500.00                 NaN   99.4373       0.501233       0.614796E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.32        2500.00                 NaN   99.4380       0.502925       0.590791E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.81        2500.00                 NaN   99.4471       0.493648       0.592515E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.30        2500.00                 NaN   99.4471       0.494178       0.587594E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.79        2500.00                 NaN   99.4577       0.484386       0.578943E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.28        2500.00                 NaN   99.4590       0.484367       0.566692E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.76        2500.00                 NaN   99.4640       0.479286       0.567403E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.25        2500.00                 NaN   99.4675       0.476838       0.556371E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.74        2500.00                 NaN   99.4718       0.474781       0.534432E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.23        2500.00                 NaN   99.4780       0.468205       0.538380E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.72        2500.00                 NaN   99.4801       0.466970       0.529760E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.21        2500.00                 NaN   99.4845       0.464681       0.508468E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.70        2500.00                 NaN   99.4905       0.457439       0.520692E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.19        2500.00                 NaN   99.4936       0.455818       0.506180E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.68        2500.00                 NaN   99.6357       0.328394       0.359279E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.17        2500.00                 NaN   99.3625       0.574037       0.634981E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.66        2500.00                 NaN   99.5047       0.447002       0.482636E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.15        2500.00                 NaN   99.5091       0.443509       0.473874E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.64        2500.00                 NaN   99.5123       0.441247       0.464664E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.13        2500.00                 NaN   99.5162       0.437727       0.460900E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.62        2500.00                 NaN   99.5200       0.435045       0.449867E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.11        2500.00                 NaN   99.5227       0.433534       0.437631E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.60        2500.00                 NaN   99.5264       0.429798       0.437585E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.09        2500.00                 NaN   99.5300       0.427677       0.423302E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.58        2500.00                 NaN   99.5308       0.429389       0.398529E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.07        2500.00                 NaN   99.3800       0.575487       0.445409E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.56        2500.00                 NaN   99.9458       0.476633E-001  0.649064E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.05        2500.00                 NaN   99.2886       0.649234       0.621173E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.54        2500.00                 NaN   99.5466       0.414295       0.391191E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.03        2500.00                 NaN   99.5494       0.412689       0.379548E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.52        2500.00                 NaN   99.5519       0.410744       0.373655E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.01        2500.00                 NaN   99.5538       0.409684       0.364690E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.50        2500.00                 NaN   99.5604       0.403655       0.359734E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.99        2500.00                 NaN   99.5619       0.401923       0.361561E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.48        2500.00                 NaN   99.5653       0.399237       0.354861E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.97        2500.00                 NaN   99.5675       0.398364       0.341551E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.46        2500.00                 NaN   99.5676       0.400205       0.322130E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.95        2500.00                 NaN   99.5733       0.395202       0.315242E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.44        2500.00                 NaN   99.7774       0.211219       0.113666E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.93        2500.00                 NaN   99.3676       0.586204       0.462396E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.42        2500.00                 NaN   99.5824       0.387303       0.303041E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.91        2500.00                 NaN   99.5829       0.387595       0.295094E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.40        2500.00                 NaN   99.5857       0.385912       0.283466E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.89        2500.00                 NaN   99.5895       0.380796       0.296838E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.38        2500.00                 NaN   99.4950       0.516839E-001            NaN  0.453266                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.87        2500.00                 NaN   99.3526       0.500603E-002            NaN  0.642409                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.36        2500.00                 NaN   99.7566                 NaN            NaN  0.243445                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.85        2500.00                 NaN   99.3698       0.113101E-001  0.135238       0.483631                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.34        2500.00                 NaN   99.3596                 NaN            NaN  0.640374                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.83        2500.00                 NaN   99.6011                 NaN            NaN  0.398880                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.32        2500.00                 NaN   99.4801                 NaN            NaN  0.519920                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.81        2500.00                 NaN   99.4786                 NaN            NaN  0.521420                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.30        2500.00                 NaN   99.4784                 NaN            NaN  0.521618                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.79        2500.00                 NaN   99.4763                 NaN            NaN  0.523659                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.28        2500.00                 NaN   99.4859                 NaN            NaN  0.514087                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.77        2500.00                 NaN   99.4656                 NaN  0.107656E-004  0.534433                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.26        2500.00                 NaN   99.4744       0.364157E-002            NaN  0.521975                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.75        2500.00                 NaN   99.4709                 NaN            NaN  0.529130                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.24        2500.00                 NaN   99.4656                 NaN            NaN  0.534386                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.73        2500.00                 NaN   99.4650                 NaN            NaN  0.535021                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.22        2500.00                 NaN   99.4590                 NaN            NaN  0.541026                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.71        2500.00                 NaN   99.3833                 NaN            NaN  0.616684                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.20        2500.00                 NaN   99.4102                 NaN            NaN  0.354245       0.235525                 NaN            NaN            NaN            NaN            NaN            NaN
  1472.68        2500.00                 NaN   99.2112                 NaN            NaN  0.527810       0.260991                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.17        2500.00                 NaN   99.2183                 NaN            NaN  0.258767       0.522927                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.66        2500.00                 NaN   99.2249                 NaN            NaN  0.256496       0.518577                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.15        2500.00                 NaN   99.3343                 NaN            NaN  0.220346       0.445340                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.64        2500.00                 NaN   99.1320                 NaN            NaN  0.287600       0.580419                 NaN            NaN            NaN            NaN            NaN            NaN
  1465.13        2500.00                 NaN   99.2456                 NaN            NaN  0.503865       0.250550                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.62        2500.00                 NaN   99.2501                 NaN            NaN  0.501258       0.248619                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.11        2500.00                 NaN   99.2582                 NaN            NaN  0.496240       0.245521                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.60        2500.00                 NaN   99.2631                 NaN            NaN  0.492780       0.244105                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.09        2500.00                 NaN   99.2677                 NaN            NaN  0.242018       0.490247                 NaN            NaN            NaN            NaN            NaN            NaN
  1457.58        2500.00                 NaN   99.2750                 NaN            NaN  0.484585       0.240453                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.07        2500.00                 NaN   99.2799                 NaN            NaN  0.238430       0.481632                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.56        2500.00                 NaN   99.2839                 NaN  0.845631E-006  0.235373       0.480758                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.05        2500.00                 NaN   99.2920                 NaN            NaN  0.234661       0.473298                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.54        2500.00                 NaN   99.2966                 NaN            NaN  0.232393       0.471032                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.03        2500.00                 NaN   99.3106                 NaN            NaN  0.461429       0.227992                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.52        2500.00                 NaN   99.2957                 NaN            NaN  0.472170       0.232119                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.01        2500.00                 NaN   99.3129                 NaN            NaN  0.460283       0.226816                 NaN            NaN            NaN            NaN            NaN            NaN
