|6.6.6
Archiving\03_Data\eqfrac/QFM_m3/WD94/WD94_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc             hed           
  1602.56        2500.00       0.269469E-002   99.4053       0.522733       0.692908E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.05        2500.00                 NaN   99.2072       0.695765       0.970449E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.54        2500.00                 NaN   99.2154       0.688237       0.963239E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.03        2500.00                 NaN   99.2219       0.683638       0.944897E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.52        2500.00                 NaN   99.2309       0.675652       0.934853E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.01        2500.00                 NaN   99.7955       0.180657       0.238042E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.50        2500.00                 NaN   98.6873        1.15501       0.157707                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.99        2500.00                 NaN   98.9356       0.936631       0.127786                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.48        2500.00                 NaN   99.5752       0.373874       0.509383E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00                 NaN   99.5169       0.425080       0.579948E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.46        2500.00                 NaN   98.6407        1.19630       0.163045                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.95        2500.00                 NaN   99.6664       0.295784       0.378375E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.44        2500.00                 NaN   99.2512       0.661827       0.870192E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.93        2500.00                 NaN   99.7550       0.217249       0.277868E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.42        2500.00                 NaN   98.8670        1.00054       0.132465                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.91        2500.00                 NaN   99.3036       0.615429       0.809554E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.40        2500.00                 NaN   99.3109       0.608915       0.801417E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.89        2500.00                 NaN   99.3137       0.608365       0.779545E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.38        2500.00                 NaN   99.3223       0.599902       0.778422E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
