|6.6.6
Archiving\03_Data\eqfrac/QFM_m5/KHA22/KHA22_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             iron           San(TH)        ilm            ne             lc            
  1592.95        2500.00       0.342869E-002   99.8172       0.170926       0.839645E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.46        2500.00       0.465558E-003   99.5876       0.371609       0.403442E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.98        2500.00                 NaN   98.9946       0.908568       0.968373E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.49        2500.00                 NaN   99.2991       0.626695       0.742266E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.01        2500.00                 NaN   99.2534       0.684143       0.624935E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.52        2500.00                 NaN   99.3696       0.570170       0.602394E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.03        2500.00                 NaN   99.3187       0.617562       0.637704E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.55        2500.00                 NaN   99.3243       0.612934       0.627955E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.06        2500.00                 NaN   99.3308       0.607885       0.613147E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.58        2500.00                 NaN   99.3349       0.604319       0.607359E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.09        2500.00                 NaN   99.3391       0.598703       0.621560E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.60        2500.00                 NaN   99.3496       0.594731       0.556891E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.12        2500.00                 NaN   99.3552       0.586294       0.585472E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.63        2500.00                 NaN   99.3586       0.583696       0.576706E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.14        2500.00                 NaN   99.3632       0.580414       0.563657E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.66        2500.00                 NaN   99.3705       0.574673       0.548707E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.17        2500.00                 NaN   99.3755       0.569921       0.545570E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.69        2500.00                 NaN   99.3797       0.566286       0.540105E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.20        2500.00                 NaN   99.3860       0.560840       0.531746E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.71        2500.00                 NaN   99.3860       0.562195       0.518327E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.23        2500.00                 NaN   99.3986       0.550376       0.510393E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.74        2500.00                 NaN   99.5668       0.395448       0.377057E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.26        2500.00                 NaN   99.2395       0.697112       0.633955E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.77        2500.00                 NaN   99.4098       0.540987       0.492017E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.28        2500.00                 NaN   99.4150       0.536174       0.487865E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.80        2500.00                 NaN   99.4189       0.533775       0.473190E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.31        2500.00                 NaN   99.4248       0.527548       0.476571E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.83        2500.00                 NaN   99.4288       0.524941       0.462418E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.34        2500.00                 NaN   99.4337       0.519947       0.463471E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.85        2500.00                 NaN   99.4377       0.517464       0.448090E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.37        2500.00                 NaN   99.4387       0.518009       0.433017E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.88        2500.00                 NaN   99.4316       0.526373       0.420330E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.40        2500.00                 NaN   99.4650       0.511730       0.233093E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.91        2500.00                 NaN   99.4642       0.476693       0.590973E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.42        2500.00                 NaN   99.4487       0.510246       0.410740E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.94        2500.00                 NaN   99.4623       0.497355       0.403912E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.45        2500.00                 NaN   99.4653       0.495418       0.393298E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.96        2500.00                 NaN   99.4692       0.491628       0.391870E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.48        2500.00                 NaN   99.4733       0.488542       0.381648E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.99        2500.00                 NaN   99.4775       0.486589       0.358615E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.51        2500.00                 NaN   99.4695       0.494989       0.354798E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.02        2500.00                 NaN   99.4931       0.473149       0.337402E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.53        2500.00                 NaN   99.4878       0.476594       0.355756E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.05        2500.00                 NaN   99.4932       0.472448       0.343284E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.56        2500.00                 NaN   99.3690       0.581513       0.494889E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.08        2500.00                 NaN   99.8475       0.143006       0.945498E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.59        2500.00                 NaN   99.2858       0.669005       0.452406E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.10        2500.00                 NaN   99.5038       0.466030       0.301647E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.62        2500.00                 NaN   99.5081       0.460856       0.310010E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.13        2500.00                 NaN   99.7200       0.261586       0.183728E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.65        2500.00                 NaN   99.3038       0.657149       0.390359E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.16        2500.00                 NaN   99.5177       0.453993       0.283207E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.67        2500.00                 NaN   99.5211       0.451189       0.277114E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.19        2500.00                 NaN   99.5228       0.450349       0.268650E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.70        2500.00                 NaN   99.5263       0.447925       0.258022E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.22        2500.00                 NaN   99.5298       0.444774       0.253848E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.73        2500.00                 NaN   99.4344       0.304598                 NaN  0.260958                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.24        2500.00                 NaN   99.4572       0.140881E-001            NaN  0.528702                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.76        2500.00                 NaN   99.4142       0.894950E-002  0.154588E-001  0.561356                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.27        2500.00                 NaN   99.4106       0.717309E-002            NaN  0.582190                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.78        2500.00                 NaN   99.4111       0.441073E-002            NaN  0.584474                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.30        2500.00                 NaN   99.6536                 NaN  0.207287E-001  0.325665                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.81        2500.00                 NaN   99.1777                 NaN            NaN  0.822272                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.33        2500.00                 NaN   99.4197       0.169538                 NaN  0.410757                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.84        2500.00                 NaN   99.4216       0.165265                 NaN  0.413120                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.35        2500.00                 NaN   99.4146                 NaN            NaN  0.585367                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.87        2500.00                 NaN   99.4152                 NaN            NaN  0.584769                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.38        2500.00                 NaN   99.4168                 NaN            NaN  0.583242                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.90        2500.00                 NaN   99.1757                 NaN            NaN  0.824295                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.41        2500.00                 NaN   99.8869                 NaN            NaN  0.113132                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.92        2500.00                 NaN   99.1785       0.119055E-001            NaN  0.809591                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.44        2500.00                 NaN   99.1169       0.644555E-001            NaN  0.818654                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.95        2500.00                 NaN   99.7120                 NaN            NaN  0.287959                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.47        2500.00                 NaN   99.4050                 NaN            NaN  0.595018                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.98        2500.00                 NaN   99.2427                 NaN            NaN  0.289423       0.467894                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.49        2500.00                 NaN   99.1189                 NaN            NaN  0.359217       0.521880                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.01        2500.00                 NaN   99.1264                 NaN            NaN  0.355033       0.518587                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.52        2500.00                 NaN   99.1346                 NaN            NaN  0.352380       0.513013                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.03        2500.00                 NaN   99.1413                 NaN            NaN  0.349496       0.509207                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.55        2500.00                 NaN   99.1499                 NaN            NaN  0.504666       0.345408                 NaN            NaN            NaN            NaN            NaN            NaN
  1474.06        2500.00                 NaN   99.1574                 NaN            NaN  0.500449       0.342105                 NaN            NaN            NaN            NaN            NaN            NaN
  1472.58        2500.00                 NaN   99.1638                 NaN            NaN  0.338581       0.497663                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.09        2500.00                 NaN   99.1716                 NaN            NaN  0.491703       0.336695                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.60        2500.00                 NaN   99.1775                 NaN            NaN  0.333493       0.489009                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.12        2500.00                 NaN   99.1860                 NaN            NaN  0.484236       0.329804                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.63        2500.00                 NaN   99.1861                 NaN            NaN  0.329345       0.484565                 NaN            NaN            NaN            NaN            NaN            NaN
  1465.15        2500.00                 NaN   99.2049                 NaN            NaN  0.322430       0.472690                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.66        2500.00                 NaN   99.2061                 NaN            NaN  0.321088       0.472841                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.17        2500.00                 NaN   99.2123                 NaN            NaN  0.318295       0.469454                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.69        2500.00                 NaN   99.2184                 NaN            NaN  0.316029       0.465596                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.20        2500.00                 NaN   99.2248                 NaN            NaN  0.462209       0.313029                 NaN            NaN            NaN            NaN            NaN            NaN
  1457.72        2500.00                 NaN   99.2315                 NaN            NaN  0.309944       0.458529                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.23        2500.00                 NaN   99.2376                 NaN            NaN  0.455037       0.307364                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.74        2500.00                 NaN   99.2437                 NaN            NaN  0.451559       0.304727                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.26        2500.00                 NaN   99.2492                 NaN            NaN  0.448525       0.302273                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.77        2500.00                 NaN   99.2549                 NaN            NaN  0.299609       0.445506                 NaN            NaN            NaN            NaN            NaN            NaN
