|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.75/LAR/LAR_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            q             
  1426.28        2500.00       0.167535E-001   95.8874        2.77303        1.29153                 NaN  0.313327E-001            NaN            NaN            NaN            NaN
  1425.21        2500.00       0.102767E-003   99.5613       0.107454       0.313377                 NaN  0.177948E-001            NaN            NaN            NaN            NaN
  1424.14        2500.00       0.935444E-004   99.5629       0.312286       0.107088                 NaN  0.176127E-001            NaN            NaN            NaN            NaN
  1423.07        2500.00       0.807971E-004   99.5646       0.107164       0.310803                 NaN  0.173292E-001            NaN            NaN            NaN            NaN
  1422.01        2500.00       0.968028E-004   99.5550       0.110621       0.315838                 NaN  0.184722E-001            NaN            NaN            NaN            NaN
  1420.94        2500.00       0.682255E-004   99.5813       0.298085       0.104584                 NaN  0.159459E-001            NaN            NaN            NaN            NaN
  1419.87        2500.00                 NaN   99.5834       0.330595       0.242960E-001            NaN  0.617168E-001            NaN            NaN            NaN            NaN
  1418.80        2500.00       0.529030E-004   99.5675       0.135735       0.296470                 NaN  0.218170E-003            NaN            NaN            NaN            NaN
  1417.73        2500.00       0.574269E-004   99.5562       0.139788       0.303948                 NaN  0.239471E-004            NaN            NaN            NaN            NaN
  1416.66        2500.00       0.599882E-004   99.5837       0.130837       0.285148                 NaN  0.276291E-003            NaN            NaN            NaN            NaN
  1415.60        2500.00       0.320122E-004   99.5765       0.108004       0.300692                 NaN  0.147437E-001            NaN            NaN            NaN            NaN
  1414.53        2500.00       0.333600E-003   99.4413       0.309138       0.127199                 NaN  0.420223E-001  0.799577E-001            NaN            NaN            NaN
  1413.46        2500.00                 NaN   98.9191       0.349148       0.196252                 NaN  0.148422       0.387058                 NaN            NaN            NaN
  1412.39        2500.00                 NaN   98.9304       0.191304       0.346425                 NaN  0.148404       0.383418                 NaN            NaN            NaN
  1411.32        2500.00                 NaN   98.9443       0.208056       0.337606                 NaN  0.134410       0.375609                 NaN            NaN            NaN
  1410.25        2500.00                 NaN   98.9542       0.347378       0.160290                 NaN  0.160373       0.377720                 NaN            NaN            NaN
  1409.19        2500.00                 NaN   98.8796       0.368191       0.191224                 NaN  0.158871       0.402083                 NaN            NaN            NaN
  1408.12        2500.00                 NaN   99.0674       0.157494       0.306780                 NaN  0.133595       0.334751                 NaN            NaN            NaN
  1407.05        2500.00                 NaN   98.9911       0.332796       0.168422                 NaN  0.145386       0.362308                 NaN            NaN            NaN
  1405.98        2500.00                 NaN   99.0081       0.226237       0.310807                 NaN  0.106440       0.348454                 NaN            NaN            NaN
  1404.91        2500.00                 NaN   99.0092       0.347550       0.957761E-001            NaN  0.183298       0.364218                 NaN            NaN            NaN
  1403.84        2500.00                 NaN   99.0249       0.324953       0.155657                 NaN  0.143796       0.350648                 NaN            NaN            NaN
  1402.78        2500.00                 NaN   99.0362       0.322080       0.151342                 NaN  0.143431       0.346926                 NaN            NaN            NaN
  1401.71        2500.00                 NaN   99.0471       0.319726       0.147319                 NaN  0.142848       0.342973                 NaN            NaN            NaN
  1400.64        2500.00                 NaN   99.0218       0.148621       0.329149                 NaN  0.147977       0.352418                 NaN            NaN            NaN
  1399.57        2500.00                 NaN   99.1045       0.297698       0.150678                 NaN  0.126656       0.320422                 NaN            NaN            NaN
  1398.50        2500.00                 NaN   99.0764       0.317925       0.120361                 NaN  0.150574       0.334733                 NaN            NaN            NaN
  1397.43        2500.00                 NaN   99.0874       0.310485       0.132378                 NaN  0.140705       0.329025                 NaN            NaN            NaN
  1396.37        2500.00                 NaN   99.0946       0.127688       0.309794                 NaN  0.141182       0.326737                 NaN            NaN            NaN
  1395.30        2500.00                 NaN   99.1132       0.282613       0.191235                 NaN  0.101279       0.311707                 NaN            NaN            NaN
  1394.23        2500.00                 NaN   99.1115       0.326089       0.560502E-001            NaN  0.177537       0.328780                 NaN            NaN            NaN
  1393.16        2500.00                 NaN   99.1272       0.300621       0.119768                 NaN  0.137708       0.314741                 NaN            NaN            NaN
  1392.09        2500.00                 NaN   99.1344       0.299808       0.115308                 NaN  0.137988       0.312453                 NaN            NaN            NaN
  1391.02        2500.00                 NaN   99.1437       0.111486       0.298099                 NaN  0.137488       0.309254                 NaN            NaN            NaN
  1389.96        2500.00                 NaN   99.1530       0.295383       0.109030                 NaN  0.136693       0.305877                 NaN            NaN            NaN
  1388.89        2500.00                 NaN   99.1614       0.293807       0.105112                 NaN  0.136628       0.303043                 NaN            NaN            NaN
  1387.82        2500.00                 NaN   99.1705       0.290947       0.103549                 NaN  0.135339       0.299643                 NaN            NaN            NaN
  1386.75        2500.00                 NaN   99.1787       0.996099E-001  0.289636                 NaN  0.135155       0.296935                 NaN            NaN            NaN
  1385.68        2500.00                 NaN   99.1862       0.970680E-001  0.287689                 NaN  0.134792       0.294297                 NaN            NaN            NaN
  1384.61        2500.00                 NaN   99.1940       0.286070       0.948836E-001            NaN  0.133723       0.291319                 NaN            NaN            NaN
  1383.55        2500.00                 NaN   99.2057       0.283155       0.910675E-001            NaN  0.132966       0.287144                 NaN            NaN            NaN
  1382.48        2500.00                 NaN   99.2115       0.885863E-001  0.281965                 NaN  0.132705       0.285286                 NaN            NaN            NaN
  1381.41        2500.00                 NaN   99.2190       0.861231E-001  0.280513                 NaN  0.131928       0.282395                 NaN            NaN            NaN
  1380.34        2500.00                 NaN   99.2134       0.877152E-001  0.281600                 NaN  0.132438       0.284829                 NaN            NaN            NaN
  1379.27        2500.00                 NaN   99.2458       0.783099E-001  0.274099                 NaN  0.129503       0.272318                 NaN            NaN            NaN
  1378.20        2500.00                 NaN   99.2419       0.275474       0.782228E-001            NaN  0.130182       0.274249                 NaN            NaN            NaN
  1377.13        2500.00                 NaN   99.2497       0.765407E-001  0.273301                 NaN  0.129117       0.271318                 NaN            NaN            NaN
  1376.07        2500.00                 NaN   99.2564       0.272042       0.738303E-001            NaN  0.128738       0.268945                 NaN            NaN            NaN
  1375.00        2500.00                 NaN   99.2633       0.270718       0.716310E-001            NaN  0.128011       0.266379                 NaN            NaN            NaN
  1373.93        2500.00                 NaN   99.2705       0.268236       0.692735E-001            NaN  0.127904       0.264124                 NaN            NaN            NaN
  1372.86        2500.00                 NaN   99.2787       0.266555       0.679118E-001            NaN  0.126128       0.260714                 NaN            NaN            NaN
  1371.79        2500.00                 NaN   99.2835       0.265568       0.658986E-001            NaN  0.125958       0.259088                 NaN            NaN            NaN
  1370.72        2500.00                 NaN   99.2919       0.639419E-001  0.263336                 NaN  0.124858       0.255982                 NaN            NaN            NaN
  1369.66        2500.00                 NaN   99.2972       0.262422       0.613141E-001            NaN  0.124836       0.254210                 NaN            NaN            NaN
  1368.59        2500.00                 NaN   99.2916       0.227537       0.124366                 NaN  0.104377       0.252164                 NaN            NaN            NaN
  1367.52        2500.00                 NaN   99.3052       0.239871       0.949432E-001            NaN  0.111312       0.248681                 NaN            NaN            NaN
  1366.45        2500.00                 NaN   99.3289       0.285127                 NaN            NaN  0.139925       0.246056                 NaN            NaN            NaN
