|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m4.75/T13/T13_1.tab                   
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             iron           San(TH)        ilm            q             
  1602.56        500.000        99.9759                 NaN  0.241446E-001  0.300662E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.05        500.000        99.0790                 NaN  0.907945       0.130290E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.54        500.000        99.0149                 NaN  0.985090                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.03        500.000        99.0287                 NaN  0.940100       0.312238E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.52        500.000        99.0287                 NaN  0.921039       0.502976E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.01        500.000        99.0591                 NaN  0.892490       0.484171E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.50        500.000        99.2601                 NaN  0.712268       0.275906E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.99        500.000        98.1877                 NaN   1.71083       0.101443                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.48        500.000        99.7738                 NaN  0.214738       0.114807E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        99.0870                 NaN  0.869116       0.438613E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.46        500.000        99.0967                 NaN  0.861121       0.422050E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.95        500.000        99.1085                 NaN  0.850717       0.408217E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.44        500.000        99.1161                 NaN  0.843962       0.399363E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
