|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.25/Y98/Y98_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          Sp(TH)         an             ilm            San(TH)        q              hed           
  1487.18        2500.00        99.9887                 NaN            NaN  0.112743E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.96        2500.00        99.1443                 NaN            NaN  0.585486       0.270222                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.74        2500.00        99.0662                 NaN            NaN  0.623494       0.310291                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.52        2500.00        99.0725                 NaN            NaN  0.618390       0.309061                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.30        2500.00        99.0780                 NaN            NaN  0.615308       0.306669                 NaN            NaN  0.369677E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1481.07        2500.00        99.6665                 NaN            NaN  0.214344       0.116186                 NaN            NaN  0.294823E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1479.85        2500.00        98.5150                 NaN            NaN   1.03412       0.388644                 NaN            NaN  0.622823E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1478.63        2500.00        99.0988                 NaN            NaN  0.288164       0.603657                 NaN            NaN  0.936683E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1477.41        2500.00        99.0710                 NaN            NaN  0.619411       0.309604                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.19        2500.00        99.1399                 NaN            NaN  0.574109       0.283952                 NaN            NaN  0.198940E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1474.97        2500.00        99.1158                 NaN            NaN  0.602157       0.256807                 NaN            NaN  0.252589E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1473.75        2500.00        99.1222                 NaN            NaN  0.597225       0.256150                 NaN            NaN  0.244150E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1472.53        2500.00        99.1270                 NaN            NaN  0.233428       0.600115                 NaN            NaN  0.394356E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1471.31        2500.00        99.1288                 NaN            NaN  0.280029       0.584055                 NaN            NaN  0.711676E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1470.09        2500.00        99.1375                 NaN            NaN  0.585513       0.255023                 NaN            NaN  0.219663E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1468.86        2500.00        99.1412                 NaN            NaN  0.582997       0.254536                 NaN            NaN  0.213131E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1467.64        2500.00        99.1275                 NaN            NaN  0.592087       0.259354                 NaN            NaN  0.210462E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1466.42        2500.00        99.1665                 NaN            NaN  0.568005       0.245733                 NaN            NaN  0.197892E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1465.20        2500.00        99.1580                 NaN            NaN  0.238457       0.575112                 NaN            NaN  0.283944E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1463.98        2500.00        99.1573                 NaN            NaN  0.267405       0.566594                 NaN            NaN  0.867720E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1462.76        2500.00        99.1636                 NaN            NaN  0.251924       0.566806                 NaN            NaN  0.176446E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1461.54        2500.00        99.8220                 NaN            NaN  0.542064E-001  0.120003                 NaN            NaN  0.336588E-002  0.470144E-003            NaN            NaN            NaN            NaN            NaN
  1460.32        2500.00        98.5178                 NaN            NaN   1.00337       0.449482                 NaN            NaN  0.293758E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1459.10        2500.00        99.1753                 NaN            NaN  0.553925       0.254913                 NaN            NaN  0.151144E-001  0.791502E-003            NaN            NaN            NaN            NaN            NaN
  1457.88        2500.00        99.1073                 NaN            NaN  0.604489       0.271834                 NaN            NaN  0.164153E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1456.65        2500.00        99.7381                 NaN            NaN  0.847220E-001  0.172843                 NaN            NaN  0.282523E-002  0.146621E-002            NaN            NaN            NaN            NaN            NaN
  1455.43        2500.00        98.7036                 NaN            NaN  0.385629       0.861776                 NaN            NaN  0.416346E-001  0.737304E-002            NaN            NaN            NaN            NaN            NaN
  1454.21        2500.00        99.1930                 NaN            NaN  0.546064       0.260917                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
