|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.5/TIS/TIS_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          San(TH)        ilm            q             
  1435.90        500.000        99.9924       0.759023E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.81        500.000        99.4338       0.375175       0.191009                 NaN            NaN            NaN            NaN            NaN            NaN
  1433.72        500.000        99.3258       0.226987       0.447215                 NaN            NaN            NaN            NaN            NaN            NaN
  1432.62        500.000        99.3299       0.444632       0.225513                 NaN            NaN            NaN            NaN            NaN            NaN
  1431.53        500.000        99.3343       0.442000       0.223741                 NaN            NaN            NaN            NaN            NaN            NaN
  1430.44        500.000        99.3320       0.444493       0.223540                 NaN            NaN            NaN            NaN            NaN            NaN
  1429.35        500.000        99.3466       0.432562       0.220820                 NaN            NaN            NaN            NaN            NaN            NaN
  1428.25        500.000        99.3449       0.220886       0.434234                 NaN            NaN            NaN            NaN            NaN            NaN
  1427.16        500.000        99.3420       0.436618       0.221366                 NaN            NaN            NaN            NaN            NaN            NaN
  1426.07        500.000        99.3575       0.426344       0.216132                 NaN            NaN            NaN            NaN            NaN            NaN
  1424.98        500.000        99.3571       0.426292       0.216581                 NaN            NaN            NaN            NaN            NaN            NaN
  1423.88        500.000        99.3595       0.424638       0.215867                 NaN            NaN            NaN            NaN            NaN            NaN
  1422.79        500.000        99.3626       0.214736       0.422682                 NaN            NaN            NaN            NaN            NaN            NaN
  1421.70        500.000        99.3668       0.420109       0.213072                 NaN            NaN            NaN            NaN            NaN            NaN
  1420.61        500.000        99.3700       0.418115       0.211900                 NaN            NaN            NaN            NaN            NaN            NaN
  1419.51        500.000        99.3733       0.415506       0.211151                 NaN            NaN            NaN            NaN            NaN            NaN
  1418.42        500.000        98.3162       0.540148       0.683448                 NaN  0.460248                 NaN            NaN            NaN            NaN
  1417.33        500.000        98.2843       0.698335       0.539562                 NaN  0.477853                 NaN            NaN            NaN            NaN
  1416.24        500.000        98.3096       0.687926       0.531773                 NaN  0.470677                 NaN            NaN            NaN            NaN
  1415.14        500.000        98.3308       0.679793       0.524747                 NaN  0.464699                 NaN            NaN            NaN            NaN
  1414.05        500.000        98.1511       0.752815       0.581527                 NaN  0.514596                 NaN            NaN            NaN            NaN
  1412.96        500.000        99.9470       0.234394E-001  0.567016E-002            NaN  0.178157E-001  0.605906E-002            NaN            NaN            NaN
  1411.87        500.000        97.0514       0.937213        1.15388                 NaN  0.822977       0.345125E-001            NaN            NaN            NaN
  1410.77        500.000        98.4195       0.432946       0.551010                 NaN  0.459879       0.136709                 NaN            NaN            NaN
  1409.68        500.000        98.2467       0.617331       0.469729                 NaN  0.510033       0.156181                 NaN            NaN            NaN
  1408.59        500.000        98.6633       0.345435       0.473672                 NaN  0.390338       0.127221                 NaN            NaN            NaN
  1407.50        500.000        98.4864       0.532941       0.406587                 NaN  0.440386       0.133734                 NaN            NaN            NaN
  1406.40        500.000        98.5050       0.531043       0.386554                 NaN  0.436193       0.141169                 NaN            NaN            NaN
  1405.31        500.000        98.5220       0.392364       0.523412                 NaN  0.429936       0.132331                 NaN            NaN            NaN
  1404.22        500.000        98.5421       0.350465       0.526734                 NaN  0.427270       0.153425                 NaN            NaN            NaN
  1403.13        500.000        98.5579       0.519381       0.355715                 NaN  0.421590       0.145375                 NaN            NaN            NaN
  1402.03        500.000        98.5753       0.365911       0.509762                 NaN  0.415028       0.134009                 NaN            NaN            NaN
  1400.94        500.000        98.6014       0.513378       0.317268                 NaN  0.410683       0.157231                 NaN            NaN            NaN
  1399.85        500.000        98.6133       0.506110       0.326658                 NaN  0.406099       0.147879                 NaN            NaN            NaN
  1398.76        500.000        98.6282       0.317237       0.503623                 NaN  0.401991       0.148924                 NaN            NaN            NaN
  1397.66        500.000        98.6490       0.497070       0.308917                 NaN  0.395951       0.149093                 NaN            NaN            NaN
  1396.57        500.000        98.6629       0.494546       0.299911                 NaN  0.392144       0.150492                 NaN            NaN            NaN
  1395.48        500.000        98.6776       0.290276       0.492340                 NaN  0.388096       0.151694                 NaN            NaN            NaN
  1394.39        500.000        98.6906       0.488492       0.284365                 NaN  0.384333       0.152240                 NaN            NaN            NaN
  1393.29        500.000        98.7119       0.272840       0.483428                 NaN  0.378257       0.153532                 NaN            NaN            NaN
  1392.20        500.000        98.7239       0.480825       0.265788                 NaN  0.375093       0.154350                 NaN            NaN            NaN
  1391.11        500.000        98.7396       0.477496       0.255972                 NaN  0.370770       0.156113                 NaN            NaN            NaN
  1390.02        500.000        98.7536       0.250277       0.474020                 NaN  0.366707       0.155436                 NaN            NaN            NaN
  1388.92        500.000        98.7653       0.239529       0.473680                 NaN  0.363663       0.157801                 NaN            NaN            NaN
  1387.83        500.000        98.7831       0.467027       0.235016                 NaN  0.358201       0.156659                 NaN            NaN            NaN
  1386.74        500.000        98.7946       0.465622       0.226026                 NaN  0.355223       0.158573                 NaN            NaN            NaN
  1385.65        500.000        98.7545       0.247816       0.475849                 NaN  0.366919       0.154958                 NaN            NaN            NaN
  1384.55        500.000        98.8511       0.183127       0.458273                 NaN  0.339525       0.167949                 NaN            NaN            NaN
  1383.46        500.000        98.8522       0.449182       0.204162                 NaN  0.337611       0.156832                 NaN            NaN            NaN
  1382.37        500.000        98.8470       0.196609       0.454727                 NaN  0.340318       0.161389                 NaN            NaN            NaN
  1381.28        500.000        98.8398       0.460506       0.191956                 NaN  0.343066       0.164677                 NaN            NaN            NaN
  1380.18        500.000        98.8875       0.180090       0.444222                 NaN  0.327806       0.160417                 NaN            NaN            NaN
  1379.09        500.000        98.8850       0.882075E-001  0.475869                 NaN  0.336797       0.214151                 NaN            NaN            NaN
  1378.00        500.000        98.8899       0.257088       0.417846                 NaN  0.321128       0.114042                 NaN            NaN            NaN
  1376.91        500.000        98.9051       0.443041       0.165459                 NaN  0.323317       0.163040                 NaN            NaN            NaN
  1375.81        500.000        98.9183       0.156519       0.440531                 NaN  0.319777       0.164882                 NaN            NaN            NaN
  1374.72        500.000        98.9279       0.439200       0.150658                 NaN  0.317069       0.165212                 NaN            NaN            NaN
  1373.63        500.000        98.9389       0.437107       0.144294                 NaN  0.313948       0.165797                 NaN            NaN            NaN
  1372.54        500.000        98.9498       0.434990       0.138294                 NaN  0.310758       0.166208                 NaN            NaN            NaN
  1371.44        500.000        98.9596       0.433019       0.132895                 NaN  0.307854       0.166632                 NaN            NaN            NaN
  1370.35        500.000        98.9699       0.430805       0.127961                 NaN  0.304784       0.166566                 NaN            NaN            NaN
  1369.26        500.000        99.2262       0.327042       0.873363E-001            NaN  0.229942       0.129484                 NaN            NaN            NaN
  1368.17        500.000        98.7396       0.153940       0.527608                 NaN  0.372751       0.206113                 NaN            NaN            NaN
  1367.07        500.000        99.0064       0.110259       0.423391                 NaN  0.293683       0.166267                 NaN            NaN            NaN
  1365.98        500.000        99.0102       0.423786       0.105305                 NaN  0.293034       0.167721                 NaN            NaN            NaN
  1364.89        500.000        99.0197       0.421939       0.100281                 NaN  0.290216       0.167876                 NaN            NaN            NaN
  1363.80        500.000        99.0281       0.959560E-001  0.420487                 NaN  0.287694       0.167794                 NaN            NaN            NaN
  1362.70        500.000        99.0363       0.419006       0.910272E-001            NaN  0.285284       0.168336                 NaN            NaN            NaN
  1361.61        500.000        99.0490       0.861334E-001  0.416289                 NaN  0.281286       0.167273                 NaN            NaN            NaN
  1360.52        500.000        99.0562       0.415651       0.810110E-001            NaN  0.279315       0.167845                 NaN            NaN            NaN
  1359.43        500.000        99.0653       0.763663E-001  0.413653                 NaN  0.276669       0.167988                 NaN            NaN            NaN
  1358.33        500.000        99.0696       0.733759E-001  0.414584                 NaN  0.275089       0.167341                 NaN            NaN            NaN
  1357.24        500.000        99.0851       0.410163       0.669372E-001            NaN  0.270574       0.167212                 NaN            NaN            NaN
  1356.15        500.000        99.0916       0.624091E-001  0.409515                 NaN  0.268785       0.167679                 NaN            NaN            NaN
  1355.06        500.000        99.0992       0.595754E-001  0.408036                 NaN  0.266276       0.166911                 NaN            NaN            NaN
  1353.96        500.000        99.1074       0.407287       0.542945E-001            NaN  0.263897       0.167114                 NaN            NaN            NaN
  1352.87        500.000        99.1135       0.404941       0.536211E-001            NaN  0.261893       0.166032                 NaN            NaN            NaN
  1351.78        500.000        99.1244       0.474209E-001  0.403878                 NaN  0.258498       0.165804                 NaN            NaN            NaN
  1350.69        500.000        99.1306       0.402889       0.452339E-001            NaN  0.256430       0.164870                 NaN            NaN            NaN
  1349.59        500.000        99.1387       0.400750       0.415153E-001            NaN  0.254143       0.164896                 NaN            NaN            NaN
  1348.50        500.000        99.1456       0.390738E-001  0.399515                 NaN  0.251858       0.163944                 NaN            NaN            NaN
  1347.41        500.000        99.1531       0.350757E-001  0.398633                 NaN  0.249545       0.163629                 NaN            NaN            NaN
  1346.32        500.000        99.1603       0.323464E-001  0.397109                 NaN  0.247301       0.162993                 NaN            NaN            NaN
  1345.22        500.000        99.1692       0.286560E-001  0.395430                 NaN  0.244570       0.162153                 NaN            NaN            NaN
  1344.13        500.000        99.1745       0.270324E-001  0.394631                 NaN  0.242736       0.161149                 NaN            NaN            NaN
  1343.04        500.000        99.1824       0.393505       0.230018E-001            NaN  0.240323       0.160765                 NaN            NaN            NaN
  1341.95        500.000        99.1889       0.227555E-001  0.390969                 NaN  0.238109       0.159288                 NaN            NaN            NaN
  1340.85        500.000        99.1958       0.195719E-001  0.389650                 NaN  0.236111       0.158887                 NaN            NaN            NaN
  1339.76        500.000        99.2039       0.391521       0.116200E-001            NaN  0.233848       0.159106                 NaN            NaN            NaN
  1338.67        500.000        99.2968       0.265603       0.184997                 NaN  0.196798       0.557967E-001            NaN            NaN            NaN
  1337.58        500.000        99.0909       0.474146                 NaN            NaN  0.263732       0.171192                 NaN            NaN            NaN
  1336.48        500.000        99.2230       0.389825                 NaN            NaN  0.227724       0.159427                 NaN            NaN            NaN
  1335.39        500.000        99.2303       0.387535                 NaN            NaN  0.225224       0.156962                 NaN            NaN            NaN
  1334.30        500.000        99.2346       0.386755                 NaN            NaN  0.223775       0.154823                 NaN            NaN            NaN
  1333.21        500.000        99.2413       0.384039                 NaN            NaN  0.221206       0.153497                 NaN            NaN            NaN
  1332.11        500.000        99.2479       0.380249                 NaN            NaN  0.219270       0.152548                 NaN            NaN            NaN
  1331.02        500.000        99.2477       0.384725                 NaN            NaN  0.218765       0.148840                 NaN            NaN            NaN
  1329.93        500.000        99.2441       0.327285       0.102769                 NaN  0.215069       0.110799                 NaN            NaN            NaN
  1328.84        500.000        99.2315       0.234452       0.267829                 NaN  0.212238       0.539330E-001            NaN            NaN            NaN
  1327.74        500.000        99.2708       0.371208                 NaN            NaN  0.211373       0.146599                 NaN            NaN            NaN
  1326.65        500.000        99.2754       0.371236                 NaN            NaN  0.209657       0.143700                 NaN            NaN            NaN
  1325.56        500.000        99.2824       0.371113                 NaN            NaN  0.207044       0.139488                 NaN            NaN            NaN
  1324.47        500.000        99.2850       0.363694                 NaN            NaN  0.206802       0.144531                 NaN            NaN            NaN
  1323.37        500.000        99.2917       0.363373                 NaN            NaN  0.204260       0.140644                 NaN            NaN            NaN
  1322.28        500.000        99.2972       0.363127                 NaN            NaN  0.202296       0.137388                 NaN            NaN            NaN
  1321.19        500.000        99.3012       0.362214                 NaN            NaN  0.200939       0.135604                 NaN            NaN            NaN
  1320.10        500.000        99.3063       0.360578                 NaN            NaN  0.199041       0.134034                 NaN            NaN            NaN
  1319.00        500.000        99.3125       0.362155                 NaN            NaN  0.196558       0.128822                 NaN            NaN            NaN
  1317.91        500.000        99.3177       0.357523                 NaN            NaN  0.195131       0.129651                 NaN            NaN            NaN
  1316.82        500.000        99.3213       0.355139                 NaN            NaN  0.193851       0.129669                 NaN            NaN            NaN
  1315.73        500.000        99.3264       0.356921                 NaN            NaN  0.191875       0.124829                 NaN            NaN            NaN
  1314.63        500.000        99.3309       0.355220                 NaN            NaN  0.190312       0.123547                 NaN            NaN            NaN
  1313.54        500.000        99.3352       0.355729                 NaN            NaN  0.188701       0.120378                 NaN            NaN            NaN
  1312.45        500.000        99.3396       0.355439                 NaN            NaN  0.187101       0.117831                 NaN            NaN            NaN
  1311.36        500.000        99.3451       0.351680                 NaN            NaN  0.185455       0.117758                 NaN            NaN            NaN
  1310.26        500.000        99.3489       0.353471                 NaN            NaN  0.183877       0.113766                 NaN            NaN            NaN
  1309.17        500.000        99.1759       0.446384                 NaN            NaN  0.233225       0.144476                 NaN            NaN            NaN
  1308.08        500.000        99.5331       0.260178                 NaN            NaN  0.130201       0.765250E-001            NaN            NaN            NaN
  1306.99        500.000        99.3621       0.349504                 NaN            NaN  0.179153       0.109239                 NaN            NaN            NaN
  1305.89        500.000        99.3669       0.345181                 NaN            NaN  0.177852       0.110077                 NaN            NaN            NaN
  1304.80        500.000        99.3700       0.347431                 NaN            NaN  0.176371       0.106229                 NaN            NaN            NaN
  1303.71        500.000        99.3732       0.350565                 NaN            NaN  0.175078       0.101189                 NaN            NaN            NaN
  1302.62        500.000        99.3776       0.349744                 NaN            NaN  0.173581       0.990800E-001            NaN            NaN            NaN
  1301.52        500.000        99.3818       0.345716                 NaN            NaN  0.172297       0.100225                 NaN            NaN            NaN
  1300.43        500.000        99.3851       0.350933                 NaN            NaN  0.170739       0.932444E-001            NaN            NaN            NaN
  1299.34        500.000        99.3878       0.350179                 NaN            NaN  0.169836       0.921477E-001            NaN            NaN            NaN
  1298.25        500.000        99.3937       0.346134                 NaN            NaN  0.167928       0.922757E-001            NaN            NaN            NaN
  1297.15        500.000        99.3955       0.349847                 NaN            NaN  0.167106       0.875958E-001            NaN            NaN            NaN
  1296.06        500.000        99.3893       0.364961                 NaN            NaN  0.168565       0.771556E-001            NaN            NaN            NaN
  1294.97        500.000        99.4057       0.353290                 NaN            NaN  0.162269       0.787295E-001            NaN            NaN            NaN
  1293.88        500.000        99.4055       0.350593                 NaN            NaN  0.163345       0.805322E-001            NaN            NaN            NaN
  1292.78        500.000        99.4072       0.355029                 NaN            NaN  0.162370       0.753539E-001            NaN            NaN            NaN
  1291.69        500.000        99.4123       0.346475                 NaN            NaN  0.161186       0.800391E-001            NaN            NaN            NaN
  1290.60        500.000        99.4126       0.363188                 NaN            NaN  0.159924       0.642492E-001            NaN            NaN            NaN
  1289.51        500.000        99.4151       0.363173                 NaN            NaN  0.159203       0.625417E-001            NaN            NaN            NaN
  1288.42        500.000        99.4249       0.347165                 NaN            NaN  0.157444       0.704484E-001            NaN            NaN            NaN
  1287.32        500.000        99.4210       0.361934                 NaN            NaN  0.156581       0.604445E-001            NaN            NaN            NaN
  1286.23        500.000        99.4222       0.363338                 NaN            NaN  0.156390       0.581196E-001            NaN            NaN            NaN
  1285.14        500.000        99.4279       0.365941                 NaN            NaN  0.154592       0.515954E-001            NaN            NaN            NaN
  1284.05        500.000        99.4252       0.379411                 NaN            NaN  0.154596       0.408178E-001            NaN            NaN            NaN
  1282.95        500.000        99.4307       0.371041                 NaN            NaN  0.153208       0.450611E-001            NaN            NaN            NaN
  1281.86        500.000        99.4319       0.377630                 NaN            NaN  0.152568       0.379105E-001            NaN            NaN            NaN
  1280.77        500.000        99.4357       0.373632                 NaN            NaN  0.151367       0.393420E-001            NaN            NaN            NaN
  1279.68        500.000        99.4397       0.370175                 NaN            NaN  0.150259       0.398656E-001            NaN            NaN            NaN
  1278.58        500.000        96.2449        1.31455                 NaN            NaN  0.502110       0.508868E-002   1.91170       0.216379E-001            NaN
  1277.49        500.000        91.8363        2.46830                 NaN            NaN   1.00904                 NaN   4.43724       0.249153                 NaN
  1276.40        500.000        92.4480        2.29571                 NaN            NaN  0.934706       0.339303E-005   4.09155       0.230035                 NaN
  1275.31        500.000        93.0075        2.12139                 NaN            NaN  0.869633       0.135524E-001   3.77637       0.211533                 NaN
  1274.21        500.000        93.4841        1.95586                 NaN            NaN  0.812493       0.378383E-001   3.51202       0.197646                 NaN
  1273.12        500.000        93.9021        1.85844                 NaN            NaN  0.762769       0.200693E-001   3.27390       0.182690                 NaN
  1272.03        500.000        94.2743        1.74476                 NaN            NaN  0.718196       0.254558E-001   3.06641       0.170885                 NaN
  1270.94        500.000        94.6075        1.65668                 NaN            NaN  0.678208       0.187466E-001   2.87928       0.159620                 NaN
  1269.84        500.000        94.8962        1.57517                 NaN            NaN  0.643327       0.172307E-001   2.71802       0.150078                 NaN
  1268.75        500.000        95.1586        1.49931                 NaN            NaN  0.611516       0.170855E-001   2.57200       0.141511                 NaN
  1267.66        500.000        95.3983        1.42838                 NaN            NaN  0.582323       0.179281E-001   2.43934       0.133771                 NaN
  1266.57        500.000        95.6166        1.37676                 NaN            NaN  0.555891       0.728270E-002   2.31749       0.125990                 NaN
  1265.47        500.000        95.8112        1.31047                 NaN            NaN  0.531767       0.155955E-001   2.21088       0.120137                 NaN
  1264.38        500.000        97.1614       0.244955                 NaN            NaN  0.403079       0.344514        1.74114       0.104935                 NaN
  1263.29        500.000        94.9771        1.88616                 NaN            NaN  0.620152                 NaN   2.39762       0.118985                 NaN
  1262.20        500.000        96.3664        1.15072                 NaN            NaN  0.454659                 NaN   1.92095       0.107303                 NaN
  1261.10        500.000        96.4933        1.11493                 NaN            NaN  0.439054                 NaN   1.85007       0.102634                 NaN
  1260.01        500.000        96.6108        1.08455                 NaN            NaN  0.427456                 NaN   1.78061       0.965691E-001            NaN
  1258.92        500.000        96.7182        1.05579                 NaN            NaN  0.415368                 NaN   1.71885       0.917597E-001            NaN
  1257.83        500.000        96.8313        1.02108                 NaN            NaN  0.402041       0.139715E-002   1.65672       0.874389E-001            NaN
  1256.73        500.000        96.9400       0.990616                 NaN            NaN  0.389273                 NaN   1.59696       0.831486E-001            NaN
  1255.64        500.000        97.0370       0.961639                 NaN            NaN  0.376386                 NaN   1.54488       0.801208E-001            NaN
  1254.55        500.000        97.1304       0.934436                 NaN            NaN  0.365299                 NaN   1.49355       0.763425E-001            NaN
  1253.46        500.000        97.2260       0.903846                 NaN            NaN  0.352198                 NaN   1.44420       0.737257E-001            NaN
  1252.36        500.000        97.2974       0.885717                 NaN            NaN  0.344514                 NaN   1.40232       0.700172E-001            NaN
  1251.27        500.000        97.3854       0.857120                 NaN            NaN  0.332346                 NaN   1.35747       0.677101E-001            NaN
  1250.18        500.000        97.4585       0.835016                 NaN            NaN  0.323194                 NaN   1.31837       0.649377E-001            NaN
  1249.09        500.000        97.5265       0.815762                 NaN            NaN  0.313758                 NaN   1.28130       0.626526E-001            NaN
  1247.99        500.000        97.5960       0.794386                 NaN            NaN  0.305352                 NaN   1.24437       0.599081E-001            NaN
  1246.90        500.000        97.6634       0.772794                 NaN            NaN  0.296003                 NaN   1.20987       0.579092E-001            NaN
  1245.81        500.000        97.7225       0.746836                 NaN            NaN  0.290313       0.744213E-002   1.17779       0.551223E-001            NaN
  1244.72        500.000        97.7845       0.737082                 NaN            NaN  0.279335                 NaN   1.14527       0.538137E-001            NaN
  1243.62        500.000        97.8484       0.640174                 NaN            NaN  0.279681       0.687298E-001   1.11261       0.504314E-001            NaN
  1242.53        500.000        97.9036       0.696384                 NaN            NaN  0.261704                 NaN   1.08730       0.509784E-001            NaN
  1241.44        500.000        97.9467       0.685510                 NaN            NaN  0.256658                 NaN   1.06237       0.487300E-001            NaN
  1240.35        500.000        98.0151       0.657280                 NaN            NaN  0.244227                 NaN   1.03462       0.487955E-001            NaN
  1239.25        500.000        98.0473       0.654560                 NaN            NaN  0.244449                 NaN   1.00914       0.445986E-001            NaN
  1238.16        500.000        98.0961       0.638006                 NaN            NaN  0.237245                 NaN  0.985317       0.433268E-001            NaN
  1237.07        500.000        98.1414       0.624196                 NaN            NaN  0.231921                 NaN  0.961067       0.413759E-001            NaN
  1235.98        500.000        98.1856       0.609968                 NaN            NaN  0.225655                 NaN  0.938847       0.399793E-001            NaN
  1234.88        500.000        98.2268       0.597148                 NaN            NaN  0.219784                 NaN  0.917584       0.386607E-001            NaN
  1233.79        500.000        98.2660       0.584845                 NaN            NaN  0.214466                 NaN  0.897468       0.372553E-001            NaN
