|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.5/TIS/TIS_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          San(TH)        ilm            q             
  1435.90        500.000        99.9935       0.649802E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.81        500.000        99.5173       0.321294       0.161401                 NaN            NaN            NaN            NaN            NaN            NaN
  1433.72        500.000        99.4253       0.191744       0.382910                 NaN            NaN            NaN            NaN            NaN            NaN
  1432.62        500.000        99.4290       0.380580       0.190414                 NaN            NaN            NaN            NaN            NaN            NaN
  1431.53        500.000        99.4331       0.378113       0.188788                 NaN            NaN            NaN            NaN            NaN            NaN
  1430.44        500.000        99.4314       0.380084       0.188542                 NaN            NaN            NaN            NaN            NaN            NaN
  1429.35        500.000        99.4442       0.369703       0.186110                 NaN            NaN            NaN            NaN            NaN            NaN
  1428.25        500.000        99.4430       0.186056       0.370989                 NaN            NaN            NaN            NaN            NaN            NaN
  1427.16        500.000        99.4408       0.372854       0.186370                 NaN            NaN            NaN            NaN            NaN            NaN
  1426.07        500.000        99.4543       0.363887       0.181849                 NaN            NaN            NaN            NaN            NaN            NaN
  1424.98        500.000        99.4541       0.363735       0.182149                 NaN            NaN            NaN            NaN            NaN            NaN
  1423.88        500.000        99.4564       0.362139       0.181428                 NaN            NaN            NaN            NaN            NaN            NaN
  1422.79        500.000        99.4593       0.180387       0.360320                 NaN            NaN            NaN            NaN            NaN            NaN
  1421.70        500.000        99.4631       0.357964       0.178886                 NaN            NaN            NaN            NaN            NaN            NaN
  1420.61        500.000        99.4661       0.356100       0.177804                 NaN            NaN            NaN            NaN            NaN            NaN
  1419.51        500.000        99.4692       0.353737       0.177068                 NaN            NaN            NaN            NaN            NaN            NaN
  1418.42        500.000        98.4888       0.459859       0.573098                 NaN  0.478217                 NaN            NaN            NaN            NaN
  1417.33        500.000        98.4594       0.585143       0.459088                 NaN  0.496400                 NaN            NaN            NaN            NaN
  1416.24        500.000        98.4832       0.575908       0.452118                 NaN  0.488814                 NaN            NaN            NaN            NaN
  1415.14        500.000        98.5031       0.568569       0.445825                 NaN  0.482475                 NaN            NaN            NaN            NaN
  1414.05        500.000        98.3426       0.629353       0.493862                 NaN  0.534226                 NaN            NaN            NaN            NaN
  1412.96        500.000        99.9521       0.199396E-001  0.475411E-002            NaN  0.184608E-001  0.474268E-002            NaN            NaN            NaN
  1411.87        500.000        97.3587       0.795578       0.964026                 NaN  0.854938       0.268006E-001            NaN            NaN            NaN
  1410.77        500.000        98.5898       0.360823       0.466664                 NaN  0.476857       0.105830                 NaN            NaN            NaN
  1409.68        500.000        98.4371       0.522389       0.391090                 NaN  0.528713       0.120680                 NaN            NaN            NaN
