|6.6.6
Archiving\03_Data\Deqfrac/QFM_m2.25/WD94/WD94_1.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q              hed           
  1631.41        2500.00       0.700081E-002   99.0498       0.837374       0.105797                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.83        2500.00                 NaN   99.8713       0.113149       0.155721E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1628.25        2500.00       0.236977E-002   97.9919        1.73367       0.272074                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.66        2500.00                 NaN   97.9177        1.82666       0.255612                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1625.08        2500.00                 NaN   99.9895       0.343609E-002  0.710237E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.50        2500.00                 NaN   99.4542       0.479224       0.665602E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.92        2500.00                 NaN   98.5109        1.29393       0.195127                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.33        2500.00                 NaN   98.0054        1.78158       0.213010                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.75        2500.00                 NaN   99.9494       0.687717E-002  0.437682E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.17        2500.00                 NaN   99.0716       0.805084       0.123274                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.59        2500.00                 NaN   99.0237       0.850615       0.125732                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.00        2500.00                 NaN   99.0332       0.842222       0.124550                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.42        2500.00                 NaN   99.0214       0.852696       0.125915                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.84        2500.00                 NaN   99.0756       0.805524       0.118863                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.26        2500.00                 NaN   99.0623       0.818300       0.119443                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.67        2500.00                 NaN   99.0722       0.808912       0.118876                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.09        2500.00                 NaN   99.0822       0.801106       0.116730                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.51        2500.00                 NaN   99.0894       0.796115       0.114485                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.93        2500.00                 NaN   99.0984       0.787916       0.113680                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.34        2500.00                 NaN   99.1094       0.778969       0.111594                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.76        2500.00                 NaN   99.1173       0.771803       0.110908                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.18        2500.00                 NaN   99.1257       0.765017       0.109315                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.60        2500.00                 NaN   99.1338       0.758434       0.107762                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.01        2500.00                 NaN   99.1353       0.759813       0.104846                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.43        2500.00                 NaN   99.1542       0.742214       0.103556                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.85        2500.00                 NaN   99.1577       0.738754       0.103539                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.27        2500.00                 NaN   99.1680       0.737929       0.940999E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.68        2500.00                 NaN   99.1728       0.718007       0.109180                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.10        2500.00                 NaN   99.1792       0.722621       0.981458E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.52        2500.00                 NaN   99.1887       0.712922       0.983430E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.94        2500.00                 NaN   99.1940       0.710272       0.956995E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.35        2500.00                 NaN   99.1358       0.755273       0.108950                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.77        2500.00                 NaN   99.2821       0.633221       0.846338E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.19        2500.00                 NaN   99.2166       0.691042       0.923344E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.61        2500.00                 NaN   99.2200       0.687596       0.924495E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.02        2500.00                 NaN   99.2348       0.675169       0.900084E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.44        2500.00                 NaN   99.1699       0.732851       0.972457E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.86        2500.00                 NaN   99.3097       0.610620       0.796769E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.28        2500.00                 NaN   99.2330       0.690617       0.764229E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.69        2500.00                 NaN   99.2739       0.631948       0.941699E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.11        2500.00                 NaN   99.2619       0.655126       0.829703E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.53        2500.00                 NaN   99.2678       0.649863       0.822979E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.95        2500.00                 NaN   99.2726       0.647410       0.799931E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.36        2500.00                 NaN   99.2796       0.640821       0.795876E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.78        2500.00                 NaN   99.2030       0.709617       0.873676E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.20        2500.00                 NaN   99.3727       0.559666       0.676070E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.62        2500.00                 NaN   99.9898                 NaN  0.102411E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.03        2500.00                 NaN   98.6129        1.24633       0.140745                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.45        2500.00                 NaN   99.3080       0.617243       0.747486E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.87        2500.00                 NaN   99.5236       0.425838       0.505313E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.29        2500.00                 NaN   99.8230       0.160424       0.165461E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.70        2500.00                 NaN   98.6045        1.25215       0.143392                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.12        2500.00                 NaN   99.3280       0.603199       0.687684E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.54        2500.00                 NaN   99.3319       0.600481       0.675847E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.96        2500.00                 NaN   99.3390       0.593654       0.673910E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.37        2500.00                 NaN   99.3433       0.590025       0.666786E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.79        2500.00                 NaN   99.3480       0.587105       0.648934E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.21        2500.00                 NaN   99.3519       0.584679       0.634670E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.63        2500.00                 NaN   99.3546       0.583556       0.618377E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.04        2500.00                 NaN   99.3622       0.576614       0.611845E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.46        2500.00                 NaN   99.3657       0.574064       0.602807E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.88        2500.00                 NaN   99.4564       0.490730       0.528312E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.30        2500.00                 NaN   99.2867       0.647245       0.660129E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.71        2500.00                 NaN   99.3775       0.565872       0.566682E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.13        2500.00                 NaN   99.3818       0.562361       0.558121E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.55        2500.00                 NaN   99.3851       0.560706       0.542011E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.97        2500.00                 NaN   99.3892       0.558055       0.527756E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.38        2500.00                 NaN   99.3927       0.552635       0.547115E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.80        2500.00                 NaN   99.3977       0.567229       0.350498E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.22        2500.00                 NaN   99.4013       0.531508       0.671449E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.64        2500.00                 NaN   99.4054       0.544879       0.497078E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.05        2500.00                 NaN   99.4075       0.543659       0.488037E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.47        2500.00                 NaN   99.4119       0.541268       0.467980E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.89        2500.00                 NaN   99.4150       0.537077       0.478805E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.31        2500.00                 NaN   99.9106       0.893900E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.72        2500.00                 NaN   98.9275       0.984641       0.878646E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.14        2500.00                 NaN   99.4107       0.473338       0.358154E-001  0.801489E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.56        2500.00                 NaN   99.2480                 NaN  0.360872E-001  0.715870                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.98        2500.00                 NaN   99.2468                 NaN  0.130085E-002  0.751913                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.39        2500.00                 NaN   98.4104                 NaN            NaN   1.58958                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.81        2500.00                 NaN   99.9831                 NaN            NaN  0.168600E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.23        2500.00                 NaN   99.5982       0.134626E-001  0.390643E-001  0.349252                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.65        2500.00                 NaN   98.9611                 NaN            NaN   1.03893                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.06        2500.00                 NaN   99.2181                 NaN            NaN  0.781925                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.48        2500.00                 NaN   99.2134                 NaN            NaN  0.786606                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.90        2500.00                 NaN   99.2033                 NaN            NaN  0.796655                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.32        2500.00                 NaN   99.1950                 NaN            NaN  0.804964                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.73        2500.00                 NaN   99.1737                 NaN            NaN  0.826251                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.15        2500.00                 NaN   98.9631                 NaN            NaN  0.432750       0.604144                 NaN            NaN            NaN            NaN            NaN            NaN
  1490.57        2500.00                 NaN   98.7739                 NaN            NaN  0.364830       0.861244                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.99        2500.00                 NaN   98.7854                 NaN            NaN  0.362508       0.852130                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.40        2500.00                 NaN   98.7939                 NaN            NaN  0.846810       0.359276                 NaN            NaN            NaN            NaN            NaN            NaN
  1485.82        2500.00                 NaN   98.8065                 NaN            NaN  0.838150       0.355388                 NaN            NaN            NaN            NaN            NaN            NaN
  1484.24        2500.00                 NaN   98.8147                 NaN            NaN  0.352882       0.832466                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.66        2500.00                 NaN   98.8237                 NaN            NaN  0.825986       0.350306                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.07        2500.00                 NaN   98.8370                 NaN  0.157808E-005  0.346914       0.816056                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.49        2500.00                 NaN   98.8439                 NaN            NaN  0.812122       0.343959                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.91        2500.00                 NaN   99.0620                 NaN  0.837575E-005  0.662229       0.275771                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.33        2500.00                 NaN   98.6504                 NaN            NaN  0.945052       0.404553                 NaN            NaN            NaN            NaN            NaN            NaN
  1474.74        2500.00                 NaN   98.8698                 NaN  0.307422E-004  0.335065       0.795141                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.16        2500.00                 NaN   98.8797                 NaN            NaN  0.787549       0.332724                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.58        2500.00                 NaN   99.0382                 NaN            NaN  0.284720       0.677059                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.00        2500.00                 NaN   98.7435                 NaN  0.253115E-001  0.896647       0.334587                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.41        2500.00                 NaN   98.9103                 NaN  0.464872E-001  0.251543       0.791643                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.83        2500.00                 NaN   98.9172                 NaN  0.451123E-001  0.250551       0.787141                 NaN            NaN            NaN            NaN            NaN            NaN
  1465.25        2500.00                 NaN   98.9248                 NaN  0.435913E-001  0.780438       0.251178                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.67        2500.00                 NaN   98.9322                 NaN  0.422438E-001  0.251070       0.774477                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.08        2500.00                 NaN   98.9387                 NaN  0.407420E-001  0.251012       0.769569                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.50        2500.00                 NaN   98.9449                 NaN  0.396107E-001  0.762810       0.252631                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.92        2500.00                 NaN   98.9515                 NaN  0.379992E-001  0.250581       0.759883                 NaN            NaN            NaN            NaN            NaN            NaN
  1457.34        2500.00                 NaN   98.9574                 NaN  0.367217E-001  0.250321       0.755599                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.75        2500.00                 NaN   98.9640                 NaN  0.355718E-001  0.250342       0.750124                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.17        2500.00                 NaN   98.9691                 NaN  0.351631E-001  0.248048       0.747654                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.59        2500.00                 NaN   98.9765                 NaN  0.315980E-001  0.251776       0.740123                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.01        2500.00                 NaN   99.5928                 NaN  0.252637E-001  0.786978E-001  0.303199                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.42        2500.00                 NaN   98.3722                 NaN  0.387601E-001  0.415334        1.17369                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.84        2500.00                 NaN   98.1901                 NaN  0.170595       0.847766       0.427357                 NaN  0.364201                 NaN            NaN            NaN            NaN
  1446.26        2500.00                 NaN   97.0066                 NaN  0.393194        1.01708       0.671830                 NaN  0.911306                 NaN            NaN            NaN            NaN
  1444.68        2500.00                 NaN   97.0403                 NaN  0.450954       0.569166        1.02959                 NaN  0.909937                 NaN            NaN            NaN            NaN
