|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m2.75/K22/K22_1.tab                   
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1596.15        500.000        99.4749                 NaN  0.525070                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.66        500.000        99.0309                 NaN  0.964947       0.417911E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.16        500.000        99.0397                 NaN  0.960298                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.67        500.000        99.0532                 NaN  0.946754       0.189826E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.17        500.000        99.0619                 NaN  0.925267       0.128733E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.68        500.000        99.0720                 NaN  0.900688       0.272658E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.19        500.000        99.0818                 NaN  0.891336       0.268418E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.69        500.000        99.0898                 NaN  0.884650       0.255679E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.20        500.000        99.0999                 NaN  0.876087       0.239735E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.70        500.000        99.1090                 NaN  0.866863       0.240901E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.21        500.000        99.1172                 NaN  0.859507       0.232847E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.71        500.000        99.1270                 NaN  0.850201       0.227981E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.22        500.000        99.1193                 NaN  0.861920       0.187719E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.73        500.000        99.1572                 NaN  0.820913       0.218539E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.23        500.000        99.1513                 NaN  0.829232       0.195040E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.74        500.000        99.1587                 NaN  0.823389       0.179053E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.24        500.000        99.1653                 NaN  0.818532       0.161451E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.75        500.000        99.1740                 NaN  0.809963       0.160803E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.26        500.000        99.1829                 NaN  0.800623       0.164592E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.76        500.000        99.1898                 NaN  0.795679       0.145548E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.27        500.000        99.1948                 NaN  0.792230       0.129643E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.77        500.000        99.2039                 NaN  0.782977       0.131513E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.28        500.000        99.2112                 NaN  0.777157       0.116200E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.79        500.000        99.2202                 NaN  0.769216       0.106024E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.29        500.000        99.2102                 NaN  0.742725       0.470918E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.80        500.000        99.2488                 NaN  0.751243                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.30        500.000        99.2389                 NaN  0.761119                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.81        500.000        99.2439                 NaN  0.750696       0.539118E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.31        500.000        99.2473                 NaN  0.752312       0.434114E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.82        500.000        99.2596                 NaN  0.737397       0.304300E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.33        500.000        99.6908                 NaN  0.148662       0.160546                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.83        500.000        98.8623                 NaN   1.13771                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.34        500.000        99.2750                 NaN  0.725008                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.84        500.000        99.2818                 NaN  0.718161                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.35        500.000        99.2872                 NaN  0.712808                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        99.2946                 NaN  0.705375       0.225152E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.36        500.000        99.2999                 NaN  0.699135       0.919660E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.87        500.000        99.3039                 NaN  0.696128                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.37        500.000        99.3128                 NaN  0.687152                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.88        500.000        99.3137                 NaN  0.686263       0.175962E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.39        500.000        99.3213                 NaN  0.678654                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.89        500.000        99.3262                 NaN  0.673784                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.40        500.000        99.3316                 NaN  0.668393                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.90        500.000        99.3367                 NaN  0.663326                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.41        500.000        99.3413                 NaN  0.658726                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.92        500.000        99.3459                 NaN  0.654131                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.42        500.000        99.3508                 NaN  0.649243                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.93        500.000        99.3550                 NaN  0.644958                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.43        500.000        99.3613                 NaN  0.638650                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.94        500.000        99.3634                 NaN  0.636561                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.44        500.000        99.3696                 NaN  0.630443                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.95        500.000        99.3758                 NaN  0.624156                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.46        500.000        99.3757                 NaN  0.624266       0.243619E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.96        500.000        99.3829                 NaN  0.617076                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.47        500.000        99.3872                 NaN  0.612778                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.97        500.000        99.3921                 NaN  0.607870                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.48        500.000        99.3960                 NaN  0.603987                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.99        500.000        99.3980                 NaN  0.602047       0.204185E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.49        500.000        99.4009                 NaN  0.599106                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.00        500.000        99.4099                 NaN  0.590056                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.50        500.000        99.4097                 NaN  0.590345                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.01        500.000        99.4159                 NaN  0.584141                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.52        500.000        99.4182                 NaN  0.581766                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.02        500.000        99.4178                 NaN  0.576625                 NaN  0.557192E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1500.53        500.000        99.4259                 NaN  0.574093                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.03        500.000        99.3014                 NaN  0.434310E-001  0.507744E-004  0.655075                 NaN            NaN            NaN            NaN            NaN            NaN
  1497.54        500.000        99.2826                 NaN            NaN            NaN  0.717390                 NaN            NaN            NaN            NaN            NaN            NaN
