|6.6.6
Archiving\03_Data\eq/QFM_m0.25/TAY13/TAY13_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       O(HP)          mang           Sp(TH)         pxmn           Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        2500.00        99.5288       0.209717       0.261451                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.5196       0.218921       0.261470                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.5104       0.228127       0.261489                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.5012       0.237335       0.261508                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.4919       0.246545       0.261528                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.4827       0.255757       0.261547                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.4735       0.264971       0.261566                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.4642       0.274187       0.261585                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.4550       0.283405       0.261605                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.4347       0.303697       0.261626                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.4144       0.323994       0.261647                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.3940       0.344295       0.261668                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.3737       0.364601       0.261689                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.3534       0.384912       0.261710                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.3330       0.405227       0.261731                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.3127       0.425547       0.261753                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.2924       0.445871       0.261774                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.2244       0.513770       0.261803                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        99.1565       0.581687       0.261833                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        99.0885       0.649625       0.261862                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        99.0205       0.717581       0.261892                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        98.9525       0.785558       0.261921                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        98.8845       0.853553       0.261951                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        98.8165       0.921568       0.261980                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        98.7484       0.989603       0.262009                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        98.3970        1.34092       0.262088                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        98.0454        1.69248       0.262167                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        97.6935        2.04426       0.262246                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        97.3414        2.39627       0.262324                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        96.9891        2.74852       0.262402                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        96.6365        3.10099       0.262480                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        96.2838        3.45369       0.262557                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        95.9308        3.80661       0.262635                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        95.3356        4.40166       0.262755                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        94.7399        4.99728       0.262874                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        94.1127        5.61572       0.263002       0.856967E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        93.4642        6.25191       0.263135       0.207660E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        92.8174        6.88657       0.263266       0.327440E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        90.8673        8.48801       0.624555E-001  0.636123E-001  0.518570                 NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        89.8005        9.43824                 NaN  0.811350E-001  0.680129                 NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        89.1356        10.0914                 NaN  0.924353E-001  0.680509                 NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        88.4912        10.7246                 NaN  0.103264       0.680883                 NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        87.8462        11.3585                 NaN  0.114105       0.681256                 NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        87.2004        11.9930                 NaN  0.124957       0.681627                 NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        86.5540        12.6282                 NaN  0.135821       0.681998                 NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        85.9070        13.2639                 NaN  0.146696       0.682368                 NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        85.2593        13.9004                 NaN  0.157582       0.682737                 NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        84.6110        14.5374                 NaN  0.168480       0.683104                 NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        83.9620        15.1752                 NaN  0.179389       0.683471                 NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        83.3449        15.7819                 NaN  0.189358       0.683828                 NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        82.7272        16.3893                 NaN  0.199337       0.684185                 NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        82.1089        16.9972                 NaN  0.209327       0.684541                 NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        81.4900        17.6058                 NaN  0.219326       0.684895                 NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        80.8706        18.2148                 NaN  0.229335       0.685248                 NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        80.2505        18.8245                 NaN  0.239353       0.685601                 NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        79.6299        19.4347                 NaN  0.249382       0.685952                 NaN            NaN            NaN            NaN            NaN            NaN
