|6.6.6
Archiving\03_Data\eq/QFM_m0.25/TAY13/TAY13_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       O(HP)          mang           Sp(TH)         pxmn           Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        2500.00        99.3235       0.236321       0.440228                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.3137       0.246124       0.440226                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.3038       0.255927       0.440224                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.2940       0.265730       0.440222                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.2842       0.275533       0.440220                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.2744       0.285335       0.440218                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.2646       0.295138       0.440216                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.2548       0.304941       0.440214                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.2450       0.314743       0.440212                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.2234       0.336351       0.440210                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.2018       0.357958       0.440209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.1802       0.379565       0.440207                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.1586       0.401172       0.440205                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.1370       0.422778       0.440203                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.1154       0.444385       0.440201                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.0938       0.465991       0.440199                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.0722       0.487597       0.440197                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        98.9999       0.559935       0.440195                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        98.9275       0.632273       0.440194                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        98.8552       0.704611       0.440192                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        98.7829       0.776947       0.440191                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        98.7105       0.849284       0.440189                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        98.6382       0.921620       0.440188                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        98.5659       0.993955       0.440186                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        98.4935        1.06629       0.440185                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        98.1189        1.44090       0.440187                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        97.7443        1.81551       0.440189                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        97.3697        2.19012       0.440191                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        96.9951        2.56474       0.440194                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        96.6204        2.93936       0.440196                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        96.2458        3.31398       0.440198                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        95.8712        3.68861       0.440200                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        95.4966        4.06325       0.440202                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        94.8631        4.69669       0.440208                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        94.2296        5.33014       0.440214                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        93.5597        5.98763       0.440220       0.124350E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        92.8645        6.66511       0.440226       0.301319E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        92.1728        7.33941       0.440232       0.475069E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        90.1477        9.03532       0.104289       0.921572E-001  0.620506                 NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        89.0262        10.0432                 NaN  0.117480       0.813142                 NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        88.3156        10.7373                 NaN  0.133861       0.813155                 NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        87.6244        11.4128                 NaN  0.149583       0.813169                 NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        86.9332        12.0883                 NaN  0.165305       0.813183                 NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        86.2419        12.7639                 NaN  0.181028       0.813197                 NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        85.5506        13.4394                 NaN  0.196752       0.813211                 NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        84.8593        14.1150                 NaN  0.212476       0.813224                 NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        84.1680        14.7906                 NaN  0.228200       0.813238                 NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        83.4766        15.4662                 NaN  0.243925       0.813252                 NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        82.7852        16.1419                 NaN  0.259651       0.813266                 NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        82.1227        16.7899                 NaN  0.274110       0.813281                 NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        81.4602        17.4379                 NaN  0.288570       0.813296                 NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        80.7977        18.0860                 NaN  0.303031       0.813311                 NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        80.1351        18.7340                 NaN  0.317492       0.813326                 NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        79.4726        19.3821                 NaN  0.331953       0.813341                 NaN            NaN            NaN            NaN            NaN            NaN
