|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m3/WD94/WD94_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1602.56        500.000        99.3712       0.460673       0.168151                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.05        500.000        98.8894        1.07070       0.398633E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.54        500.000        99.0925       0.848823       0.586511E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.03        500.000        99.0255       0.918960       0.555572E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.52        500.000        99.0298       0.915215       0.549503E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.01        500.000        99.0632       0.886255       0.505633E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.50        500.000        99.0207       0.925466       0.538071E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.99        500.000        99.0569       0.892596       0.505323E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.48        500.000        99.0374       0.915026       0.475679E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        99.1035       0.850458       0.460845E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.46        500.000        99.0863       0.867003       0.466689E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.95        500.000        99.0942       0.860371       0.454022E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.44        500.000        99.1043       0.851872       0.438493E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.93        500.000        99.7627       0.226856       0.104535E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.42        500.000        98.4744        1.45115       0.744423E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.91        500.000        99.1247       0.834130       0.411668E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.40        500.000        98.3799        1.50906       0.105128       0.586535E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.89        500.000        99.9831                 NaN  0.168539E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.38        500.000        99.1678       0.770094       0.621509E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.87        500.000        99.1621       0.802335       0.355586E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.36        500.000        99.1724       0.789934       0.376464E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.85        500.000        99.1770       0.790568       0.324281E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.34        500.000        99.1864       0.781784       0.318254E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.83        500.000        99.1932       0.775397       0.314343E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.32        500.000        99.1936       0.775328       0.311210E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.81        500.000        99.2152       0.754765       0.299973E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.30        500.000        99.2155       0.756070       0.284330E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.79        500.000        99.2212       0.752038       0.267490E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.28        500.000        99.2280       0.742743       0.292821E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.76        500.000        99.2334       0.744344       0.222325E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.25        500.000        99.2415       0.736224       0.223115E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.74        500.000        99.2496       0.727452       0.229802E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.23        500.000        99.2541       0.724068       0.218041E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.72        500.000        99.2621       0.716671       0.212101E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.21        500.000        99.2680       0.703430       0.285890E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.70        500.000        99.2733       0.712090       0.145964E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.19        500.000        99.2765       0.704474       0.189857E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.68        500.000        99.2895       0.693636       0.168784E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.17        500.000        99.2994       0.598152       0.102442                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.66        500.000        99.2939       0.704385       0.175741E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.15        500.000        99.3031       0.696927                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.64        500.000        99.3107       0.638365       0.509175E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.13        500.000        99.3108       0.671722       0.174750E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.62        500.000        99.3213       0.678710                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.11        500.000        99.2082       0.791833                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.60        500.000        99.5546       0.434310       0.111015E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.09        500.000        99.2177       0.782307                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.58        500.000        99.3379       0.662092                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.07        500.000        99.2571       0.575394       0.167517                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.56        500.000        99.4574       0.542598                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.05        500.000        99.3519       0.648119                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.54        500.000        99.3550       0.645034                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.03        500.000        99.3633       0.636390       0.360213E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.52        500.000        99.3646       0.635364                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.01        500.000        99.3722       0.627771                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.50        500.000        99.3745       0.625517       0.470820E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.99        500.000        99.3668       0.633180                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.48        500.000        99.4323       0.567724                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.97        500.000        99.3513       0.648695                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.46        500.000        99.3937       0.606259                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.95        500.000        99.3163       0.683742                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.44        500.000        99.6596       0.340402                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.93        500.000        99.2197       0.780276                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.42        500.000        99.1956       0.804408                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.91        500.000        99.6040       0.396016                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.40        500.000        99.4391       0.560891       0.299744E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.89        500.000        99.4178       0.582159                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.38        500.000        99.4210       0.579038                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.87        500.000        99.4255       0.574515                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.36        500.000        99.4285       0.571480                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.85        500.000        99.4324       0.567646                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.34        500.000        99.4370       0.563028                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.83        500.000        99.4402       0.559824                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.32        500.000        99.3963       0.337481                 NaN            NaN  0.266199                 NaN            NaN            NaN            NaN            NaN            NaN
  1490.81        500.000        99.3225       0.403004E-001            NaN            NaN  0.637218                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.30        500.000        99.3213                 NaN            NaN            NaN  0.678716                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.79        500.000        99.3221                 NaN  0.344320E-005            NaN  0.677889                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.28        500.000        99.3245                 NaN            NaN            NaN  0.675475                 NaN            NaN            NaN            NaN            NaN            NaN
  1484.77        500.000        99.3249                 NaN            NaN            NaN  0.675139                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.26        500.000        99.3270       0.262462E-001            NaN            NaN  0.646711                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.75        500.000        99.3234                 NaN            NaN            NaN  0.676636                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.24        500.000        99.3396                 NaN            NaN            NaN  0.660441                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.73        500.000        99.3150                 NaN            NaN            NaN  0.684992                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.22        500.000        99.3271                 NaN            NaN            NaN  0.672937                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.71        500.000        99.3247                 NaN            NaN            NaN  0.675337                 NaN            NaN            NaN            NaN            NaN            NaN
  1474.20        500.000        99.3478                 NaN            NaN            NaN  0.652191                 NaN            NaN            NaN            NaN            NaN            NaN
  1472.68        500.000        99.2938                 NaN            NaN            NaN  0.706177                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.17        500.000        99.3185                 NaN            NaN            NaN  0.681492                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.66        500.000        99.3150                 NaN            NaN            NaN  0.684968                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.15        500.000        99.3103                 NaN            NaN            NaN  0.689662                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.64        500.000        99.3009                 NaN            NaN            NaN  0.699103                 NaN            NaN            NaN            NaN            NaN            NaN
  1465.13        500.000        99.3010                 NaN            NaN            NaN  0.698987                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.62        500.000        99.2858                 NaN            NaN            NaN  0.714223                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.11        500.000        99.0489                 NaN            NaN            NaN  0.441693       0.509394                 NaN            NaN            NaN            NaN            NaN
  1460.60        500.000        98.8921                 NaN            NaN            NaN  0.367606       0.740325                 NaN            NaN            NaN            NaN            NaN
  1459.09        500.000        98.9049                 NaN            NaN            NaN  0.734054       0.361004                 NaN            NaN            NaN            NaN            NaN
