|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m3/WD94/WD94_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1602.56        500.000        99.4506       0.405764       0.143664                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.05        500.000        99.0219       0.944034       0.340778E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.54        500.000        99.2025       0.747420       0.501039E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.03        500.000        99.1435       0.809097       0.474326E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.52        500.000        99.1477       0.805442       0.468794E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.01        500.000        99.1771       0.779752       0.431108E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.50        500.000        99.1401       0.814045       0.458683E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.99        500.000        99.1720       0.784959       0.430595E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.48        500.000        99.1551       0.804374       0.405043E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        99.2133       0.747467       0.392296E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.46        500.000        99.1985       0.761775       0.397069E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.95        500.000        99.2056       0.755790       0.386164E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.44        500.000        99.2147       0.748071       0.372761E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.93        500.000        99.7921       0.199069       0.887543E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.42        500.000        98.6622        1.27456       0.632740E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.91        500.000        99.2332       0.731849       0.349553E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.40        500.000        98.5810        1.32564       0.896088E-001  0.379171E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.89        500.000        99.9857                 NaN  0.142785E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.38        500.000        99.2723       0.675018       0.526775E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.87        500.000        99.2669       0.703020       0.301237E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.36        500.000        99.2763       0.691850       0.318814E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.85        500.000        99.2801       0.692478       0.274533E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.34        500.000        99.2886       0.684515       0.269302E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.83        500.000        99.2947       0.678690       0.265864E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.32        500.000        99.2953       0.678432       0.263138E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.81        500.000        99.3144       0.660268       0.253455E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.30        500.000        99.3148       0.661199       0.240140E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.79        500.000        99.3199       0.657509       0.225765E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.28        500.000        99.3261       0.649167       0.247047E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.76        500.000        99.3310       0.650293       0.187441E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.25        500.000        99.3380       0.643182       0.188091E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.74        500.000        99.3453       0.635294       0.193643E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.23        500.000        99.3495       0.632135       0.183629E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.72        500.000        99.3567       0.625461       0.178530E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.21        500.000        99.3623       0.613672       0.240517E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.70        500.000        99.3666       0.621129       0.122761E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.19        500.000        99.3698       0.614251       0.159587E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.68        500.000        99.3811       0.604691       0.141810E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.17        500.000        99.3926       0.521350       0.860480E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.66        500.000        99.3849       0.613671       0.147499E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.15        500.000        99.3932       0.606812                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.64        500.000        99.4014       0.555886       0.426911E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.13        500.000        99.4007       0.584700       0.146456E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.62        500.000        99.4096       0.590433                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.11        500.000        99.3109       0.689132                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.60        500.000        99.6131       0.377598       0.928872E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.09        500.000        99.3196       0.680364                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.58        500.000        99.4245       0.575497                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.07        500.000        99.3603       0.499888       0.139785                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.56        500.000        99.5288       0.471213                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.05        500.000        99.4371       0.562867                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.54        500.000        99.4400       0.559983                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.03        500.000        99.4474       0.552336       0.300255E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
