|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.75/ALH/ALH_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         an             San(TH)        ilm            q             
  1554.49        2500.00        99.7026       0.177172       0.120260                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.10        2500.00        99.3859       0.526360       0.877586E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.71        2500.00        99.3911       0.571455       0.374476E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.32        2500.00        99.3946       0.538290       0.671591E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.93        2500.00        99.3997       0.564476       0.358236E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.54        2500.00        99.4013       0.518846       0.798723E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.15        2500.00        99.4044       0.536654       0.589459E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.76        2500.00        99.4118       0.529859       0.582923E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.37        2500.00        99.4137       0.528453       0.578469E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.98        2500.00        99.4193       0.523333       0.573254E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.59        2500.00        99.4215       0.522493       0.560073E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.20        2500.00        99.4250       0.519826       0.552032E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.81        2500.00        99.4001       0.542558       0.573849E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
