|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.75/ALH/ALH_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         an             San(TH)        ilm            q             
  1554.49        2500.00        99.7411       0.156406       0.102512                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.10        2500.00        99.4605       0.464693       0.748049E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.71        2500.00        99.4637       0.504409       0.319116E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.32        2500.00        99.4678       0.474960       0.571994E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.93        2500.00        99.4715       0.497957       0.305000E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.54        2500.00        99.4744       0.457655       0.679777E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.15        2500.00        99.4767       0.473132       0.501231E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.76        2500.00        99.4833       0.467133       0.495681E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.37        2500.00        99.4851       0.465737       0.491641E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.98        2500.00        99.4901       0.461165       0.487081E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.59        2500.00        99.4922       0.460269       0.475668E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.20        2500.00        99.4953       0.457834       0.468577E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.81        2500.00        99.4736       0.477671       0.486843E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.42        2500.00        99.5268       0.429550       0.436718E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.03        2500.00        99.4961       0.361679       0.142190                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.64        2500.00        99.5156       0.484439       0.181375E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.25        2500.00        99.5112       0.488845                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.87        2500.00        99.7798       0.212072       0.815778E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.48        2500.00        99.2529       0.681255       0.658869E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.09        2500.00        99.5195       0.438512       0.419910E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.70        2500.00        99.5142       0.443969       0.417855E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.31        2500.00        99.5356       0.424646       0.397726E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.92        2500.00        99.5284       0.431504       0.400873E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.53        2500.00        99.5319       0.429303       0.387862E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.14        2500.00        99.5343       0.425876       0.397939E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.75        2500.00        99.7529       0.226471       0.206628E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.36        2500.00        99.3195       0.626115       0.544080E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.97        2500.00        99.5437       0.418835       0.374192E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.58        2500.00        99.5465       0.415029       0.384673E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.19        2500.00        99.5426       0.420210       0.372202E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.80        2500.00        99.5542       0.410080       0.356849E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
