|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.25/WD94/WD94_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1602.56        2500.00       0.125038E-001   99.4300                 NaN  0.336827       0.220648                 NaN            NaN            NaN            NaN            NaN            NaN
  1601.05        2500.00       0.411296E-002   99.8873                 NaN  0.806606E-001  0.278884E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1599.54        2500.00                 NaN   98.5444                 NaN   1.27536       0.180284                 NaN            NaN            NaN            NaN            NaN            NaN
  1598.03        2500.00                 NaN   99.2155                 NaN  0.687574       0.969169E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1596.52        2500.00                 NaN   99.2237                 NaN  0.680686       0.955890E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1595.01        2500.00                 NaN   99.2280                 NaN  0.676153       0.958715E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1593.50        2500.00                 NaN   99.2317                 NaN  0.674441       0.938475E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1591.99        2500.00                 NaN   99.2524                 NaN  0.656656       0.909009E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1590.48        2500.00                 NaN   99.2531                 NaN  0.656578       0.902886E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00                 NaN   99.2576                 NaN  0.652943       0.894554E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1587.46        2500.00                 NaN   99.2656                 NaN  0.646591       0.878451E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1585.95        2500.00                 NaN   99.2685                 NaN  0.644664       0.868589E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1584.44        2500.00                 NaN   99.2499                 NaN  0.662599       0.875077E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1582.93        2500.00                 NaN   99.3147                 NaN  0.603494       0.818431E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1581.42        2500.00                 NaN   99.1953                 NaN  0.708186       0.965508E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1579.91        2500.00                 NaN   99.3914                 NaN  0.538586       0.700050E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1578.40        2500.00                 NaN   99.3054                 NaN  0.613448       0.811780E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1576.89        2500.00                 NaN   99.3091                 NaN  0.610948       0.799153E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1575.38        2500.00                 NaN   99.3155                 NaN  0.605335       0.792108E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1573.87        2500.00                 NaN   99.3221                 NaN  0.599257       0.786139E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1572.36        2500.00                 NaN   99.3272                 NaN  0.595058       0.777360E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1570.85        2500.00                 NaN   99.3337                 NaN  0.589375       0.768802E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1569.34        2500.00                 NaN   99.3321                 NaN  0.588659       0.792135E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1567.83        2500.00                 NaN   99.3519                 NaN  0.575554       0.725542E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1566.32        2500.00                 NaN   99.3489                 NaN  0.578293       0.727747E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1564.81        2500.00                 NaN   99.3543                 NaN  0.572831       0.728641E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1563.30        2500.00                 NaN   99.3596                 NaN  0.569720       0.706905E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1561.79        2500.00                 NaN   99.3654                 NaN  0.564412       0.701496E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1560.28        2500.00                 NaN   99.2968                 NaN  0.626689       0.764990E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1558.76        2500.00                 NaN   99.8279                 NaN  0.152353       0.197892E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1557.25        2500.00                 NaN   99.7431                 NaN  0.229419       0.274754E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1555.74        2500.00                 NaN   98.6439                 NaN   1.20954       0.146577                 NaN            NaN            NaN            NaN            NaN            NaN
  1554.23        2500.00                 NaN   99.3257                 NaN  0.601126       0.731482E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1552.72        2500.00                 NaN   99.4594                 NaN  0.483559       0.570725E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1551.21        2500.00                 NaN   99.3991                 NaN  0.536507       0.644043E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1549.70        2500.00                 NaN   99.4036                 NaN  0.534126       0.623099E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1548.19        2500.00                 NaN   99.3438                 NaN  0.589588       0.666188E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1546.68        2500.00                 NaN   99.4754                 NaN  0.470723       0.538893E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1545.17        2500.00                 NaN   99.4158                 NaN  0.525349       0.588756E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1543.66        2500.00                 NaN   99.4212                 NaN  0.520353       0.583987E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1542.15        2500.00                 NaN   99.4258                 NaN  0.516364       0.578720E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1540.64        2500.00                 NaN   99.4297                 NaN  0.512952       0.573594E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1539.13        2500.00                 NaN   99.4329                 NaN  0.512183       0.549393E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1537.62        2500.00                 NaN   99.4357                 NaN  0.508657       0.556723E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1536.11        2500.00                 NaN   99.3776                 NaN  0.561100       0.612828E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1534.60        2500.00                 NaN   99.5124                 NaN  0.440732       0.468621E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1533.09        2500.00                 NaN   99.4481                 NaN  0.500537       0.513129E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1531.58        2500.00                 NaN   99.4528                 NaN  0.496397       0.507656E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1530.07        2500.00                 NaN   99.4540                 NaN  0.495990       0.500305E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1528.56        2500.00                 NaN   99.4627                 NaN  0.487610       0.497004E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1527.05        2500.00                 NaN   99.9974                 NaN  0.260376E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.54        2500.00                 NaN   98.9334                 NaN  0.970304       0.963431E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1524.03        2500.00                 NaN   99.4733                 NaN  0.479999       0.466969E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1522.52        2500.00                 NaN   99.4746                 NaN  0.479455       0.458985E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1521.01        2500.00                 NaN   99.4784                 NaN  0.475386       0.461879E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1519.50        2500.00                 NaN   99.4807                 NaN  0.475055       0.442075E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1517.99        2500.00                 NaN   99.4848                 NaN  0.471196       0.440284E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1516.48        2500.00                 NaN   99.4873                 NaN  0.497309       0.154249E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1514.97        2500.00                 NaN   99.4913                 NaN  0.441403       0.672517E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1513.46        2500.00                 NaN   99.4909                 NaN  0.468649       0.404255E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1511.95        2500.00                 NaN   99.4979                 NaN  0.462320       0.398032E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1510.44        2500.00                 NaN   99.5011                 NaN  0.457238       0.416769E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1508.93        2500.00                 NaN   99.5032                 NaN  0.459510       0.373053E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1507.42        2500.00                 NaN   99.2140                 NaN  0.723145       0.628160E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1505.91        2500.00                 NaN   99.8061                 NaN  0.180100       0.138012E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1504.40        2500.00                 NaN   99.5111                 NaN  0.452797       0.361041E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1502.89        2500.00                 NaN   99.5144                 NaN  0.438187       0.474101E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1501.38        2500.00                 NaN   99.5192                 NaN  0.451540       0.292165E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1499.87        2500.00                 NaN   99.5171                 NaN  0.456514       0.264070E-001            NaN            NaN            NaN            NaN            NaN            NaN
