|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.25/WD94/WD94_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1602.56        2500.00       0.804384E-002   99.5077                 NaN  0.296029       0.188203                 NaN            NaN            NaN            NaN            NaN            NaN
  1601.05        2500.00       0.264579E-002   99.9027                 NaN  0.708442E-001  0.237771E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1599.54        2500.00                 NaN   98.7248                 NaN   1.12141       0.153811                 NaN            NaN            NaN            NaN            NaN            NaN
  1598.03        2500.00                 NaN   99.3136                 NaN  0.603801       0.825642E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1596.52        2500.00                 NaN   99.3210                 NaN  0.597580       0.814094E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1595.01        2500.00                 NaN   99.3251                 NaN  0.593346       0.815926E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1593.50        2500.00                 NaN   99.3285                 NaN  0.591630       0.798285E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1591.99        2500.00                 NaN   99.3467                 NaN  0.575966       0.772872E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1590.48        2500.00                 NaN   99.3476                 NaN  0.575639       0.767497E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00                 NaN   99.3519                 NaN  0.572174       0.759732E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1587.46        2500.00                 NaN   99.3590                 NaN  0.566467       0.745824E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1585.95        2500.00                 NaN   99.3616                 NaN  0.564656       0.737039E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1584.44        2500.00                 NaN   99.3458                 NaN  0.580030       0.742142E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1582.93        2500.00                 NaN   99.4025                 NaN  0.528080       0.693782E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1581.42        2500.00                 NaN   99.2985                 NaN  0.619671       0.818175E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1579.91        2500.00                 NaN   99.4698                 NaN  0.470955       0.592721E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1578.40        2500.00                 NaN   99.3950                 NaN  0.536287       0.687106E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1576.89        2500.00                 NaN   99.3984                 NaN  0.533976       0.675991E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1575.38        2500.00                 NaN   99.4042                 NaN  0.528826       0.669809E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1573.87        2500.00                 NaN   99.4102                 NaN  0.523367       0.664452E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1572.36        2500.00                 NaN   99.4148                 NaN  0.519507       0.656691E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1570.85        2500.00                 NaN   99.4207                 NaN  0.514346       0.649117E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1569.34        2500.00                 NaN   99.4197                 NaN  0.513494       0.668126E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1567.83        2500.00                 NaN   99.4368                 NaN  0.501976       0.612021E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1566.32        2500.00                 NaN   99.4345                 NaN  0.504145       0.613462E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1564.81        2500.00                 NaN   99.4394                 NaN  0.499172       0.613917E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1563.30        2500.00                 NaN   99.4441                 NaN  0.496374       0.595321E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1561.79        2500.00                 NaN   99.4494                 NaN  0.491553       0.590417E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1560.28        2500.00                 NaN   99.3900                 NaN  0.545617       0.643768E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1558.76        2500.00                 NaN   99.8508                 NaN  0.132511       0.166431E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1557.25        2500.00                 NaN   99.7775                 NaN  0.199476       0.230729E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1555.74        2500.00                 NaN   98.8237                 NaN   1.05303       0.123254                 NaN            NaN            NaN            NaN            NaN            NaN
  1554.23        2500.00                 NaN   99.4160                 NaN  0.522589       0.614034E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1552.72        2500.00                 NaN   99.5319                 NaN  0.420223       0.478886E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1551.21        2500.00                 NaN   99.4799                 NaN  0.466098       0.540168E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1549.70        2500.00                 NaN   99.4839                 NaN  0.463858       0.522269E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1548.19        2500.00                 NaN   99.4321                 NaN  0.512065       0.558114E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1546.68        2500.00                 NaN   99.5464                 NaN  0.408500       0.451254E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1545.17        2500.00                 NaN   99.4950                 NaN  0.455786       0.492539E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1543.66        2500.00                 NaN   99.4998                 NaN  0.451299       0.488585E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1542.15        2500.00                 NaN   99.5040                 NaN  0.447653       0.483835E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1540.64        2500.00                 NaN   99.5075                 NaN  0.444584       0.479332E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1539.13        2500.00                 NaN   99.5103                 NaN  0.443782       0.458844E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1537.62        2500.00                 NaN   99.5130                 NaN  0.440492       0.464627E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1536.11        2500.00                 NaN   99.4630                 NaN  0.485807       0.511434E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1534.60        2500.00                 NaN   99.5795                 NaN  0.381434       0.390769E-001            NaN            NaN            NaN            NaN            NaN            NaN
