|6.6.6
Archiving\03_Data\eqLP/QFM_m3/GRV/GRV_1.tab                               
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       pxmn           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             ab            
  2000.00        500.000        99.1675       0.832477                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.1675       0.832476                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.1675       0.832476                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.1675       0.832475                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.1675       0.832474                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.1675       0.832474                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.1675       0.832473                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.1675       0.832472                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.1675       0.832472                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.1675       0.832471                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.1675       0.832470                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.1675       0.832470                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.1675       0.832469                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.1675       0.832468                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.1675       0.832468                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.1675       0.832467                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.1675       0.832466                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.1675       0.832465                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        99.1675       0.832465                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        99.1675       0.832464                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        99.1675       0.832463                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        99.1675       0.832462                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        99.1675       0.832461                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        99.1675       0.832461                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        99.1675       0.832460                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        99.1675       0.832459                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        99.1675       0.832458                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        99.1675       0.832457                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        99.1675       0.832457                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        99.1675       0.832456                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        99.1675       0.832455                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        99.1675       0.832454                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        99.1675       0.832453                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        99.1675       0.832452                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        99.1675       0.832451                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        99.1675       0.832450                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        99.1676       0.832449                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        99.1676       0.832449                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        99.1676       0.832448                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        99.1676       0.832447                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        99.1676       0.832446                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        99.1676       0.832445                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        99.1676       0.832444                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        99.1676       0.832443                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        99.1676       0.832442                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        99.1676       0.832441                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        99.1676       0.832440                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        99.1676       0.832439                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        99.1676       0.832438                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        99.1676       0.832437                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        99.1676       0.832436                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        99.1676       0.832434                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        99.1676       0.832433                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        99.1676       0.832432                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        99.1676       0.832431                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        99.1676       0.832430                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        99.1676       0.832429                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        99.1676       0.832428                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        99.1676       0.832427                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        99.1676       0.832425                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        99.1676       0.832424                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        99.1676       0.832423                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        500.000        99.1566       0.832422       0.109805E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        500.000        99.1359       0.832420       0.316403E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        500.000        99.1153       0.832419       0.523000E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        500.000        99.0956       0.832417       0.720040E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        500.000        99.0759       0.832415       0.917079E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        500.000        99.0562       0.832414       0.111412                 NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        500.000        99.0365       0.832412       0.131115                 NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        500.000        99.0168       0.832410       0.150819                 NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        500.000        98.9971       0.832409       0.170523                 NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        500.000        98.9774       0.832407       0.190226                 NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        500.000        98.9577       0.832405       0.209930                 NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        500.000        98.9389       0.832404       0.228742                 NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        500.000        98.9200       0.832402       0.247555                 NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        500.000        98.3932       0.832404       0.266256       0.508103                 NaN            NaN            NaN            NaN            NaN
  1756.41        500.000        97.5301       0.832408       0.284939        1.35251                 NaN            NaN            NaN            NaN            NaN
  1753.21        500.000        96.6650       0.832412       0.303095        2.19948                 NaN            NaN            NaN            NaN            NaN
  1750.00        500.000        95.7999       0.832416       0.321252        3.04647                 NaN            NaN            NaN            NaN            NaN
  1746.79        500.000        94.9347       0.832420       0.339408        3.89347                 NaN            NaN            NaN            NaN            NaN
  1743.59        500.000        94.0695       0.832425       0.357565        4.74047                 NaN            NaN            NaN            NaN            NaN
  1740.38        500.000        93.1906       0.832429       0.374702        5.60225                 NaN            NaN            NaN            NaN            NaN
  1737.18        500.000        92.3117       0.832434       0.391840        6.46404                 NaN            NaN            NaN            NaN            NaN
  1733.97        500.000        91.4327       0.832438       0.408977        7.32584                 NaN            NaN            NaN            NaN            NaN
  1730.77        500.000        90.5538       0.832443       0.426115        8.18765                 NaN            NaN            NaN            NaN            NaN
  1727.56        500.000        89.6748       0.832448       0.443252        9.04947                 NaN            NaN            NaN            NaN            NaN
  1724.36        500.000        88.7959       0.832452       0.460390        9.91130                 NaN            NaN            NaN            NaN            NaN
  1721.15        500.000        87.9169       0.832457       0.477529        10.7731                 NaN            NaN            NaN            NaN            NaN
  1717.95        500.000        87.0379       0.832462       0.494667        11.6350                 NaN            NaN            NaN            NaN            NaN
  1714.74        500.000        86.1602       0.832467       0.510396        12.4969                 NaN            NaN            NaN            NaN            NaN
  1711.54        500.000        85.2826       0.832472       0.526126        13.3588                 NaN            NaN            NaN            NaN            NaN
  1708.33        500.000        84.4049       0.832477       0.541856        14.2207                 NaN            NaN            NaN            NaN            NaN
  1705.13        500.000        83.5273       0.832482       0.557586        15.0827                 NaN            NaN            NaN            NaN            NaN
  1701.92        500.000        82.6496       0.832487       0.573316        15.9446                 NaN            NaN            NaN            NaN            NaN
  1698.72        500.000        81.7719       0.832492       0.589046        16.8066                 NaN            NaN            NaN            NaN            NaN
  1695.51        500.000        80.8942       0.832497       0.604777        17.6686                 NaN            NaN            NaN            NaN            NaN
  1692.31        500.000        80.0165       0.832502       0.620508        18.5305                 NaN            NaN            NaN            NaN            NaN
  1689.10        500.000        79.1731       0.832507       0.635002        19.3594                 NaN            NaN            NaN            NaN            NaN
  1685.90        500.000        78.3298       0.832512       0.649497        20.1882                 NaN            NaN            NaN            NaN            NaN
  1682.69        500.000        77.4865       0.832517       0.663992        21.0170                 NaN            NaN            NaN            NaN            NaN
  1679.49        500.000        76.6431       0.832522       0.678487        21.8459                 NaN            NaN            NaN            NaN            NaN
  1676.28        500.000        75.7998       0.832527       0.692982        22.6747                 NaN            NaN            NaN            NaN            NaN
  1673.08        500.000        74.9564       0.832532       0.707477        23.5036                 NaN            NaN            NaN            NaN            NaN
  1669.87        500.000        74.1130       0.832537       0.721973        24.3325                 NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        73.2696       0.832542       0.736468        25.1614                 NaN            NaN            NaN            NaN            NaN
  1663.46        500.000        72.4858       0.832547       0.749729        25.9319                 NaN            NaN            NaN            NaN            NaN
  1660.26        500.000        71.7020       0.832552       0.762990        26.7025                 NaN            NaN            NaN            NaN            NaN
  1657.05        500.000        70.9181       0.832557       0.776252        27.4730                 NaN            NaN            NaN            NaN            NaN
  1653.85        500.000        70.1343       0.832562       0.789513        28.2436                 NaN            NaN            NaN            NaN            NaN
  1650.64        500.000        69.3504       0.832567       0.802775        29.0142                 NaN            NaN            NaN            NaN            NaN
  1647.44        500.000        68.5666       0.832572       0.816037        29.7848                 NaN            NaN            NaN            NaN            NaN
  1644.23        500.000        67.7827       0.832577       0.829298        30.5554                 NaN            NaN            NaN            NaN            NaN
  1641.03        500.000        66.9988       0.832582       0.842561        31.3260                 NaN            NaN            NaN            NaN            NaN
  1637.82        500.000        66.2769       0.832587       0.854937        32.0356                 NaN            NaN            NaN            NaN            NaN
  1634.62        500.000        65.5549       0.832591       0.867314        32.7452                 NaN            NaN            NaN            NaN            NaN
