|6.6.6
Archiving\03_Data\eqfrac/QFM_m3/Y98/Y98_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        O(HP)          Sp(TH)         an             ilm            San(TH)        q             
  1487.18        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.96        2500.00        99.2491       0.462080       0.288804                 NaN            NaN            NaN            NaN            NaN            NaN
  1484.74        2500.00        99.1754       0.549845       0.274784                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.52        2500.00        99.1805       0.273012       0.546447                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.30        2500.00        99.1656       0.555796       0.278554                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.07        2500.00        99.2091       0.263888       0.527034                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.85        2500.00        99.1963       0.268798       0.534909                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.63        2500.00        99.2028       0.531258       0.265974       0.967277E-006            NaN            NaN            NaN            NaN            NaN
  1477.41        2500.00        99.1841       0.269838       0.544384       0.167921E-002            NaN            NaN            NaN            NaN            NaN
  1476.19        2500.00        99.2429       0.195653       0.525514       0.359584E-001            NaN            NaN            NaN            NaN            NaN
  1474.97        2500.00        99.2189       0.260578       0.520476       0.235750E-005            NaN            NaN            NaN            NaN            NaN
  1473.75        2500.00        99.2248       0.522956       0.241141       0.110854E-001            NaN            NaN            NaN            NaN            NaN
  1472.53        2500.00        99.2265       0.258335       0.515200                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.31        2500.00        99.2334       0.249633       0.512917       0.407859E-002            NaN            NaN            NaN            NaN            NaN
  1470.09        2500.00        99.2408       0.225125       0.515725       0.183208E-001            NaN            NaN            NaN            NaN            NaN
  1468.86        2500.00        99.2447       0.512843       0.224733       0.177064E-001            NaN            NaN            NaN            NaN            NaN
  1467.64        2500.00        99.2503       0.223802       0.508860       0.170877E-001            NaN            NaN            NaN            NaN            NaN
  1466.42        2500.00        99.2542       0.506056       0.223376       0.163812E-001            NaN            NaN            NaN            NaN            NaN
  1465.20        2500.00        99.2582       0.222354       0.503648       0.157993E-001            NaN            NaN            NaN            NaN            NaN
  1463.98        2500.00        98.7044       0.858194       0.416093       0.164538E-001  0.482243E-002            NaN            NaN            NaN            NaN
  1462.76        2500.00        99.8336       0.113461       0.440053E-001  0.890037E-002            NaN            NaN            NaN            NaN            NaN
  1461.54        2500.00        99.2704       0.220418       0.495100       0.140384E-001            NaN            NaN            NaN            NaN            NaN
  1460.32        2500.00        99.2743       0.220662       0.491629       0.133739E-001            NaN            NaN            NaN            NaN            NaN
  1459.10        2500.00        99.2781       0.220115       0.488907       0.129080E-001            NaN            NaN            NaN            NaN            NaN
  1457.88        2500.00        99.2819       0.219422       0.486323       0.123552E-001            NaN            NaN            NaN            NaN            NaN
  1456.65        2500.00        99.2854       0.218917       0.483953       0.117035E-001            NaN            NaN            NaN            NaN            NaN
  1455.43        2500.00        99.2885       0.218444       0.481881       0.111766E-001            NaN            NaN            NaN            NaN            NaN
  1454.21        2500.00        99.2921       0.218417       0.478841       0.105999E-001            NaN            NaN            NaN            NaN            NaN
  1452.99        2500.00        99.2961       0.217389       0.476447       0.100802E-001            NaN            NaN            NaN            NaN            NaN
  1451.77        2500.00        99.2987       0.216969       0.474815       0.951923E-002            NaN            NaN            NaN            NaN            NaN
  1450.55        2500.00        99.3016       0.472828       0.216538       0.900244E-002            NaN            NaN            NaN            NaN            NaN
  1449.33        2500.00        99.3044       0.470773       0.216385       0.844128E-002            NaN            NaN            NaN            NaN            NaN
  1448.11        2500.00        97.9774       0.443921       0.665657       0.222725                 NaN  0.690325                 NaN            NaN            NaN
  1446.89        2500.00        97.9388       0.669952       0.442134       0.233126                 NaN  0.716020                 NaN            NaN            NaN
  1445.67        2500.00        97.9730       0.426260       0.663724       0.232050                 NaN  0.705012                 NaN            NaN            NaN
  1444.44        2500.00        98.0006       0.416429       0.654749       0.232150                 NaN  0.696038                 NaN            NaN            NaN
  1443.22        2500.00        98.0488       0.641706       0.401547       0.228819                 NaN  0.679154                 NaN            NaN            NaN
  1442.00        2500.00        98.0735       0.389296       0.636670       0.228938                 NaN  0.671590                 NaN            NaN            NaN
  1440.78        2500.00        98.1034       0.629906       0.376881       0.228152                 NaN  0.661647                 NaN            NaN            NaN
  1439.56        2500.00        98.1329       0.623542       0.364036       0.227403                 NaN  0.652105                 NaN            NaN            NaN
  1438.34        2500.00        98.1619       0.616447       0.352737       0.226534                 NaN  0.642424                 NaN            NaN            NaN
  1437.12        2500.00        98.1895       0.341092       0.610106       0.226007                 NaN  0.633315                 NaN            NaN            NaN
  1435.90        2500.00        98.2163       0.331059       0.602576       0.225256                 NaN  0.624805                 NaN            NaN            NaN
  1434.68        2500.00        98.2458       0.596817       0.318850       0.223978                 NaN  0.614555                 NaN            NaN            NaN
  1433.46        2500.00        98.2693       0.308219       0.591764       0.223733                 NaN  0.606947                 NaN            NaN            NaN
  1432.23        2500.00        98.2960       0.585384       0.297797       0.222840                 NaN  0.598022                 NaN            NaN            NaN
  1431.01        2500.00        98.3125       0.584368       0.285446       0.224328                 NaN  0.593358                 NaN            NaN            NaN
  1429.79        2500.00        98.3529       0.570191       0.278837       0.219395                 NaN  0.578629                 NaN            NaN            NaN
  1428.57        2500.00        98.3685       0.568970       0.267712       0.220879                 NaN  0.573949                 NaN            NaN            NaN
  1427.35        2500.00        98.3873       0.257072       0.566080       0.221254                 NaN  0.568305                 NaN            NaN            NaN
  1426.13        2500.00        98.4172       0.249147       0.557517       0.218730                 NaN  0.557450                 NaN            NaN            NaN
  1424.91        2500.00        98.4344       0.554871       0.239425       0.219299                 NaN  0.551982                 NaN            NaN            NaN
  1423.69        2500.00        98.4527       0.549903       0.232708       0.218924                 NaN  0.545782                 NaN            NaN            NaN
  1422.47        2500.00        98.4818       0.543413       0.221297       0.217386                 NaN  0.536111                 NaN            NaN            NaN
  1421.25        2500.00        98.4971       0.539551       0.214026       0.218122                 NaN  0.531213                 NaN            NaN            NaN
  1420.02        2500.00        98.5182       0.204626       0.537058       0.216309                 NaN  0.523758                 NaN            NaN            NaN
  1418.80        2500.00        98.5364       0.533194       0.196562       0.216131                 NaN  0.517686                 NaN            NaN            NaN
  1417.58        2500.00        98.5545       0.528342       0.189466       0.215930                 NaN  0.511734                 NaN            NaN            NaN
  1416.36        2500.00        98.5744       0.180418       0.525214       0.215057                 NaN  0.504877                 NaN            NaN            NaN
  1415.14        2500.00        98.5921       0.172791       0.521701       0.214495                 NaN  0.498948                 NaN            NaN            NaN
  1413.92        2500.00        98.6086       0.518964       0.164852       0.214161                 NaN  0.493398                 NaN            NaN            NaN
  1412.70        2500.00        98.6266       0.515339       0.157150       0.213447                 NaN  0.487437                 NaN            NaN            NaN
  1411.48        2500.00        98.6418       0.511987       0.149834       0.213737                 NaN  0.482679                 NaN            NaN            NaN
  1410.26        2500.00        98.6651       0.142642       0.507040       0.211364                 NaN  0.473827                 NaN            NaN            NaN
  1409.04        2500.00        98.6773       0.135595       0.505249       0.211717                 NaN  0.470184                 NaN            NaN            NaN
  1407.81        2500.00        98.9885       0.390381       0.971223E-001  0.163834                 NaN  0.360172                 NaN            NaN            NaN
  1406.59        2500.00        98.4059       0.153560       0.616595       0.258129                 NaN  0.565842                 NaN            NaN            NaN
  1405.37        2500.00        98.7246       0.496346       0.115180       0.209859                 NaN  0.453968                 NaN            NaN            NaN
  1404.15        2500.00        98.7381       0.493843       0.109445       0.209271                 NaN  0.449333                 NaN            NaN            NaN
  1402.93        2500.00        98.7522       0.102416       0.491783       0.209038                 NaN  0.444545                 NaN            NaN            NaN
  1401.71        2500.00        98.7691       0.965936E-001  0.488090       0.207664                 NaN  0.438566                 NaN            NaN            NaN
  1400.49        2500.00        98.7820       0.486168       0.893218E-001  0.208072                 NaN  0.434457                 NaN            NaN            NaN
  1399.27        2500.00        98.7973       0.483255       0.846555E-001  0.206056                 NaN  0.428742                 NaN            NaN            NaN
  1398.05        2500.00        98.8081       0.482493       0.781229E-001  0.206116                 NaN  0.425199                 NaN            NaN            NaN
  1396.83        2500.00        98.8234       0.478559       0.730359E-001  0.205151                 NaN  0.419811                 NaN            NaN            NaN
  1395.60        2500.00        98.8330       0.479923       0.653386E-001  0.205093                 NaN  0.416616                 NaN            NaN            NaN
  1394.38        2500.00        98.8507       0.617548E-001  0.474450       0.203004                 NaN  0.410054                 NaN            NaN            NaN
  1393.16        2500.00        98.8617       0.473914       0.548577E-001  0.203080                 NaN  0.406488                 NaN            NaN            NaN
  1391.94        2500.00        98.8731       0.472370       0.502726E-001  0.201999                 NaN  0.402247                 NaN            NaN            NaN
  1390.72        2500.00        98.8853       0.444367E-001  0.470373       0.201634                 NaN  0.398241                 NaN            NaN            NaN
  1389.50        2500.00        98.8982       0.467984       0.403755E-001  0.200107                 NaN  0.393352                 NaN            NaN            NaN
  1388.28        2500.00        98.9083       0.467262       0.351272E-001  0.199488                 NaN  0.389811                 NaN            NaN            NaN
  1387.06        2500.00        98.9160       0.467580       0.302869E-001  0.199037                 NaN  0.387081                 NaN            NaN            NaN
  1385.84        2500.00        98.9351       0.463163       0.245267E-001  0.197165                 NaN  0.380075                 NaN            NaN            NaN
  1384.62        2500.00        98.9424       0.462750       0.206290E-001  0.196577                 NaN  0.377611                 NaN            NaN            NaN
  1383.39        2500.00        98.9543       0.461118       0.153298E-001  0.195871                 NaN  0.373400                 NaN            NaN            NaN
  1382.17        2500.00        98.9641       0.108982E-001  0.460689       0.194546                 NaN  0.369727                 NaN            NaN            NaN
  1380.95        2500.00        98.9745       0.590523E-002  0.459614       0.193808                 NaN  0.366155                 NaN            NaN            NaN
  1379.73        2500.00        98.9854       0.291447E-002  0.457736       0.192122                 NaN  0.361779                 NaN            NaN            NaN
  1378.51        2500.00        98.9942       0.456338                 NaN  0.190908                 NaN  0.358524                 NaN            NaN            NaN
  1377.29        2500.00        98.9822       0.364738       0.156037       0.144739                 NaN  0.352257                 NaN            NaN            NaN
  1376.07        2500.00        99.0150       0.448722                 NaN  0.185950                 NaN  0.350340                 NaN            NaN            NaN
  1374.85        2500.00        99.0236       0.439159                 NaN  0.189165                 NaN  0.348060                 NaN            NaN            NaN
  1373.63        2500.00        99.0334       0.440050                 NaN  0.183212                 NaN  0.343339                 NaN            NaN            NaN
  1372.41        2500.00        99.0308       0.432806                 NaN  0.188865                 NaN  0.347532                 NaN            NaN            NaN
  1371.18        2500.00        99.0614       0.433976                 NaN  0.174912                 NaN  0.329719                 NaN            NaN            NaN
  1369.96        2500.00        99.0587       0.430518                 NaN  0.177434                 NaN  0.333384                 NaN            NaN            NaN
  1368.74        2500.00        99.0663       0.430495                 NaN  0.173327                 NaN  0.329838                 NaN            NaN            NaN
  1367.52        2500.00        99.0757       0.425823                 NaN  0.172244                 NaN  0.326245                 NaN            NaN            NaN
  1366.30        2500.00        99.0841       0.421257                 NaN  0.171437                 NaN  0.323183                 NaN            NaN            NaN
  1365.08        2500.00        99.0906       0.420511                 NaN  0.168649                 NaN  0.320223                 NaN            NaN            NaN
  1363.86        2500.00        99.1000       0.416672                 NaN  0.166724                 NaN  0.316620                 NaN            NaN            NaN
  1362.64        2500.00        99.1075       0.412497                 NaN  0.166131                 NaN  0.313881                 NaN            NaN            NaN
  1361.42        2500.00        99.1142       0.408501                 NaN  0.165949                 NaN  0.311381                 NaN            NaN            NaN
  1360.20        2500.00        99.1247       0.406244                 NaN  0.162108                 NaN  0.306959                 NaN            NaN            NaN
  1358.97        2500.00        99.1305       0.406506                 NaN  0.158716                 NaN  0.304295                 NaN            NaN            NaN
  1357.75        2500.00        99.1387       0.402851                 NaN  0.157202                 NaN  0.301216                 NaN            NaN            NaN
  1356.53        2500.00        99.1450       0.401285                 NaN  0.155316                 NaN  0.298354                 NaN            NaN            NaN
  1355.31        2500.00        99.1521       0.399179                 NaN  0.153176                 NaN  0.295576                 NaN            NaN            NaN
  1354.09        2500.00        99.1591       0.394653                 NaN  0.153287                 NaN  0.292945                 NaN            NaN            NaN
  1352.87        2500.00        99.1667       0.395384                 NaN  0.148658                 NaN  0.289288                 NaN            NaN            NaN
  1351.65        2500.00        99.1579       0.394958                 NaN  0.152157                 NaN  0.295008                 NaN            NaN            NaN
  1350.43        2500.00        99.1946       0.387010                 NaN  0.141736                 NaN  0.276617                 NaN            NaN            NaN
  1349.21        2500.00        99.1864       0.389188                 NaN  0.143324                 NaN  0.281137                 NaN            NaN            NaN
  1347.99        2500.00        99.1956       0.394816                 NaN  0.133712                 NaN  0.275902                 NaN            NaN            NaN
  1346.76        2500.00        99.1958       0.378268                 NaN  0.147061                 NaN  0.278879                 NaN            NaN            NaN
  1345.54        2500.00        99.2051       0.382276                 NaN  0.138744                 NaN  0.273872                 NaN            NaN            NaN
  1344.32        2500.00        99.2053       0.395333                 NaN  0.127772                 NaN  0.271624                 NaN            NaN            NaN
  1343.10        2500.00        99.2193       0.378663                 NaN  0.134515                 NaN  0.267528                 NaN            NaN            NaN
  1341.88        2500.00        99.2241       0.375708                 NaN  0.134014                 NaN  0.266169                 NaN            NaN            NaN
  1340.66        2500.00        99.2299       0.374891                 NaN  0.131598                 NaN  0.263595                 NaN            NaN            NaN
  1339.44        2500.00        99.2358       0.374102                 NaN  0.128871                 NaN  0.261216                 NaN            NaN            NaN
  1338.22        2500.00        99.2404       0.374666                 NaN  0.126304                 NaN  0.258633                 NaN            NaN            NaN
  1337.00        2500.00        99.2471       0.370612                 NaN  0.125906                 NaN  0.256343                 NaN            NaN            NaN
  1335.78        2500.00        99.2519       0.370188                 NaN  0.123686                 NaN  0.254232                 NaN            NaN            NaN
  1334.55        2500.00        99.2576       0.367069                 NaN  0.123212                 NaN  0.252103                 NaN            NaN            NaN
  1333.33        2500.00        99.2614       0.369471                 NaN  0.119192                 NaN  0.249894                 NaN            NaN            NaN
  1332.11        2500.00        99.2659       0.365824                 NaN  0.119050                 NaN  0.249268                 NaN            NaN            NaN
  1330.89        2500.00        99.2745       0.368930                 NaN  0.113310                 NaN  0.243230                 NaN            NaN            NaN
  1329.67        2500.00        99.2114       0.392088                 NaN  0.107668                 NaN  0.261694       0.271556E-001            NaN            NaN
  1328.45        2500.00        99.2024       0.395947                 NaN  0.104349                 NaN  0.263580       0.336896E-001            NaN            NaN
  1327.23        2500.00        99.2116       0.390316                 NaN  0.104319                 NaN  0.260568       0.331744E-001            NaN            NaN
  1326.01        2500.00        99.2206       0.385143                 NaN  0.103853                 NaN  0.257764       0.326447E-001            NaN            NaN
  1324.79        2500.00        99.2293       0.378594                 NaN  0.104696                 NaN  0.255182       0.322218E-001            NaN            NaN
  1323.57        2500.00        99.2376       0.376023                 NaN  0.102588                 NaN  0.252236       0.315970E-001            NaN            NaN
  1322.34        2500.00        99.2447       0.372635                 NaN  0.101768                 NaN  0.249808       0.311022E-001            NaN            NaN
  1321.12        2500.00        99.2541       0.368155                 NaN  0.100591                 NaN  0.246562       0.305427E-001            NaN            NaN
  1319.90        2500.00        99.2609       0.359457                 NaN  0.102498                 NaN  0.246722       0.304582E-001            NaN            NaN
