|6.6.6
Archiving\03_Data\eqfrac/QFM_m3/Y98/Y98_1.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        O(HP)          Sp(TH)         an             ilm            San(TH)        q             
  1487.18        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.96        2500.00        99.1470       0.523113       0.329878                 NaN            NaN            NaN            NaN            NaN            NaN
  1484.74        2500.00        99.0635       0.622573       0.313960                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.52        2500.00        99.0690       0.312065       0.618901                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.30        2500.00        99.0515       0.629887       0.318635                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.07        2500.00        99.1008       0.301892       0.597289                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.85        2500.00        99.0860       0.307631       0.606340                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.63        2500.00        99.0931       0.602358       0.304506       0.116759E-005            NaN            NaN            NaN            NaN            NaN
  1477.41        2500.00        99.0715       0.309050       0.617436       0.202731E-002            NaN            NaN            NaN            NaN            NaN
  1476.19        2500.00        99.1361       0.224192       0.596272       0.434421E-001            NaN            NaN            NaN            NaN            NaN
  1474.97        2500.00        99.1105       0.298744       0.590776       0.285089E-005            NaN            NaN            NaN            NaN            NaN
  1473.75        2500.00        99.1163       0.593758       0.276570       0.134129E-001            NaN            NaN            NaN            NaN            NaN
  1472.53        2500.00        99.1185       0.296411       0.585112                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.31        2500.00        99.1258       0.286551       0.582717       0.494197E-002            NaN            NaN            NaN            NaN            NaN
  1470.09        2500.00        99.1331       0.258542       0.586103       0.222130E-001            NaN            NaN            NaN            NaN            NaN
  1468.86        2500.00        99.1373       0.583022       0.258205       0.214843E-001            NaN            NaN            NaN            NaN            NaN
  1467.64        2500.00        99.1432       0.257271       0.578734       0.207481E-001            NaN            NaN            NaN            NaN            NaN
  1466.42        2500.00        99.1475       0.575725       0.256892       0.199041E-001            NaN            NaN            NaN            NaN            NaN
  1465.20        2500.00        99.1518       0.255820       0.573210       0.192098E-001            NaN            NaN            NaN            NaN            NaN
  1463.98        2500.00        98.5174       0.976319       0.479073       0.200109E-001  0.721569E-002            NaN            NaN            NaN            NaN
  1462.76        2500.00        99.8091       0.129322       0.507228E-001  0.108489E-001            NaN            NaN            NaN            NaN            NaN
  1461.54        2500.00        99.1649       0.253959       0.564026       0.171078E-001            NaN            NaN            NaN            NaN            NaN
  1460.32        2500.00        99.1690       0.254366       0.560276       0.163096E-001            NaN            NaN            NaN            NaN            NaN
  1459.10        2500.00        99.1730       0.253864       0.557398       0.157533E-001            NaN            NaN            NaN            NaN            NaN
  1457.88        2500.00        99.1771       0.253187       0.554652       0.150911E-001            NaN            NaN            NaN            NaN            NaN
  1456.65        2500.00        99.1808       0.252715       0.552131       0.143044E-001            NaN            NaN            NaN            NaN            NaN
  1455.43        2500.00        99.1840       0.252303       0.549996       0.136696E-001            NaN            NaN            NaN            NaN            NaN
  1454.21        2500.00        99.1879       0.252407       0.546750       0.129756E-001            NaN            NaN            NaN            NaN            NaN
  1452.99        2500.00        99.1921       0.251319       0.544187       0.123482E-001            NaN            NaN            NaN            NaN            NaN
  1451.77        2500.00        99.1948       0.250983       0.542571       0.116719E-001            NaN            NaN            NaN            NaN            NaN
  1450.55        2500.00        99.1978       0.540508       0.250606       0.110458E-001            NaN            NaN            NaN            NaN            NaN
  1449.33        2500.00        99.2007       0.538377       0.250534       0.103646E-001            NaN            NaN            NaN            NaN            NaN
  1448.11        2500.00        97.8022       0.514035       0.761139       0.273722                 NaN  0.648925                 NaN            NaN            NaN
  1446.89        2500.00        97.7610       0.766499       0.512350       0.286962                 NaN  0.673139                 NaN            NaN            NaN
  1445.67        2500.00        97.7968       0.494327       0.759933       0.286051                 NaN  0.662885                 NaN            NaN            NaN
  1444.44        2500.00        97.8250       0.483484       0.750104       0.286869                 NaN  0.654546                 NaN            NaN            NaN
  1443.22        2500.00        97.8760       0.735663       0.466482       0.283118                 NaN  0.638785                 NaN            NaN            NaN
  1442.00        2500.00        97.9014       0.452672       0.730393       0.283739                 NaN  0.631782                 NaN            NaN            NaN
  1440.78        2500.00        97.9325       0.723099       0.438578       0.283261                 NaN  0.622547                 NaN            NaN            NaN
  1439.56        2500.00        97.9631       0.716345       0.424007       0.282831                 NaN  0.613695                 NaN            NaN            NaN
  1438.34        2500.00        97.9932       0.708694       0.411198       0.282231                 NaN  0.604715                 NaN            NaN            NaN
  1437.12        2500.00        98.0218       0.397963       0.701925       0.282083                 NaN  0.596277                 NaN            NaN            NaN
  1435.90        2500.00        98.0495       0.386644       0.693793       0.281637                 NaN  0.588406                 NaN            NaN            NaN
  1434.68        2500.00        98.0802       0.687688       0.372677       0.280528                 NaN  0.578900                 NaN            NaN            NaN
  1433.46        2500.00        98.1044       0.360577       0.682399       0.280707                 NaN  0.571882                 NaN            NaN            NaN
  1432.23        2500.00        98.1321       0.675536       0.348695       0.280053                 NaN  0.563629                 NaN            NaN            NaN
  1431.01        2500.00        98.1487       0.674902       0.334535       0.282457                 NaN  0.559390                 NaN            NaN            NaN
  1429.79        2500.00        98.1916       0.659049       0.327073       0.276622                 NaN  0.545674                 NaN            NaN            NaN
  1428.57        2500.00        98.2070       0.658203       0.314337       0.279058                 NaN  0.541422                 NaN            NaN            NaN
  1427.35        2500.00        98.2261       0.302121       0.655408       0.280060                 NaN  0.536268                 NaN            NaN            NaN
  1426.13        2500.00        98.2574       0.293074       0.645996       0.277325                 NaN  0.526202                 NaN            NaN            NaN
  1424.91        2500.00        98.2748       0.643494       0.281916       0.278535                 NaN  0.521215                 NaN            NaN            NaN
  1423.69        2500.00        98.2933       0.638332       0.274290       0.278513                 NaN  0.515542                 NaN            NaN            NaN
  1422.47        2500.00        98.3239       0.631310       0.261070       0.277089                 NaN  0.506594                 NaN            NaN            NaN
  1421.25        2500.00        98.3392       0.627403       0.252751       0.278473                 NaN  0.502151                 NaN            NaN            NaN
  1420.02        2500.00        98.3610       0.241873       0.625031       0.276755                 NaN  0.495294                 NaN            NaN            NaN
  1418.80        2500.00        98.3796       0.621061       0.232564       0.277004                 NaN  0.489745                 NaN            NaN            NaN
  1417.58        2500.00        98.3980       0.616003       0.224398       0.277243                 NaN  0.484310                 NaN            NaN            NaN
  1416.36        2500.00        98.4186       0.213887       0.612839       0.276614                 NaN  0.478019                 NaN            NaN            NaN
  1415.14        2500.00        98.4366       0.205047       0.609348       0.276377                 NaN  0.472606                 NaN            NaN            NaN
  1413.92        2500.00        98.4534       0.606731       0.195826       0.276473                 NaN  0.467553                 NaN            NaN            NaN
  1412.70        2500.00        98.4719       0.603068       0.186861       0.276029                 NaN  0.462109                 NaN            NaN            NaN
  1411.48        2500.00        98.4875       0.599627       0.178301       0.276772                 NaN  0.457806                 NaN            NaN            NaN
  1410.26        2500.00        98.5116       0.169951       0.594466       0.274320                 NaN  0.449621                 NaN            NaN            NaN
  1409.04        2500.00        98.5237       0.161713       0.592914       0.275256                 NaN  0.446373                 NaN            NaN            NaN
  1407.81        2500.00        98.8696       0.458688       0.115988       0.213527                 NaN  0.342177                 NaN            NaN            NaN
  1406.59        2500.00        98.2175       0.183453       0.724752       0.336736                 NaN  0.537518                 NaN            NaN            NaN
  1405.37        2500.00        98.5721       0.584197       0.137792       0.274336                 NaN  0.431617                 NaN            NaN            NaN
  1404.15        2500.00        98.5855       0.581868       0.131075       0.274092                 NaN  0.427428                 NaN            NaN            NaN
  1402.93        2500.00        98.5999       0.122788       0.579966       0.274256                 NaN  0.423093                 NaN            NaN            NaN
  1401.71        2500.00        98.6172       0.115923       0.576249       0.272960                 NaN  0.417624                 NaN            NaN            NaN
  1400.49        2500.00        98.6303       0.574473       0.107295       0.273958                 NaN  0.413934                 NaN            NaN            NaN
  1399.27        2500.00        98.6460       0.571706       0.101808       0.271822                 NaN  0.408712                 NaN            NaN            NaN
  1398.05        2500.00        98.6565       0.571441       0.940573E-001  0.272430                 NaN  0.405557                 NaN            NaN            NaN
  1396.83        2500.00        98.6724       0.567339       0.880225E-001  0.271613                 NaN  0.400645                 NaN            NaN            NaN
  1395.60        2500.00        98.6817       0.569637       0.788233E-001  0.272032                 NaN  0.397821                 NaN            NaN            NaN
  1394.38        2500.00        98.7002       0.745849E-001  0.563676       0.269757                 NaN  0.391784                 NaN            NaN            NaN
  1393.16        2500.00        98.7112       0.563614       0.663243E-001  0.270295                 NaN  0.388605                 NaN            NaN            NaN
  1391.94        2500.00        98.7225       0.562416       0.608490E-001  0.269409                 NaN  0.384778                 NaN            NaN            NaN
