|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1.75/KHA22/KHA22_3.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1551.28        500.000       0.499056E-003   99.5651                 NaN            NaN  0.434444                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.90        500.000                 NaN   99.4712                 NaN            NaN  0.521900       0.693966E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.52        500.000                 NaN   99.4735                 NaN            NaN  0.526471                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.14        500.000                 NaN   99.4791                 NaN            NaN  0.520863       0.847377E-006            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.75        500.000                 NaN   99.4812                 NaN            NaN  0.518032       0.743610E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.37        500.000                 NaN   99.4877                 NaN            NaN  0.502531       0.976057E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.99        500.000                 NaN   99.3030                 NaN            NaN  0.669324       0.277039E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.61        500.000                 NaN   99.6918                 NaN            NaN  0.297652       0.105482E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.23        500.000                 NaN   99.5019                 NaN            NaN  0.481818       0.163240E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000                 NaN   99.5051                 NaN            NaN  0.480293       0.146360E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.46        500.000                 NaN   99.5067                 NaN            NaN  0.480597       0.126647E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.08        500.000                 NaN   99.5125                 NaN            NaN  0.473254       0.142631E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.70        500.000                 NaN   99.5179                 NaN            NaN  0.468552       0.135790E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.32        500.000                 NaN   99.5211                 NaN            NaN  0.465656       0.132597E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.94        500.000                 NaN   99.5240                 NaN            NaN  0.464075       0.119116E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.56        500.000                 NaN   99.5280                 NaN            NaN  0.459430       0.125854E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.17        500.000                 NaN   99.5320                 NaN            NaN  0.456796       0.111574E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.79        500.000                 NaN   99.5343                 NaN            NaN  0.455252       0.104354E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.41        500.000                 NaN   99.5388                 NaN            NaN  0.451456       0.970264E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.03        500.000                 NaN   99.5424                 NaN            NaN  0.447213       0.104254E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.65        500.000                 NaN   99.5470                 NaN            NaN  0.443440       0.958495E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.27        500.000                 NaN   99.5455                 NaN            NaN  0.445011       0.951371E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.88        500.000                 NaN   99.5563                 NaN            NaN  0.435929       0.774905E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.50        500.000                 NaN   99.2619                 NaN            NaN  0.730723       0.736702E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.12        500.000                 NaN   99.8498                 NaN            NaN  0.146067       0.418122E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.74        500.000                 NaN   99.5725                 NaN            NaN  0.419126       0.839092E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.36        500.000                 NaN   99.5529                 NaN            NaN  0.440783       0.636506E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.98        500.000                 NaN   99.5710                 NaN            NaN  0.428961                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.59        500.000                 NaN   99.5718                 NaN            NaN  0.418382       0.982667E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.21        500.000                 NaN   97.8564       0.268021       0.174759        1.70081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.83        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.45        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.07        500.000                 NaN   99.9301                 NaN            NaN  0.699268E-001  0.825594E-006            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.69        500.000                 NaN   99.5870                 NaN            NaN  0.413017                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.30        500.000                 NaN   99.5851                 NaN            NaN  0.409722       0.522716E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
