|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1.75/KHA22/KHA22_1.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1551.28        500.000       0.793152E-003   99.4915                 NaN            NaN  0.507662                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.90        500.000                 NaN   99.3818                 NaN            NaN  0.609928       0.827800E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.52        500.000                 NaN   99.3845                 NaN            NaN  0.615497                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.14        500.000                 NaN   99.3909                 NaN            NaN  0.609104       0.101205E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.75        500.000                 NaN   99.3932                 NaN            NaN  0.605912       0.888075E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.37        500.000                 NaN   99.4004                 NaN            NaN  0.587982       0.116618E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.99        500.000                 NaN   99.1832                 NaN            NaN  0.783700       0.331368E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.61        500.000                 NaN   99.6388                 NaN            NaN  0.348573       0.126173E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.23        500.000                 NaN   99.4162                 NaN            NaN  0.564225       0.195290E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000                 NaN   99.4199                 NaN            NaN  0.562592       0.175140E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.46        500.000                 NaN   99.4217                 NaN            NaN  0.563120       0.151610E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.08        500.000                 NaN   99.4281                 NaN            NaN  0.554816       0.170859E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.70        500.000                 NaN   99.4344                 NaN            NaN  0.549353       0.162699E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.32        500.000                 NaN   99.4380                 NaN            NaN  0.546094       0.158934E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.94        500.000                 NaN   99.4413                 NaN            NaN  0.544394       0.142816E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.56        500.000                 NaN   99.4457                 NaN            NaN  0.539191       0.150986E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
