|6.6.6
Archiving\03_Data\Deqfrac/QFM_m1/WD94/WD94_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q              hed           
  1628.21        2500.00       0.268820E-002   99.0521       0.785374       0.159843                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.64        2500.00                 NaN   98.9239       0.930942       0.145130                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1625.06        2500.00                 NaN   98.9359       0.920704       0.143394                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.49        2500.00                 NaN   98.9462       0.912745       0.141007                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.91        2500.00                 NaN   98.9529       0.906791       0.140316                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.34        2500.00                 NaN   98.9744       0.887926       0.137711                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.76        2500.00                 NaN   98.9821       0.882527       0.135338                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.19        2500.00                 NaN   98.9896       0.875811       0.134594                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.61        2500.00                 NaN   98.9931       0.873895       0.133049                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00                 NaN   99.0207       0.850559       0.128739                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.47        2500.00                 NaN   99.0215       0.849946       0.128572                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.89        2500.00                 NaN   99.0319       0.840726       0.127326                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.32        2500.00                 NaN   99.0180       0.852466       0.129571                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.74        2500.00                 NaN   99.0741       0.805203       0.120673                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.17        2500.00                 NaN   99.0643       0.813224       0.122471                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.59        2500.00                 NaN   99.0696       0.809365       0.121050                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1603.02        2500.00                 NaN   99.0800       0.800606       0.119354                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.44        2500.00                 NaN   99.0884       0.794034       0.117606                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.87        2500.00                 NaN   99.0965       0.787916       0.115597                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.30        2500.00                 NaN   99.1046       0.781368       0.114054                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.72        2500.00                 NaN   99.1129       0.774923       0.112161                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.15        2500.00                 NaN   99.1239       0.763815       0.112322                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.57        2500.00                 NaN   99.0869       0.802018       0.111039                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.00        2500.00                 NaN   99.1824       0.712770       0.104804                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.42        2500.00                 NaN   99.0951       0.790818       0.114092                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.85        2500.00                 NaN   99.2045       0.696015       0.994915E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.27        2500.00                 NaN   99.1635       0.732650       0.103850                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.70        2500.00                 NaN   99.1692       0.728046       0.102759                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
