|6.6.6
Archiving\03_Data\Deqfrac/QFM_m1/WD94/WD94_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q              hed           
  1595.15        2500.00                 NaN   99.2200       0.682744       0.972154E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.57        2500.00                 NaN   99.1869       0.717082       0.960205E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.00        2500.00                 NaN   99.2726       0.636803       0.906158E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.42        2500.00                 NaN   99.1950       0.706383       0.986029E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.85        2500.00                 NaN   99.2926       0.621480       0.859427E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.27        2500.00                 NaN   99.2562       0.654082       0.896769E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.70        2500.00                 NaN   99.2615       0.649767       0.886884E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.13        2500.00                 NaN   99.2688       0.643593       0.875923E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.55        2500.00                 NaN   99.6071       0.345275       0.476280E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.98        2500.00                 NaN   98.9510       0.924176       0.124834                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.40        2500.00                 NaN   99.2882       0.627559       0.842820E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.83        2500.00                 NaN   99.2947       0.622470       0.827907E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.25        2500.00                 NaN   99.3007       0.609513       0.898271E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.68        2500.00                 NaN   99.3068       0.621365       0.718609E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.10        2500.00                 NaN   99.3113       0.609759       0.789474E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.53        2500.00                 NaN   99.3206       0.601858       0.775554E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.95        2500.00                 NaN   99.3239       0.598371       0.776935E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.38        2500.00                 NaN   99.3316       0.592967       0.754186E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.81        2500.00                 NaN   99.3363       0.588952       0.747549E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.23        2500.00                 NaN   99.3410       0.586108       0.729336E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.66        2500.00                 NaN   99.3461       0.581798       0.721042E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.08        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.51        2500.00                 NaN   98.7089        1.15074       0.140412                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.93        2500.00                 NaN   99.2614       0.654627       0.839420E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.36        2500.00                 NaN   99.4742       0.469391       0.564436E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.78        2500.00                 NaN   99.3730       0.559742       0.672440E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.21        2500.00                 NaN   99.3778       0.556519       0.657199E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.64        2500.00                 NaN   99.3817       0.553551       0.647837E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.06        2500.00                 NaN   98.2320        1.55169       0.216337                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.49        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.91        2500.00                 NaN   99.9989                 NaN  0.110680E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.34        2500.00                 NaN   99.3672       0.571293       0.614736E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.76        2500.00                 NaN   99.4379       0.506375       0.557278E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.19        2500.00                 NaN   99.4096       0.532421       0.579874E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.61        2500.00                 NaN   99.4102       0.533175       0.565821E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.04        2500.00                 NaN   99.4185       0.526479       0.550526E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.47        2500.00                 NaN   99.4223       0.522455       0.552241E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.89        2500.00                 NaN   99.4266       0.518902       0.545471E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.32        2500.00                 NaN   99.4316       0.514215       0.541561E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.74        2500.00                 NaN   99.4345       0.512899       0.526076E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.17        2500.00                 NaN   99.4366       0.513470       0.499236E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.59        2500.00                 NaN   99.4416       0.498218       0.601676E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.02        2500.00                 NaN   99.4427       0.518938       0.383583E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.44        2500.00                 NaN   99.4490       0.503270       0.477520E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.87        2500.00                 NaN   99.4526       0.500218       0.471321E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.30        2500.00                 NaN   99.4551       0.498832       0.460484E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.72        2500.00                 NaN   99.4580       0.496336       0.457125E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.15        2500.00                 NaN   99.4636       0.492089       0.442851E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.57        2500.00                 NaN   99.4655       0.491273       0.432486E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.00        2500.00                 NaN   99.4685       0.489316       0.422254E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.42        2500.00                 NaN   99.4709       0.488854       0.402419E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.85        2500.00                 NaN   99.4638       0.494227       0.419689E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.27        2500.00                 NaN   99.4888       0.473603       0.375856E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.70        2500.00                 NaN   99.4805       0.480928       0.385823E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.13        2500.00                 NaN   99.4838       0.477056       0.391879E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.55        2500.00                 NaN   99.4879       0.474154       0.379446E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.98        2500.00                 NaN   99.4900       0.473886       0.361187E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.40        2500.00                 NaN   99.4895       0.477700       0.328105E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.83        2500.00                 NaN   99.4931       0.474117       0.327650E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.25        2500.00                 NaN   99.4968       0.470353       0.328798E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.68        2500.00                 NaN   99.4951       0.475592       0.293058E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.10        2500.00                 NaN   99.5021       0.467790       0.300822E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.53        2500.00                 NaN   99.5030       0.466401       0.305929E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.96        2500.00                 NaN   99.4764       0.370477       0.212457E-001  0.131856                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.38        2500.00                 NaN   99.4939                 NaN  0.186020E-001  0.487450                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.81        2500.00                 NaN   99.8270                 NaN            NaN  0.172999                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.23        2500.00                 NaN   98.3758                 NaN            NaN  0.251029        1.37318                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.66        2500.00                 NaN   98.8997                 NaN            NaN  0.752277       0.348023                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.08        2500.00                 NaN   99.0545                 NaN  0.123123E-002  0.292665       0.651564                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.51        2500.00                 NaN   98.7816                 NaN  0.725332E-001  0.873967       0.271865                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.93        2500.00                 NaN   98.9341                 NaN  0.633210E-001  0.239165       0.763417                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.36        2500.00                 NaN   98.4616                 NaN  0.138461        1.18770       0.212284                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.79        2500.00                 NaN   99.4458                 NaN  0.539439E-002  0.236651       0.312114                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.21        2500.00                 NaN   98.9595                 NaN  0.326313E-001  0.729754       0.278092                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.64        2500.00                 NaN   98.9693                 NaN  0.568475E-001  0.235005       0.738835                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.06        2500.00                 NaN   98.4215                 NaN  0.837094E-001  0.360334        1.13442                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.49        2500.00                 NaN   99.6445                 NaN  0.193494E-001  0.809348E-001  0.255195                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.91        2500.00                 NaN   98.9040                 NaN  0.564690E-001  0.780119       0.259457                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.34        2500.00                 NaN   99.0038                 NaN  0.504223E-001  0.708748       0.237068                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.76        2500.00                 NaN   98.4286                 NaN  0.786822E-001   1.12098       0.371690                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.19        2500.00                 NaN   99.7937                 NaN  0.107051E-001  0.148258       0.473269E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.61        2500.00                 NaN   98.8338                 NaN  0.546501E-001  0.287664       0.823852                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.04        2500.00                 NaN   99.0395                 NaN  0.443544E-001  0.236467       0.679720                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.47        2500.00                 NaN   99.0395                 NaN  0.435934E-001  0.236355       0.680594                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.89        2500.00                 NaN   99.0411                 NaN  0.426104E-001  0.236287       0.679974                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.32        2500.00                 NaN   99.0566                 NaN  0.408127E-001  0.236177       0.666384                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.74        2500.00                 NaN   99.0596                 NaN  0.396843E-001  0.664619       0.236064                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.17        2500.00                 NaN   98.4719                 NaN  0.634342E-001  0.363220        1.10142                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.59        2500.00                 NaN   99.6714                 NaN  0.130188E-001  0.232155       0.834440E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.02        2500.00                 NaN   99.0763                 NaN  0.360169E-001  0.652340       0.235342                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1453.44        2500.00                 NaN   99.0808                 NaN  0.349684E-001  0.236106       0.648146                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.87        2500.00                 NaN   99.0867                 NaN  0.335444E-001  0.235346       0.644422                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.30        2500.00                 NaN   99.0931                 NaN  0.324365E-001  0.639504       0.234994                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.72        2500.00                 NaN   99.0966                 NaN  0.313400E-001  0.636933       0.235098                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.15        2500.00                 NaN   99.1017                 NaN  0.301522E-001  0.234993       0.633151                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.57        2500.00                 NaN   99.1063                 NaN  0.289743E-001  0.629989       0.234740                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1444.00        2500.00                 NaN   99.1102                 NaN  0.279115E-001  0.626918       0.234958                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.42        2500.00                 NaN   99.1145                 NaN  0.267494E-001  0.624566       0.234234                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.85        2500.00                 NaN   98.4896                 NaN  0.134473       0.352611       0.694440                 NaN            NaN  0.328862                 NaN            NaN            NaN            NaN
  1439.27        2500.00                 NaN   97.4500                 NaN  0.320492       0.806139       0.538219                 NaN            NaN  0.885151                 NaN            NaN            NaN            NaN
  1437.70        2500.00                 NaN   97.5043                 NaN  0.318819       0.513961       0.796419                 NaN            NaN  0.866453                 NaN            NaN            NaN            NaN
  1436.13        2500.00                 NaN   97.5446                 NaN  0.319241       0.495974       0.786677                 NaN            NaN  0.853496                 NaN            NaN            NaN            NaN
  1434.55        2500.00                 NaN   97.5953                 NaN  0.318120       0.474196       0.775290                 NaN            NaN  0.837123                 NaN            NaN            NaN            NaN
  1432.98        2500.00                 NaN   97.6353                 NaN  0.318125       0.455845       0.766859                 NaN            NaN  0.823906                 NaN            NaN            NaN            NaN
  1431.40        2500.00                 NaN   97.6847                 NaN  0.316257       0.753472       0.438379                 NaN            NaN  0.807158                 NaN            NaN            NaN            NaN
  1429.83        2500.00                 NaN   97.7229                 NaN  0.316903       0.419565       0.745792                 NaN            NaN  0.794795                 NaN            NaN            NaN            NaN
  1428.25        2500.00                 NaN   97.7687                 NaN  0.314921       0.733876       0.403108                 NaN            NaN  0.779364                 NaN            NaN            NaN            NaN
  1426.68        2500.00                 NaN   97.8052                 NaN  0.315354       0.386497       0.725336                 NaN            NaN  0.767624                 NaN            NaN            NaN            NaN
  1425.10        2500.00                 NaN   97.8443                 NaN  0.314887       0.716680       0.369427                 NaN            NaN  0.754660                 NaN            NaN            NaN            NaN
  1423.53        2500.00                 NaN   97.8801                 NaN  0.314687       0.353531       0.708847                 NaN            NaN  0.742883                 NaN            NaN            NaN            NaN
  1421.96        2500.00                 NaN   97.9185                 NaN  0.313981       0.699670       0.337750                 NaN            NaN  0.730088                 NaN            NaN            NaN            NaN
  1420.38        2500.00                 NaN   97.9520                 NaN  0.314294       0.691451       0.323313                 NaN            NaN  0.718976                 NaN            NaN            NaN            NaN
  1418.81        2500.00                 NaN   97.9883                 NaN  0.313151       0.684073       0.307583                 NaN            NaN  0.706856                 NaN            NaN            NaN            NaN
  1417.23        2500.00                 NaN   98.0150                 NaN  0.315007       0.680174       0.291102                 NaN            NaN  0.698676                 NaN            NaN            NaN            NaN
  1415.66        2500.00                 NaN   98.0592                 NaN  0.311151       0.666406       0.280251                 NaN            NaN  0.683003                 NaN            NaN            NaN            NaN
  1414.08        2500.00                 NaN   98.0719                 NaN  0.315449       0.264692       0.668004                 NaN            NaN  0.679921                 NaN            NaN            NaN            NaN
  1412.51        2500.00                 NaN   98.1247                 NaN  0.310103       0.651927       0.252559                 NaN            NaN  0.660708                 NaN            NaN            NaN            NaN
  1410.93        2500.00                 NaN   98.1430                 NaN  0.312486       0.239382       0.649687                 NaN            NaN  0.655463                 NaN            NaN            NaN            NaN
  1409.36        2500.00                 NaN   98.1711                 NaN  0.312432       0.643656       0.226776                 NaN            NaN  0.646010                 NaN            NaN            NaN            NaN
  1407.79        2500.00                 NaN   98.1997                 NaN  0.312092       0.637766       0.213927                 NaN            NaN  0.636515                 NaN            NaN            NaN            NaN
  1406.21        2500.00                 NaN   98.2274                 NaN  0.311969       0.631415       0.202019                 NaN            NaN  0.627240                 NaN            NaN            NaN            NaN
  1404.64        2500.00                 NaN   98.2540                 NaN  0.311322       0.625283       0.190929                 NaN            NaN  0.618425                 NaN            NaN            NaN            NaN
  1403.06        2500.00                 NaN   98.2812                 NaN  0.311685       0.619886       0.178219                 NaN            NaN  0.609039                 NaN            NaN            NaN            NaN
  1401.49        2500.00                 NaN   98.3055                 NaN  0.311115       0.167491       0.615034                 NaN            NaN  0.600889                 NaN            NaN            NaN            NaN
  1399.91        2500.00                 NaN   98.3286                 NaN  0.311013       0.156830       0.610516                 NaN            NaN  0.593080                 NaN            NaN            NaN            NaN
  1398.34        2500.00                 NaN   98.3538                 NaN  0.310907       0.604567       0.145718                 NaN            NaN  0.584979                 NaN            NaN            NaN            NaN
  1396.76        2500.00                 NaN   98.3775                 NaN  0.310066       0.599928       0.136137                 NaN            NaN  0.576381                 NaN            NaN            NaN            NaN
  1395.19        2500.00                 NaN   98.3996                 NaN  0.309953       0.595036       0.126297                 NaN            NaN  0.569079                 NaN            NaN            NaN            NaN
  1393.62        2500.00                 NaN   98.2054                 NaN  0.275952       0.552050       0.338748                 NaN            NaN  0.627806                 NaN            NaN            NaN            NaN
  1392.04        2500.00                 NaN   98.6202                 NaN  0.311073       0.575903                 NaN            NaN            NaN  0.492784                 NaN            NaN            NaN            NaN
  1390.47        2500.00                 NaN   98.4739                 NaN  0.318968       0.596626       0.648800E-001            NaN            NaN  0.545650                 NaN            NaN            NaN            NaN
  1388.89        2500.00                 NaN   98.5007                 NaN  0.333100       0.611854       0.146357E-001            NaN            NaN  0.539719                 NaN            NaN            NaN            NaN
  1387.32        2500.00                 NaN   98.5062                 NaN  0.307542       0.573883       0.799196E-001            NaN            NaN  0.532449                 NaN            NaN            NaN            NaN
  1385.74        2500.00                 NaN   98.5272                 NaN  0.306487       0.569283       0.718938E-001            NaN            NaN  0.525130                 NaN            NaN            NaN            NaN
  1384.17        2500.00                 NaN   98.5461                 NaN  0.306005       0.565333       0.640357E-001            NaN            NaN  0.518540                 NaN            NaN            NaN            NaN
  1382.59        2500.00                 NaN   98.5631                 NaN  0.305520       0.562361       0.563933E-001            NaN            NaN  0.512580                 NaN            NaN            NaN            NaN
  1381.02        2500.00                 NaN   98.5853                 NaN  0.304010       0.556954       0.488526E-001            NaN            NaN  0.504874                 NaN            NaN            NaN            NaN
  1379.45        2500.00                 NaN   98.6025                 NaN  0.303526       0.553482       0.416201E-001            NaN            NaN  0.498863                 NaN            NaN            NaN            NaN
  1377.87        2500.00                 NaN   98.6210                 NaN  0.302365       0.343324E-001  0.549908                 NaN            NaN  0.492385                 NaN            NaN            NaN            NaN
  1376.30        2500.00                 NaN   98.6375                 NaN  0.301455       0.279781E-001  0.546698                 NaN            NaN  0.486392                 NaN            NaN            NaN            NaN
  1374.72        2500.00                 NaN   98.6553                 NaN  0.300200       0.542805       0.216943E-001            NaN            NaN  0.480018                 NaN            NaN            NaN            NaN
  1373.15        2500.00                 NaN   98.6718                 NaN  0.298672       0.539092       0.163487E-001            NaN            NaN  0.474055                 NaN            NaN            NaN            NaN
  1371.57        2500.00                 NaN   98.6882                 NaN  0.297637       0.535513       0.103769E-001            NaN            NaN  0.468315                 NaN            NaN            NaN            NaN
  1370.00        2500.00                 NaN   98.7052                 NaN  0.296010       0.522566E-002  0.531492                 NaN            NaN  0.462103                 NaN            NaN            NaN            NaN
  1368.42        2500.00                 NaN   98.7193                 NaN  0.291889       0.524513       0.794695E-002            NaN            NaN  0.456379                 NaN            NaN            NaN            NaN
  1366.85        2500.00                 NaN   98.7352                 NaN  0.291430       0.522562                 NaN            NaN            NaN  0.450847                 NaN            NaN            NaN            NaN
  1365.27        2500.00                 NaN   98.7497                 NaN  0.286188       0.598919E-002  0.513408                 NaN            NaN  0.444705                 NaN            NaN            NaN            NaN
  1363.70        2500.00                 NaN   98.7648                 NaN  0.287129       0.508401                 NaN            NaN            NaN  0.439686                 NaN            NaN            NaN            NaN
  1362.13        2500.00                 NaN   98.7782                 NaN  0.281891       0.506002                 NaN            NaN            NaN  0.433941                 NaN            NaN            NaN            NaN
  1360.55        2500.00                 NaN   98.7927                 NaN  0.279082       0.499821                 NaN            NaN            NaN  0.428392                 NaN            NaN            NaN            NaN
  1358.98        2500.00                 NaN   98.8062                 NaN  0.276126       0.494617                 NaN            NaN            NaN  0.423022                 NaN            NaN            NaN            NaN
  1357.40        2500.00                 NaN   98.8187                 NaN  0.273108       0.490187                 NaN            NaN            NaN  0.418045                 NaN            NaN            NaN            NaN
  1355.83        2500.00                 NaN   98.8317                 NaN  0.269409       0.486211                 NaN            NaN            NaN  0.412697                 NaN            NaN            NaN            NaN
  1354.25        2500.00                 NaN   98.8455                 NaN  0.269275       0.477307                 NaN            NaN            NaN  0.407915                 NaN            NaN            NaN            NaN
  1352.68        2500.00                 NaN   98.8601                 NaN  0.264093       0.474060                 NaN            NaN            NaN  0.401739                 NaN            NaN            NaN            NaN
  1351.10        2500.00                 NaN   98.8666                 NaN  0.254489       0.171568E-001  0.464388                 NaN            NaN  0.397403                 NaN            NaN            NaN            NaN
  1349.53        2500.00                 NaN   98.2118                 NaN  0.438230       0.709431                 NaN            NaN            NaN  0.640544                 NaN            NaN            NaN            NaN
  1347.96        2500.00                 NaN   99.5280                 NaN  0.102601       0.218021                 NaN            NaN            NaN  0.151424                 NaN            NaN            NaN            NaN
  1346.38        2500.00                 NaN   98.9086                 NaN  0.251393       0.457726                 NaN            NaN            NaN  0.382325                 NaN            NaN            NaN            NaN
  1344.81        2500.00                 NaN   98.9190                 NaN  0.249407       0.453315                 NaN            NaN            NaN  0.378251                 NaN            NaN            NaN            NaN
  1343.23        2500.00                 NaN   98.9323                 NaN  0.245674       0.449136                 NaN            NaN            NaN  0.372894                 NaN            NaN            NaN            NaN
  1341.66        2500.00                 NaN   98.9433                 NaN  0.243267       0.444764                 NaN            NaN            NaN  0.368710                 NaN            NaN            NaN            NaN
  1340.08        2500.00                 NaN   98.9541                 NaN  0.241428       0.439872                 NaN            NaN            NaN  0.364647                 NaN            NaN            NaN            NaN
  1338.51        2500.00                 NaN   98.9658                 NaN  0.237858       0.436632                 NaN            NaN            NaN  0.359744                 NaN            NaN            NaN            NaN
  1336.93        2500.00                 NaN   98.9761                 NaN  0.234901       0.433408                 NaN            NaN            NaN  0.355615                 NaN            NaN            NaN            NaN
  1335.36        2500.00                 NaN   98.9871                 NaN  0.231723       0.429877                 NaN            NaN            NaN  0.351289                 NaN            NaN            NaN            NaN
  1333.79        2500.00                 NaN   98.9924                 NaN  0.233160       0.424499                 NaN            NaN            NaN  0.349984                 NaN            NaN            NaN            NaN
  1332.21        2500.00                 NaN   99.0109                 NaN  0.223929       0.424512                 NaN            NaN            NaN  0.340614                 NaN            NaN            NaN            NaN
  1330.64        2500.00                 NaN   99.0182                 NaN  0.223139       0.419921                 NaN            NaN            NaN  0.338748                 NaN            NaN            NaN            NaN
  1329.06        2500.00                 NaN   99.0277                 NaN  0.220031       0.417437                 NaN            NaN            NaN  0.334877                 NaN            NaN            NaN            NaN
