|6.6.6
Archiving\03_Data\eq/QFM_m0.75/WD94/WD94_1.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       mang           Sp(TH)         O(HP)          pxmn           Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        2500.00        99.5403       0.459678                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.5403       0.459676                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.5403       0.459675                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.5403       0.459673                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.5403       0.459672                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.5403       0.459670                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.5403       0.459668                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.5403       0.459667                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.5403       0.459665                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.5403       0.459663                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.5403       0.459662                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.5403       0.459660                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.5403       0.459658                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.5403       0.459656                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.5403       0.459654                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.5403       0.459653                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.5403       0.459651                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.5404       0.459649                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        99.5404       0.459647                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        99.5404       0.459645                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        99.5404       0.459643                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        99.5404       0.459641                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        99.5404       0.459639                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        99.5404       0.459637                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        99.5404       0.459636                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        99.5404       0.459633                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        99.5404       0.459631                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        99.5404       0.459629                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        99.5404       0.459627                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        99.5404       0.459625                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        99.5404       0.459623                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        99.5404       0.459621                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        99.5404       0.459619                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        99.5404       0.459617                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        98.7840       0.459622                 NaN  0.756335                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        97.2819       0.285455                 NaN   2.11094       0.321703                 NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        95.3419                 NaN            NaN   3.80910       0.848956                 NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        94.5838                 NaN            NaN   4.56723       0.848967                 NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        93.8145                 NaN  0.172400E-001   5.31931       0.848978                 NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        93.0576                 NaN  0.346971E-001   6.05869       0.848989                 NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        92.3008                 NaN  0.521546E-001   6.79809       0.849000                 NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        91.5723                 NaN  0.687153E-001   7.50995       0.849011                 NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        90.8439                 NaN  0.852765E-001   8.22183       0.849022                 NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        90.1154                 NaN  0.101838        8.93373       0.849034                 NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        89.3869                 NaN  0.118400        9.64565       0.849045                 NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        88.6584                 NaN  0.134963        10.3576       0.849057                 NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        87.9299                 NaN  0.151526        11.0695       0.849068                 NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        87.2013                 NaN  0.168089        11.7815       0.849079                 NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        86.4727                 NaN  0.184653        12.4935       0.849091                 NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        85.7797                 NaN  0.199944        13.1712       0.849103                 NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        85.0867                 NaN  0.215235        13.8489       0.849115                 NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        84.3937                 NaN  0.230526        14.5267       0.849127                 NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        83.7006                 NaN  0.245818        15.2044       0.849139                 NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        83.0075                 NaN  0.261111        15.8822       0.849152                 NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        82.3144                 NaN  0.276404        16.5600       0.849164                 NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        81.6213                 NaN  0.291697        17.2378       0.849176                 NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        80.9282                 NaN  0.306991        17.9157       0.849188                 NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        80.2637                 NaN  0.321053        18.5660       0.849201                 NaN            NaN            NaN            NaN            NaN            NaN
