|6.6.6
Archiving\03_Data\eqfracLP/QFM_m5/GRV/GRV_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          iron           Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1573.72        500.000       0.676420E-002   99.1161                 NaN  0.669790       0.206519       0.850118E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.28        500.000                 NaN   99.0358                 NaN  0.964173                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.84        500.000       0.107804E-002   99.0015                 NaN  0.997396       0.369116E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.41        500.000       0.300909E-004   99.0904                 NaN  0.909591                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.97        500.000                 NaN   99.0602                 NaN  0.874676       0.650949E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.53        500.000                 NaN   99.0713                 NaN  0.928665                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.09        500.000                 NaN   99.0650                 NaN  0.934957                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.65        500.000                 NaN   99.0689                 NaN  0.929281                 NaN  0.179242E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.22        500.000       0.316531E-004   99.0568                 NaN  0.943145                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.78        500.000                 NaN   99.0979                 NaN  0.902096                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.34        500.000                 NaN   99.0841                 NaN  0.915886                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.90        500.000       0.636344E-002   99.0996                 NaN  0.894037                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.47        500.000                 NaN   99.0996                 NaN  0.900437                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.03        500.000                 NaN   99.0990                 NaN  0.900959                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.59        500.000                 NaN   99.1018                 NaN  0.898234                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.15        500.000                 NaN   99.1072                 NaN  0.892830                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.71        500.000                 NaN   99.1109                 NaN  0.889088                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.28        500.000                 NaN   99.1122                 NaN  0.887839                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.84        500.000                 NaN   99.1169                 NaN  0.883079                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.40        500.000                 NaN   99.1192                 NaN  0.880796                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.96        500.000                 NaN   99.1215                 NaN  0.878548                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.52        500.000                 NaN   98.8443                 NaN  0.771442E-001            NaN            NaN   1.07857                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.09        500.000                 NaN   98.5817                 NaN            NaN            NaN            NaN   1.13549       0.282846                 NaN            NaN            NaN            NaN            NaN            NaN
  1540.65        500.000                 NaN   97.8647                 NaN  0.670910                 NaN            NaN   1.46444                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.21        500.000                 NaN   97.8224                 NaN  0.674525                 NaN  0.203131E-001   1.48274                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.77        500.000                 NaN   97.7744                 NaN  0.637576                 NaN  0.517327E-001   1.53630                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.33        500.000                 NaN   97.8252                 NaN  0.626490                 NaN  0.504086E-001   1.49786                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.90        500.000                 NaN   97.8708                 NaN  0.615270                 NaN  0.492967E-001   1.46466                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.46        500.000                 NaN   97.9290                 NaN  0.600602                 NaN  0.475417E-001   1.42287                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.02        500.000                 NaN   97.9710                 NaN  0.588631                 NaN  0.465171E-001   1.39382                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.58        500.000                 NaN   98.0158                 NaN  0.575641                 NaN  0.451846E-001   1.36342                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.15        500.000                 NaN   98.0596                 NaN  0.565631                 NaN  0.442603E-001   1.33053                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.71        500.000                 NaN   98.1013                 NaN  0.554225                 NaN  0.431256E-001   1.30136                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.27        500.000                 NaN   98.1415                 NaN  0.542802                 NaN  0.420757E-001   1.27366                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.83        500.000                 NaN   98.1793                 NaN  0.530403                 NaN  0.409192E-001   1.24939                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.39        500.000                 NaN   98.2201                 NaN  0.520361                 NaN  0.400263E-001   1.21953                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.96        500.000                 NaN   98.2556                 NaN  0.508374                 NaN  0.390513E-001   1.19701                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.52        500.000                 NaN   98.2928                 NaN  0.494951                 NaN  0.378357E-001   1.17443                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.08        500.000                 NaN   98.3259                 NaN  0.483671                 NaN  0.369046E-001   1.15357                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.64        500.000                 NaN   98.3574                 NaN  0.471334                 NaN  0.359526E-001   1.13531                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.20        500.000                 NaN   98.3929                 NaN  0.461144                 NaN  0.350190E-001   1.11092                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.77        500.000                 NaN   98.4225                 NaN  0.451525                 NaN  0.342449E-001   1.09178                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.33        500.000                 NaN   98.4517                 NaN  0.440788                 NaN  0.334152E-001   1.07405                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.89        500.000                 NaN   98.4830                 NaN  0.430599                 NaN  0.325449E-001   1.05382                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.45        500.000                 NaN   98.5094                 NaN  0.421623                 NaN  0.316964E-001   1.03729                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.01        500.000                 NaN   98.5372                 NaN  0.410882                 NaN  0.308972E-001   1.02104                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.58        500.000                 NaN   98.5636                 NaN  0.401679                 NaN  0.301900E-001   1.00449                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.14        500.000                 NaN   98.5894                 NaN  0.392493                 NaN  0.294591E-001  0.988673                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.70        500.000                 NaN   98.6142                 NaN  0.383959                 NaN  0.287592E-001  0.973113                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.26        500.000                 NaN   98.6377                 NaN  0.374986                 NaN  0.280489E-001  0.959286                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.83        500.000                 NaN   98.6616                 NaN  0.366864                 NaN  0.273925E-001  0.944107                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.39        500.000                 NaN   98.6835                 NaN  0.358170                 NaN  0.266794E-001  0.931664                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.95        500.000                 NaN   98.7056                 NaN  0.350372                 NaN  0.261578E-001  0.917845                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.51        500.000                 NaN   98.7275                 NaN  0.341567                 NaN  0.254142E-001  0.905526                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.07        500.000                 NaN   98.7455                 NaN  0.335330                 NaN  0.250812E-001  0.894125                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.64        500.000                 NaN   98.7659                 NaN  0.326545                 NaN  0.243714E-001  0.883204                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.20        500.000                 NaN   98.6607                 NaN  0.351611                 NaN  0.260561E-001  0.961585                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.76        500.000                 NaN   98.9324                 NaN  0.264095                 NaN  0.204568E-001  0.206239E-001  0.762394                 NaN            NaN            NaN            NaN            NaN            NaN
  1490.32        500.000                 NaN   98.7692                 NaN  0.935235E-001            NaN  0.195567E-001  0.313854       0.803856                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.88        500.000                 NaN   98.8130                 NaN  0.709006E-001            NaN  0.183831E-001  0.770013       0.327684                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.45        500.000                 NaN   98.4606                 NaN  0.879336E-001            NaN  0.236373E-001  0.429416       0.998431                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.01        500.000                 NaN   99.1839                 NaN  0.404925E-001            NaN  0.121978E-001  0.528025       0.235387                 NaN            NaN            NaN            NaN            NaN            NaN
  1484.57        500.000                 NaN   98.8430                 NaN  0.521437E-001            NaN  0.171116E-001  0.747760       0.340012                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.13        500.000                 NaN   98.8584                 NaN  0.448727E-001            NaN  0.164996E-001  0.736653       0.343545                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.69        500.000                 NaN   98.8708                 NaN  0.387260E-001            NaN  0.161163E-001  0.346562       0.727779                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.26        500.000                 NaN   98.8862                 NaN  0.302879E-001            NaN  0.155039E-001  0.351785       0.716206                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.82        500.000                 NaN   98.8995                 NaN  0.250902E-001            NaN  0.149579E-001  0.353462       0.706983                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.38        500.000                 NaN   98.9123                 NaN  0.204691E-001            NaN  0.145220E-001  0.698511       0.354227                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.94        500.000                 NaN   98.9256                 NaN  0.138629E-001            NaN  0.140823E-001  0.688454       0.358051                 NaN            NaN            NaN            NaN            NaN            NaN
  1474.51        500.000                 NaN   98.9380                 NaN  0.868358E-002            NaN  0.136658E-001  0.359946       0.679715                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.07        500.000                 NaN   98.9503                 NaN  0.412906E-002            NaN  0.132214E-001  0.671296       0.361039                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.63        500.000                 NaN   98.9620                 NaN  0.104178E-002            NaN  0.127736E-001  0.663606       0.360554                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.19        500.000                 NaN   98.9768                 NaN  0.496058E-001            NaN  0.123534E-001  0.304935       0.656302                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.75        500.000                 NaN   98.9867                 NaN            NaN            NaN  0.119601E-001  0.646947       0.354396                 NaN            NaN            NaN            NaN            NaN            NaN
