|6.6.6
Archiving\03_Data\eqfracLP/QFM_m5/GRV/GRV_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          iron           Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1573.72        500.000       0.421122E-002   99.2319                 NaN  0.587464       0.176086       0.321594E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.28        500.000                 NaN   99.1545                 NaN  0.845522                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.84        500.000       0.671402E-003   99.1249                 NaN  0.874444       0.314536E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.41        500.000       0.187318E-004   99.2027                 NaN  0.797243                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.97        500.000                 NaN   99.1780                 NaN  0.766564       0.554654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.53        500.000                 NaN   99.1865                 NaN  0.813478                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.09        500.000                 NaN   99.1812                 NaN  0.818813                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.65        500.000                 NaN   99.1857                 NaN  0.813579                 NaN  0.677212E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.22        500.000       0.196864E-004   99.1744                 NaN  0.825620                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.78        500.000                 NaN   99.2105                 NaN  0.789472                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.34        500.000                 NaN   99.1986                 NaN  0.801425                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.90        500.000       0.395672E-002   99.2140                 NaN  0.782092                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.47        500.000                 NaN   99.2126                 NaN  0.787383                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.03        500.000                 NaN   99.2124                 NaN  0.787639                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.59        500.000                 NaN   99.2149                 NaN  0.785080                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.15        500.000                 NaN   99.2198                 NaN  0.780246                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.71        500.000                 NaN   99.2233                 NaN  0.776698                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.28        500.000                 NaN   99.2246                 NaN  0.775380                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.84        500.000                 NaN   99.2290                 NaN  0.771041                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.40        500.000                 NaN   99.2312                 NaN  0.768830                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.96        500.000                 NaN   99.2332                 NaN  0.766761                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.52        500.000                 NaN   98.9868                 NaN  0.673313E-001            NaN            NaN  0.945829                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.09        500.000                 NaN   98.7560                 NaN            NaN            NaN            NaN  0.995553       0.248430                 NaN            NaN            NaN            NaN            NaN            NaN
  1540.65        500.000                 NaN   98.1275                 NaN  0.585647                 NaN            NaN   1.28690                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.21        500.000                 NaN   98.1012                 NaN  0.588518                 NaN  0.766253E-002   1.30262                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.77        500.000                 NaN   98.0754                 NaN  0.555974                 NaN  0.195089E-001   1.34911                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.33        500.000                 NaN   98.1207                 NaN  0.545835                 NaN  0.189986E-001   1.31446                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.90        500.000                 NaN   98.1613                 NaN  0.535638                 NaN  0.185688E-001   1.28451                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.46        500.000                 NaN   98.2128                 NaN  0.522399                 NaN  0.178972E-001   1.24689                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
