|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.75/TAY13/TAY13_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q              hed           
  1596.15        2500.00       0.280012E-002   99.5662       0.360217       0.707393E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.66        2500.00                 NaN   99.3401       0.657833       0.209349E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.16        2500.00                 NaN   99.3375       0.597201       0.652614E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.67        2500.00                 NaN   99.3509       0.570026       0.790662E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.17        2500.00                 NaN   99.3535       0.568673       0.777878E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.68        2500.00                 NaN   99.3581       0.566332       0.756100E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.19        2500.00                 NaN   99.3653       0.559760       0.749381E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.69        2500.00                 NaN   99.3692       0.556977       0.737756E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.20        2500.00                 NaN   99.3618       0.562409       0.758009E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.70        2500.00                 NaN   99.3991       0.528821       0.720656E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.21        2500.00                 NaN   99.3881       0.539814       0.720519E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.71        2500.00                 NaN   99.3951       0.534024       0.709224E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.22        2500.00                 NaN   99.3994       0.530620       0.700266E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.73        2500.00                 NaN   99.4044       0.526844       0.687167E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
