|6.6.6
Archiving\03_Data\Deqfrac/QFM_m2/T13/T13_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1631.41        2500.00        99.1844       0.768381       0.471765E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.83        2500.00        99.7643       0.164314       0.713962E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1628.25        2500.00        98.1029        1.75710       0.139971                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.66        2500.00        98.9463       0.915042       0.138667                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1625.08        2500.00        98.9556       0.907633       0.136724                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.50        2500.00        98.9693       0.895562       0.135145                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.92        2500.00        98.9789       0.887686       0.133374                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.33        2500.00        98.9893       0.879454       0.131294                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.75        2500.00        98.9888       0.880521       0.130706                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.17        2500.00        99.0183       0.857083       0.124612                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.59        2500.00        99.0242       0.848003       0.127761                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.00        2500.00        99.0317       0.842324       0.125967                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.42        2500.00        99.0436       0.832636       0.123738                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.84        2500.00        99.0500       0.828706       0.121259                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.26        2500.00        99.0432       0.839210       0.117583                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.67        2500.00        99.0872       0.792480       0.120368                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
