|6.6.6
Archiving\03_Data\fracLP/QFM_m5/TAY13/TAY13_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          17
T(K)           P(bar)         melt(TH)       mang           iron           Ni             pxmn           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  2000.00        500.000        92.6376       0.450106        6.88823       0.241154E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1997.49        500.000        92.6264       0.450121        6.89939       0.241161E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1994.99        500.000        92.6104       0.450141        6.91531       0.241172E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1992.48        500.000        92.5973       0.450157        6.92843       0.241181E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1989.97        500.000        92.5746       0.450186        6.95107       0.241196E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.47        500.000        92.5409       0.450229        6.98473       0.241219E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1984.96        500.000        92.5195       0.450256        7.00608       0.241234E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1982.46        500.000        92.4846       0.436207        7.02908       0.241249E-001  0.260024E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1979.95        500.000        92.4742       0.444470        7.04644       0.241261E-001  0.107814E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.44        500.000        92.4298       0.421758        7.07149       0.241278E-001  0.527891E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.94        500.000        92.3102       0.326353        7.11021       0.241304E-001  0.229092                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1972.43        500.000        92.3213       0.357969        7.12582       0.241315E-001  0.170734                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1969.92        500.000        92.2670       0.325873        7.15293       0.241333E-001  0.230080                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.42        500.000        92.2132       0.294187        7.17982       0.241352E-001  0.288667                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.91        500.000        92.1594       0.262392        7.20666       0.241370E-001  0.347454                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1962.41        500.000        92.1014       0.228202        7.23562       0.241390E-001  0.410671                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
