|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.25/TAY13/TAY13_3.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1564.10        500.000       0.107821E-001   99.9340       0.552244E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.69        500.000                 NaN   99.4130       0.586910       0.104512E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.27        500.000                 NaN   99.4215       0.578487                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.86        500.000                 NaN   99.4278       0.568393       0.384754E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.44        500.000                 NaN   99.4334       0.566618                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.03        500.000                 NaN   99.4363       0.560398       0.332098E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.62        500.000                 NaN   99.4435       0.526896       0.295777E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.20        500.000                 NaN   99.4445       0.551240       0.426715E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        500.000                 NaN   99.4526       0.521072       0.263260E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000                 NaN   99.4612       0.514208       0.245664E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.96        500.000                 NaN   99.4614       0.514727       0.238823E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.55        500.000                 NaN   99.4673       0.509328       0.233235E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.13        500.000                 NaN   99.4705       0.507293       0.221690E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.72        500.000                 NaN   99.4764       0.501336       0.223104E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.31        500.000                 NaN   99.4801       0.498323       0.215905E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.89        500.000                 NaN   98.9057        1.07688       0.110213E-001  0.638210E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.48        500.000                 NaN   99.9888       0.107940E-001  0.364203E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.07        500.000                 NaN   99.5719       0.395688       0.324523E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.65        500.000                 NaN   99.4976       0.482319       0.201104E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.24        500.000                 NaN   99.5014       0.478356       0.202530E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.82        500.000                 NaN   99.2028       0.758867       0.383345E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.41        500.000                 NaN   99.8224       0.168445       0.918667E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.00        500.000                 NaN   99.5124       0.477921       0.965127E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.58        500.000                 NaN   99.5172       0.466067       0.167197E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.17        500.000                 NaN   99.5208       0.463626       0.155863E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.76        500.000                 NaN   99.5235       0.462171       0.143373E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.34        500.000                 NaN   99.5281       0.457340       0.145377E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.93        500.000                 NaN   99.5312       0.455210       0.135838E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.51        500.000                 NaN   99.5344       0.453744       0.118644E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.10        500.000                 NaN   99.5390       0.447631       0.133876E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.69        500.000                 NaN   99.5417       0.445939       0.123233E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.27        500.000                 NaN   99.5453       0.446827       0.786301E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.86        500.000                 NaN   99.4646       0.523551       0.118379E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.45        500.000                 NaN   99.6342       0.351882       0.139649E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.03        500.000                 NaN   99.5540       0.434768       0.112298E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.62        500.000                 NaN   99.5581       0.437683       0.419708E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.20        500.000                 NaN   99.5604       0.434390       0.519850E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.79        500.000                 NaN   99.5641       0.428145       0.772878E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.38        500.000                 NaN   99.5643       0.430257       0.539808E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.96        500.000                 NaN   99.5706       0.423929       0.542573E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.55        500.000                 NaN   99.5736       0.420505       0.590171E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.13        500.000                 NaN   99.5757       0.418784       0.548383E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.72        500.000                 NaN   99.5794       0.415176       0.543438E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.31        500.000                 NaN   99.5816       0.414285       0.413056E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.89        500.000                 NaN   99.5840       0.412763       0.323481E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.48        500.000                 NaN   99.8003       0.193487       0.621757E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.07        500.000                 NaN   99.7805       0.207067       0.124319E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.65        500.000                 NaN   99.1922       0.803937       0.383586E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.24        500.000                 NaN   99.5966       0.396326       0.711182E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.82        500.000                 NaN   99.5970       0.402964                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.41        500.000                 NaN   99.5969       0.403119       0.141629E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.00        500.000                 NaN   99.6144       0.322960       0.626272E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.58        500.000                 NaN   99.6059       0.394097                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.17        500.000                 NaN   99.6086       0.365178       0.261834E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.76        500.000                 NaN   99.6110       0.388996                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.34        500.000                 NaN   99.6134       0.386647                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.93        500.000                 NaN   99.6153       0.384737                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.51        500.000                 NaN   99.6174       0.382572                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.10        500.000                 NaN   98.9627       0.998398       0.388584E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.69        500.000                 NaN  100.0000                 NaN  0.727074E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.27        500.000                 NaN   99.9186       0.814362E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.86        500.000                 NaN   99.6257       0.374270                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.45        500.000                 NaN   99.6304       0.369603                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.03        500.000                 NaN   99.1588       0.669643                 NaN            NaN  0.171560                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.62        500.000                 NaN   99.9671       0.326807E-001  0.224537E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.20        500.000                 NaN   99.7383       0.261704                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.79        500.000                 NaN   99.5765       0.100311                 NaN            NaN  0.323162                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.38        500.000                 NaN   99.5534       0.471450E-002            NaN            NaN  0.441897                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.96        500.000                 NaN   99.5590       0.452641E-001            NaN            NaN  0.395761                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.55        500.000                 NaN   99.5572       0.635070E-002            NaN            NaN  0.436451                 NaN            NaN            NaN            NaN            NaN            NaN
  1465.14        500.000                 NaN   99.5577                 NaN            NaN            NaN  0.442269                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.72        500.000                 NaN   99.5614       0.358885E-001            NaN            NaN  0.402721                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.31        500.000                 NaN   99.5601                 NaN            NaN            NaN  0.439910                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.89        500.000                 NaN   99.5611                 NaN            NaN            NaN  0.438859                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.48        500.000                 NaN   99.5604                 NaN            NaN            NaN  0.439567                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.07        500.000                 NaN   99.5646                 NaN            NaN            NaN  0.435447                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.65        500.000                 NaN   99.5632                 NaN            NaN            NaN  0.436775                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.24        500.000                 NaN   99.5635                 NaN            NaN            NaN  0.436501                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.82        500.000                 NaN   99.5629                 NaN            NaN            NaN  0.437147                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.41        500.000                 NaN   99.5628                 NaN            NaN            NaN  0.437174                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.00        500.000                 NaN   99.5626                 NaN            NaN            NaN  0.437353                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.58        500.000                 NaN   99.5617                 NaN            NaN            NaN  0.438308                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.17        500.000                 NaN   99.5619                 NaN            NaN            NaN  0.438092                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.76        500.000                 NaN   99.5603                 NaN            NaN            NaN  0.439747                 NaN            NaN            NaN            NaN            NaN            NaN
  1445.34        500.000                 NaN   99.5563                 NaN            NaN            NaN  0.443705                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.93        500.000                 NaN   99.5563                 NaN            NaN            NaN  0.443656                 NaN            NaN            NaN            NaN            NaN            NaN
  1442.51        500.000                 NaN   99.4884                 NaN            NaN            NaN  0.391323       0.120228                 NaN            NaN            NaN            NaN            NaN
  1441.10        500.000                 NaN   99.3229                 NaN            NaN            NaN  0.431146       0.246000                 NaN            NaN            NaN            NaN            NaN
  1439.69        500.000                 NaN   99.3287                 NaN            NaN            NaN  0.427388       0.243956                 NaN            NaN            NaN            NaN            NaN
  1438.27        500.000                 NaN   99.3356                 NaN            NaN            NaN  0.423060       0.241357                 NaN            NaN            NaN            NaN            NaN
  1436.86        500.000                 NaN   99.3405                 NaN            NaN            NaN  0.239367       0.420114                 NaN            NaN            NaN            NaN            NaN
  1435.45        500.000                 NaN   99.3481                 NaN            NaN            NaN  0.236394       0.415503                 NaN            NaN            NaN            NaN            NaN
  1434.03        500.000                 NaN   99.3525                 NaN            NaN            NaN  0.412761       0.234754                 NaN            NaN            NaN            NaN            NaN
  1432.62        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1431.20        500.000                 NaN   98.7259                 NaN            NaN            NaN  0.813436       0.460638                 NaN            NaN            NaN            NaN            NaN
  1429.79        500.000                 NaN   99.3709                 NaN            NaN            NaN  0.227342       0.401761                 NaN            NaN            NaN            NaN            NaN
  1428.38        500.000                 NaN   99.3763                 NaN            NaN            NaN  0.225148       0.398578                 NaN            NaN            NaN            NaN            NaN
  1426.96        500.000                 NaN   99.3812                 NaN            NaN            NaN  0.395688       0.223157                 NaN            NaN            NaN            NaN            NaN
  1425.55        500.000                 NaN   99.3845                 NaN            NaN            NaN  0.221435       0.394082                 NaN            NaN            NaN            NaN            NaN
  1424.14        500.000                 NaN   99.3950                 NaN            NaN            NaN  0.218319       0.386644                 NaN            NaN            NaN            NaN            NaN
