|6.6.6
Archiving\03_Data\eqfrac/QFM_m3/TIS/TIS_1.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            q             
  1461.54        2500.00       0.257208E-001   99.9095       0.563436E-001            NaN            NaN            NaN  0.843486E-002            NaN            NaN            NaN            NaN
  1460.38        2500.00       0.893865E-003   99.2747       0.200261       0.522377                 NaN            NaN  0.174380E-002            NaN            NaN            NaN            NaN
  1459.23        2500.00       0.811119E-003   99.2769       0.529568       0.158129                 NaN            NaN  0.345537E-001            NaN            NaN            NaN            NaN
  1458.07        2500.00       0.769833E-003   99.2808       0.156908       0.527356                 NaN            NaN  0.341609E-001            NaN            NaN            NaN            NaN
  1456.91        2500.00       0.745778E-003   99.2782       0.528096       0.159010                 NaN            NaN  0.339160E-001            NaN            NaN            NaN            NaN
  1455.76        2500.00       0.152730E-003   99.8426       0.349755E-001  0.115137                 NaN            NaN  0.715895E-002            NaN            NaN            NaN            NaN
  1454.60        2500.00       0.122281E-002   98.7463       0.279330       0.915708                 NaN            NaN  0.574517E-001            NaN            NaN            NaN            NaN
  1453.44        2500.00       0.651051E-003   99.2949       0.514659       0.159603                 NaN            NaN  0.302019E-001            NaN            NaN            NaN            NaN
  1452.29        2500.00       0.602213E-003   99.2997       0.155816       0.511572                 NaN            NaN  0.322772E-001            NaN            NaN            NaN            NaN
  1451.13        2500.00       0.572206E-003   99.3018       0.158262       0.509021                 NaN            NaN  0.303178E-001            NaN            NaN            NaN            NaN
  1449.97        2500.00       0.584198E-003   99.3022       0.182402       0.499535                 NaN            NaN  0.152492E-001            NaN            NaN            NaN            NaN
  1448.82        2500.00       0.471985E-003   99.3121       0.134051       0.509909                 NaN            NaN  0.434794E-001            NaN            NaN            NaN            NaN
  1447.66        2500.00       0.497116E-003   99.2941       0.162823       0.513400                 NaN            NaN  0.291505E-001            NaN            NaN            NaN            NaN
  1446.50        2500.00       0.442357E-003   99.3333       0.154690       0.484495                 NaN            NaN  0.270461E-001            NaN            NaN            NaN            NaN
  1445.35        2500.00       0.429145E-003   99.3181       0.159038       0.495209                 NaN            NaN  0.272291E-001            NaN            NaN            NaN            NaN
  1444.19        2500.00       0.401771E-003   99.3213       0.159393       0.492424                 NaN            NaN  0.265292E-001            NaN            NaN            NaN            NaN
  1443.03        2500.00       0.389568E-003   99.2926       0.513051       0.166658                 NaN            NaN  0.272526E-001            NaN            NaN            NaN            NaN
  1441.88        2500.00       0.295825E-004   99.9313       0.149818E-001  0.508627E-001            NaN            NaN  0.279989E-002            NaN            NaN            NaN            NaN
  1440.72        2500.00       0.636024E-003   98.7552       0.902529       0.296452                 NaN            NaN  0.452085E-001            NaN            NaN            NaN            NaN
  1439.56        2500.00       0.302984E-003   99.3336       0.158580       0.482643                 NaN            NaN  0.248646E-001            NaN            NaN            NaN            NaN
  1438.41        2500.00       0.274803E-003   99.3348       0.481576       0.159824                 NaN            NaN  0.234980E-001            NaN            NaN            NaN            NaN
  1437.25        2500.00       0.257926E-003   99.3371       0.159814       0.479800                 NaN            NaN  0.230454E-001            NaN            NaN            NaN            NaN
  1436.09        2500.00       0.230608E-003   99.3393       0.159692       0.478322                 NaN            NaN  0.224556E-001            NaN            NaN            NaN            NaN
  1434.93        2500.00       0.214549E-003   99.3421       0.160016       0.475831                 NaN            NaN  0.218077E-001            NaN            NaN            NaN            NaN
  1433.78        2500.00       0.179484E-003   99.3267       0.493138       0.148449                 NaN            NaN  0.314837E-001            NaN            NaN            NaN            NaN
  1432.62        2500.00       0.193141E-003   99.3626       0.175018       0.452938                 NaN            NaN  0.928888E-002            NaN            NaN            NaN            NaN
  1431.46        2500.00                 NaN   99.2367       0.485531       0.175079                 NaN            NaN  0.468896E-001  0.557605E-001            NaN            NaN            NaN
  1430.31        2500.00                 NaN   98.2766       0.322972       0.611519                 NaN            NaN  0.261648       0.527298                 NaN            NaN            NaN
  1429.15        2500.00                 NaN   98.3012       0.605286       0.311953                 NaN            NaN  0.261502       0.520056                 NaN            NaN            NaN
  1427.99        2500.00                 NaN   98.3220       0.302621       0.600627                 NaN            NaN  0.261044       0.513711                 NaN            NaN            NaN
  1426.84        2500.00                 NaN   98.3409       0.597615       0.291997                 NaN            NaN  0.261203       0.508267                 NaN            NaN            NaN
  1425.68        2500.00                 NaN   98.3671       0.590138       0.282938                 NaN            NaN  0.259759       0.500032                 NaN            NaN            NaN
  1424.52        2500.00                 NaN   98.3860       0.273714       0.585715                 NaN            NaN  0.260047       0.494544                 NaN            NaN            NaN
  1423.37        2500.00                 NaN   98.4051       0.582765       0.263738                 NaN            NaN  0.259659       0.488749                 NaN            NaN            NaN
  1422.21        2500.00                 NaN   98.4250       0.254550       0.578370                 NaN            NaN  0.259378       0.482724                 NaN            NaN            NaN
  1421.05        2500.00                 NaN   98.4437       0.245800       0.574239                 NaN            NaN  0.259100       0.477124                 NaN            NaN            NaN
  1419.90        2500.00                 NaN   98.4622       0.235641       0.571759                 NaN            NaN  0.258924       0.471473                 NaN            NaN            NaN
  1418.74        2500.00                 NaN   98.4817       0.566974       0.227380                 NaN            NaN  0.258420       0.465523                 NaN            NaN            NaN
  1417.58        2500.00                 NaN   98.4987       0.218800       0.563793                 NaN            NaN  0.258243       0.460508                 NaN            NaN            NaN
  1416.43        2500.00                 NaN   98.5144       0.561420       0.210323                 NaN            NaN  0.258203       0.455660                 NaN            NaN            NaN
  1415.27        2500.00                 NaN   98.5274       0.559221       0.203441                 NaN            NaN  0.258168       0.451804                 NaN            NaN            NaN
  1414.11        2500.00                 NaN   98.5540       0.192223       0.553001                 NaN            NaN  0.257033       0.443709                 NaN            NaN            NaN
  1412.96        2500.00                 NaN   98.5642       0.550924       0.186508                 NaN            NaN  0.257329       0.441033                 NaN            NaN            NaN
  1411.80        2500.00                 NaN   98.5856       0.175973       0.547326                 NaN            NaN  0.257191       0.433953                 NaN            NaN            NaN
  1410.64        2500.00                 NaN   98.6014       0.170959       0.543223                 NaN            NaN  0.255520       0.428922                 NaN            NaN            NaN
  1409.49        2500.00                 NaN   98.6128       0.540484       0.163746                 NaN            NaN  0.257039       0.425881                 NaN            NaN            NaN
  1408.33        2500.00                 NaN   95.8946        1.54292       0.687906                 NaN            NaN  0.645434        1.22915                 NaN            NaN            NaN
  1407.17        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1406.02        2500.00                 NaN   99.9106       0.311144E-001            NaN            NaN            NaN  0.354563E-001  0.228146E-001            NaN            NaN            NaN
  1404.86        2500.00                 NaN   98.6933       0.593087                 NaN            NaN            NaN  0.305072       0.408569                 NaN            NaN            NaN
  1403.70        2500.00                 NaN   98.7083       0.146802E-002  0.592282                 NaN            NaN  0.295358       0.402544                 NaN            NaN            NaN
  1402.55        2500.00                 NaN   98.7020       0.122005       0.524510                 NaN            NaN  0.253390       0.398060                 NaN            NaN            NaN
  1401.39        2500.00                 NaN   98.7153       0.522302       0.114715                 NaN            NaN  0.253594       0.394129                 NaN            NaN            NaN
  1400.23        2500.00                 NaN   98.7246       0.526198       0.102395                 NaN            NaN  0.255138       0.391696                 NaN            NaN            NaN
  1399.08        2500.00                 NaN   98.7449       0.513681       0.106572                 NaN            NaN  0.250331       0.384469                 NaN            NaN            NaN
  1397.92        2500.00                 NaN   98.7515       0.518137       0.948248E-001            NaN            NaN  0.252714       0.382796                 NaN            NaN            NaN
  1396.76        2500.00                 NaN   98.7668       0.902146E-001  0.513790                 NaN            NaN  0.251265       0.377882                 NaN            NaN            NaN
  1395.61        2500.00                 NaN   98.7779       0.513583       0.820329E-001            NaN            NaN  0.251800       0.374640                 NaN            NaN            NaN
  1394.45        2500.00                 NaN   98.7902       0.509537       0.789730E-001            NaN            NaN  0.250558       0.370704                 NaN            NaN            NaN
  1393.29        2500.00                 NaN   98.8026       0.509537       0.711199E-001            NaN            NaN  0.250064       0.366688                 NaN            NaN            NaN
  1392.14        2500.00                 NaN   98.8142       0.507427       0.656876E-001            NaN            NaN  0.249585       0.363117                 NaN            NaN            NaN
  1390.98        2500.00                 NaN   98.8247       0.506591       0.595888E-001            NaN            NaN  0.249330       0.359781                 NaN            NaN            NaN
  1389.82        2500.00                 NaN   98.8362       0.506522       0.524825E-001            NaN            NaN  0.248791       0.356044                 NaN            NaN            NaN
  1388.67        2500.00                 NaN   98.8445       0.504291       0.483126E-001            NaN            NaN  0.249012       0.353842                 NaN            NaN            NaN
  1387.51        2500.00                 NaN   98.8630       0.450658E-001  0.499184                 NaN            NaN  0.245391       0.347311                 NaN            NaN            NaN
  1386.35        2500.00                 NaN   98.8670       0.501690       0.375170E-001            NaN            NaN  0.247156       0.346618                 NaN            NaN            NaN
  1385.20        2500.00                 NaN   98.8810       0.338109E-001  0.498666                 NaN            NaN  0.244920       0.341569                 NaN            NaN            NaN
  1384.04        2500.00                 NaN   98.8896       0.498072       0.285359E-001            NaN            NaN  0.244776       0.338998                 NaN            NaN            NaN
  1382.88        2500.00                 NaN   98.8995       0.211074E-001  0.498644                 NaN            NaN  0.244636       0.336092                 NaN            NaN            NaN
  1381.72        2500.00                 NaN   98.9105       0.495276       0.194142E-001            NaN            NaN  0.242599       0.332220                 NaN            NaN            NaN
  1380.57        2500.00                 NaN   98.9200       0.494396       0.141775E-001            NaN            NaN  0.242199       0.329250                 NaN            NaN            NaN
  1379.41        2500.00                 NaN   98.9295       0.103743E-001  0.492708                 NaN            NaN  0.241260       0.326123                 NaN            NaN            NaN
  1378.25        2500.00                 NaN   98.9396       0.492750       0.407900E-002            NaN            NaN  0.240669       0.322951                 NaN            NaN            NaN
  1377.10        2500.00                 NaN   98.9482       0.613480E-003  0.491714                 NaN            NaN  0.239463       0.320010                 NaN            NaN            NaN
  1375.94        2500.00                 NaN   98.9542       0.477204       0.208002E-001            NaN            NaN  0.230884       0.316904                 NaN            NaN            NaN
  1374.78        2500.00                 NaN   98.9610       0.483895                 NaN            NaN            NaN  0.238243       0.316812                 NaN            NaN            NaN
  1373.63        2500.00                 NaN   98.9683       0.483936                 NaN            NaN            NaN  0.235541       0.312232                 NaN            NaN            NaN
  1372.47        2500.00                 NaN   98.9786       0.139443       0.395127                 NaN            NaN  0.184271       0.302547                 NaN            NaN            NaN
  1371.31        2500.00                 NaN   98.9927       0.474358                 NaN            NaN            NaN  0.228470       0.304446                 NaN            NaN            NaN
  1370.16        2500.00                 NaN   98.9994       0.469549                 NaN            NaN            NaN  0.228650       0.302361                 NaN            NaN            NaN
  1369.00        2500.00                 NaN   99.0075       0.465616                 NaN            NaN            NaN  0.227174       0.299722                 NaN            NaN            NaN
  1367.84        2500.00                 NaN   99.0155       0.466303                 NaN            NaN            NaN  0.221783       0.296366                 NaN            NaN            NaN
  1366.69        2500.00                 NaN   99.0031       0.440449       0.317408E-001            NaN            NaN  0.223545       0.301182                 NaN            NaN            NaN
  1365.53        2500.00                 NaN   99.0443       0.469852                 NaN            NaN            NaN  0.202156       0.283656                 NaN            NaN            NaN
  1364.37        2500.00                 NaN   99.0395       0.453868                 NaN            NaN            NaN  0.218226       0.288400                 NaN            NaN            NaN
  1363.22        2500.00                 NaN   99.0467       0.450759                 NaN            NaN            NaN  0.216690       0.285832                 NaN            NaN            NaN
  1362.06        2500.00                 NaN   99.0344       0.374476       0.133412                 NaN            NaN  0.173263       0.284430                 NaN            NaN            NaN
  1360.90        2500.00                 NaN   99.0662       0.445242                 NaN            NaN            NaN  0.210278       0.278279                 NaN            NaN            NaN
  1359.75        2500.00                 NaN   99.0622       0.436860                 NaN            NaN            NaN  0.219123       0.281797                 NaN            NaN            NaN
  1358.59        2500.00                 NaN   99.0832       0.438140                 NaN            NaN            NaN  0.206298       0.272398                 NaN            NaN            NaN
  1357.43        2500.00                 NaN   99.0808       0.439866                 NaN            NaN            NaN  0.205454       0.273928                 NaN            NaN            NaN
  1356.28        2500.00                 NaN   99.0931       0.432485                 NaN            NaN            NaN  0.204953       0.269485                 NaN            NaN            NaN
  1355.12        2500.00                 NaN   99.0969       0.432614                 NaN            NaN            NaN  0.202585       0.267936                 NaN            NaN            NaN
  1353.96        2500.00                 NaN   99.1045       0.428245                 NaN            NaN            NaN  0.201649       0.265578                 NaN            NaN            NaN
  1352.81        2500.00                 NaN   99.1107       0.427445                 NaN            NaN            NaN  0.198636       0.263265                 NaN            NaN            NaN
  1351.65        2500.00                 NaN   99.1177       0.422875                 NaN            NaN            NaN  0.198427       0.260960                 NaN            NaN            NaN
  1350.49        2500.00                 NaN   99.1248       0.421278                 NaN            NaN            NaN  0.195549       0.258381                 NaN            NaN            NaN
  1349.34        2500.00                 NaN   99.1302       0.421244                 NaN            NaN            NaN  0.192335       0.256218                 NaN            NaN            NaN
  1348.18        2500.00                 NaN   99.1367       0.419286                 NaN            NaN            NaN  0.190195       0.253853                 NaN            NaN            NaN
  1347.02        2500.00                 NaN   99.1410       0.417604                 NaN            NaN            NaN  0.189225       0.252193                 NaN            NaN            NaN
  1345.87        2500.00                 NaN   99.1491       0.413763                 NaN            NaN            NaN  0.187661       0.249458                 NaN            NaN            NaN
  1344.71        2500.00                 NaN   99.1539       0.416930                 NaN            NaN            NaN  0.181849       0.247364                 NaN            NaN            NaN
  1343.55        2500.00                 NaN   99.1618       0.408320                 NaN            NaN            NaN  0.184771       0.245158                 NaN            NaN            NaN
  1342.40        2500.00                 NaN   99.1661       0.410736                 NaN            NaN            NaN  0.179771       0.243371                 NaN            NaN            NaN
  1341.24        2500.00                 NaN   99.1719       0.413001                 NaN            NaN            NaN  0.174478       0.240606                 NaN            NaN            NaN
  1340.08        2500.00                 NaN   99.1792       0.405568                 NaN            NaN            NaN  0.176621       0.238603                 NaN            NaN            NaN
  1338.93        2500.00                 NaN   99.1848       0.403534                 NaN            NaN            NaN  0.174955       0.236727                 NaN            NaN            NaN
  1337.77        2500.00                 NaN   99.1859       0.412731                 NaN            NaN            NaN  0.166052       0.235348                 NaN            NaN            NaN
  1336.61        2500.00                 NaN   99.1960       0.402995                 NaN            NaN            NaN  0.168851       0.232198                 NaN            NaN            NaN
  1335.46        2500.00                 NaN   99.2008       0.399700                 NaN            NaN            NaN  0.168771       0.230736                 NaN            NaN            NaN
  1334.30        2500.00                 NaN   99.2057       0.399241                 NaN            NaN            NaN  0.166101       0.228960                 NaN            NaN            NaN
  1333.14        2500.00                 NaN   99.2125       0.385702                 NaN            NaN            NaN  0.173761       0.228004                 NaN            NaN            NaN
  1331.98        2500.00                 NaN   98.9666       0.582752                 NaN            NaN            NaN  0.159868       0.290813                 NaN            NaN            NaN
  1330.83        2500.00                 NaN   99.4801       0.196835                 NaN            NaN            NaN  0.167240       0.155850                 NaN            NaN            NaN
  1329.67        2500.00                 NaN   99.2272       0.393158                 NaN            NaN            NaN  0.158282       0.221326                 NaN            NaN            NaN
  1328.51        2500.00                 NaN   99.2319       0.394269                 NaN            NaN            NaN  0.154492       0.219303                 NaN            NaN            NaN
  1327.36        2500.00                 NaN   99.2366       0.390813                 NaN            NaN            NaN  0.154810       0.217768                 NaN            NaN            NaN
  1326.20        2500.00                 NaN   99.2416       0.389554                 NaN            NaN            NaN  0.152884       0.215983                 NaN            NaN            NaN
  1325.04        2500.00                 NaN   99.2366       0.404857                 NaN            NaN            NaN  0.140695       0.217808                 NaN            NaN            NaN
  1323.89        2500.00                 NaN   99.2552       0.389090                 NaN            NaN            NaN  0.146367       0.209316                 NaN            NaN            NaN
  1322.73        2500.00                 NaN   99.2549       0.389497                 NaN            NaN            NaN  0.144695       0.210912                 NaN            NaN            NaN
  1321.57        2500.00                 NaN   99.2582       0.393071                 NaN            NaN            NaN  0.139454       0.209247                 NaN            NaN            NaN
  1320.42        2500.00                 NaN   99.2638       0.388460                 NaN            NaN            NaN  0.140212       0.207518                 NaN            NaN            NaN
  1319.26        2500.00                 NaN   99.2679       0.388609                 NaN            NaN            NaN  0.137509       0.205972                 NaN            NaN            NaN
  1318.10        2500.00                 NaN   99.2724       0.388319                 NaN            NaN            NaN  0.134965       0.204348                 NaN            NaN            NaN
  1316.95        2500.00                 NaN   99.2758       0.386927                 NaN            NaN            NaN  0.134271       0.202999                 NaN            NaN            NaN
  1315.79        2500.00                 NaN   99.2797       0.390104                 NaN            NaN            NaN  0.128850       0.201313                 NaN            NaN            NaN
  1314.63        2500.00                 NaN   99.2848       0.386482                 NaN            NaN            NaN  0.128905       0.199840                 NaN            NaN            NaN
  1313.48        2500.00                 NaN   99.2882       0.389128                 NaN            NaN            NaN  0.124420       0.198271                 NaN            NaN            NaN
  1312.32        2500.00                 NaN   99.2917       0.389752                 NaN            NaN            NaN  0.121673       0.196902                 NaN            NaN            NaN
  1311.16        2500.00                 NaN   99.2964       0.388211                 NaN            NaN            NaN  0.120007       0.195390                 NaN            NaN            NaN
  1310.01        2500.00                 NaN   99.2991       0.390625                 NaN            NaN            NaN  0.116276       0.194020                 NaN            NaN            NaN
  1308.85        2500.00                 NaN   99.3033       0.389600                 NaN            NaN            NaN  0.114429       0.192631                 NaN            NaN            NaN
  1307.69        2500.00                 NaN   99.3058       0.387249                 NaN            NaN            NaN  0.115143       0.191848                 NaN            NaN            NaN
  1306.54        2500.00                 NaN   99.3096       0.394140                 NaN            NaN            NaN  0.106513       0.189711                 NaN            NaN            NaN
  1305.38        2500.00                 NaN   99.3040       0.391677                 NaN            NaN            NaN  0.111197       0.193121                 NaN            NaN            NaN
  1304.22        2500.00                 NaN   95.0393        1.39202                 NaN            NaN            NaN  0.367160       0.718009        2.48352                 NaN            NaN
  1303.07        2500.00                 NaN   90.2965        2.52199                 NaN            NaN            NaN  0.657171        1.31268        5.21171                 NaN            NaN
  1301.91        2500.00                 NaN   90.6872        2.45461                 NaN            NaN            NaN  0.624446        1.26484        4.96891                 NaN            NaN
  1300.75        2500.00                 NaN   83.0954        4.12473                 NaN            NaN            NaN   1.07420        2.26646        8.99099       0.448202                 NaN
  1299.60        2500.00                 NaN   78.9288        5.00520                 NaN            NaN            NaN   1.39467        2.81614        11.1480       0.707153                 NaN
  1298.44        2500.00                 NaN   80.7222        4.59644                 NaN            NaN            NaN   1.33044        2.58183        10.1311       0.638065                 NaN
  1297.28        2500.00                 NaN   82.5460        4.20822                 NaN            NaN            NaN   1.22404        2.34367        9.10932       0.568782                 NaN
  1296.13        2500.00                 NaN   84.1482        3.87247                 NaN            NaN            NaN   1.12061        2.13400        8.21599       0.508692                 NaN
  1294.97        2500.00                 NaN   85.6213        3.56713                 NaN            NaN            NaN   1.01319        1.94065        7.40305       0.454667                 NaN
  1293.81        2500.00                 NaN   86.9053        3.29902                 NaN            NaN            NaN  0.917345        1.77192        6.69809       0.408344                 NaN
  1292.66        2500.00                 NaN   88.0244        3.06705                 NaN            NaN            NaN  0.828760        1.62444        6.08685       0.368518                 NaN
  1291.50        2500.00                 NaN   84.5850        3.26122                 NaN            NaN            NaN   1.27289        2.09974        8.25163       0.529544                 NaN
  1290.34        2500.00                 NaN   94.8683        2.10378                 NaN            NaN            NaN  0.178597       0.692562        2.06335       0.934471E-001            NaN
  1289.19        2500.00                 NaN   90.4041        2.58738                 NaN            NaN            NaN  0.598514        1.31133        4.81133       0.287381                 NaN
  1288.03        2500.00                 NaN   91.6319        2.30621                 NaN            NaN            NaN  0.526685        1.14464        4.14695       0.243569                 NaN
  1286.87        2500.00                 NaN   91.6356        2.33563                 NaN            NaN            NaN  0.491555        1.14618        4.14698       0.244070                 NaN
  1285.72        2500.00                 NaN   92.9209        1.82727                 NaN            NaN            NaN  0.481623       0.984693        3.57219       0.213362                 NaN
  1284.56        2500.00                 NaN   80.5013       0.202576E-001   4.89526                 NaN            NaN   1.52728        2.81504        9.67884       0.561971                 NaN
  1283.40        2500.00                 NaN   99.9998       0.193408E-003            NaN            NaN            NaN            NaN  0.179488E-004  0.273364E-004            NaN            NaN
  1282.25        2500.00                 NaN   99.9996                 NaN            NaN            NaN            NaN  0.420009E-004  0.751770E-004  0.305405E-003  0.199835E-004            NaN
  1281.09        2500.00                 NaN   79.9078        6.76572       0.376955                 NaN            NaN  0.156110        2.74962        9.55234       0.491449                 NaN
  1279.93        2500.00                 NaN  100.0000       0.474126E-005            NaN            NaN            NaN  0.783166E-005  0.308380E-005  0.102146E-004            NaN            NaN
  1278.77        2500.00                 NaN   99.9999       0.173414E-004            NaN            NaN            NaN  0.329068E-005  0.100999E-004  0.306254E-004  0.160647E-005            NaN
  1277.62        2500.00                 NaN   99.9998       0.411184E-004            NaN            NaN            NaN  0.135721E-004  0.239051E-004  0.800139E-004  0.467371E-005            NaN
  1276.46        2500.00                 NaN   85.4866        5.02119                 NaN            NaN            NaN  0.209924        1.99289        6.92548       0.363916                 NaN
  1275.30        2500.00                 NaN   98.4316       0.565205       0.521064E-001            NaN            NaN            NaN  0.218829       0.713202       0.190292E-001            NaN
  1274.15        2500.00                 NaN   94.5502        1.91841                 NaN            NaN            NaN  0.125414       0.789773        2.51648       0.996775E-001            NaN
  1272.99        2500.00                 NaN   99.6142       0.102123                 NaN            NaN            NaN            NaN            NaN  0.236297       0.473328E-001            NaN
  1271.83        2500.00                 NaN   94.0510        1.57042                 NaN            NaN            NaN  0.537996       0.947718        2.76392       0.128955                 NaN
  1270.68        2500.00                 NaN   98.3573       0.521463                 NaN            NaN            NaN  0.610616E-001  0.237280       0.783679       0.392115E-001            NaN
  1269.52        2500.00                 NaN   96.3375        1.55958                 NaN            NaN            NaN            NaN  0.451936        1.55276       0.982622E-001            NaN
  1268.36        2500.00                 NaN   97.5193       0.685862                 NaN            NaN            NaN            NaN  0.359015        1.37639       0.594609E-001            NaN
  1267.21        2500.00                 NaN   93.2520        1.88739       0.643266                 NaN            NaN            NaN  0.887168        3.16305       0.167166                 NaN
  1266.05        2500.00                 NaN   99.9991       0.426123E-003  0.260066E-003            NaN            NaN            NaN  0.888069E-004  0.174560E-003            NaN            NaN
  1264.89        2500.00                 NaN   99.9980       0.570066E-003            NaN            NaN            NaN            NaN  0.294025E-003  0.108811E-002  0.605040E-004            NaN
  1263.74        2500.00                 NaN   91.0991        4.24762                 NaN            NaN            NaN            NaN   1.13362        3.38640       0.133302                 NaN
  1262.58        2500.00                 NaN   96.9124        1.09571                 NaN            NaN            NaN            NaN  0.426300        1.48699       0.786016E-001            NaN
  1261.42        2500.00                 NaN   97.3500       0.957772                 NaN            NaN            NaN            NaN  0.353398        1.26915       0.697055E-001            NaN
  1260.27        2500.00                 NaN   96.9984       0.571137       0.482313                 NaN            NaN            NaN  0.430313        1.41605       0.101751                 NaN
  1259.11        2500.00                 NaN   98.5892       0.406631                 NaN            NaN            NaN            NaN  0.137388       0.845636       0.211928E-001            NaN
  1257.95        2500.00                 NaN   97.6222       0.842259                 NaN            NaN            NaN            NaN  0.330290        1.14142       0.638556E-001            NaN
  1256.80        2500.00                 NaN   99.6979       0.162049                 NaN            NaN            NaN            NaN  0.317388E-001  0.802417E-001  0.280630E-001            NaN
  1255.64        2500.00                 NaN   93.8154        1.37255       0.946286                 NaN            NaN            NaN  0.856973        2.88740       0.121405                 NaN
  1254.48        2500.00                 NaN   97.6458       0.862242                 NaN            NaN            NaN            NaN  0.331370        1.11454       0.460036E-001            NaN
  1253.33        2500.00                 NaN   97.1472       0.341740       0.702076                 NaN            NaN            NaN  0.401439        1.35592       0.516264E-001            NaN
  1252.17        2500.00                 NaN   95.9879        1.32246                 NaN            NaN            NaN            NaN  0.541935        2.06171       0.859655E-001            NaN
  1251.01        2500.00                 NaN   99.2936       0.384539                 NaN            NaN            NaN            NaN  0.766784E-001  0.219046       0.261785E-001            NaN
  1249.86        2500.00                 NaN   97.0116        1.05235                 NaN            NaN            NaN            NaN  0.446501        1.36008       0.129444                 NaN
  1248.70        2500.00                 NaN   98.9407       0.345981                 NaN            NaN            NaN            NaN  0.879815E-001  0.620883       0.450272E-002            NaN
  1247.54        2500.00                 NaN   98.1723       0.749663                 NaN            NaN            NaN            NaN  0.261202       0.811221       0.558518E-002            NaN
  1246.39        2500.00                 NaN   96.9656        1.07050                 NaN            NaN            NaN            NaN  0.449339        1.40757       0.107030                 NaN
  1245.23        2500.00                 NaN   95.0168       0.534208E-001   1.57082                 NaN            NaN            NaN  0.693225        2.57352       0.922209E-001            NaN
  1244.07        2500.00                 NaN   99.8918       0.576197E-002            NaN            NaN            NaN            NaN  0.586815E-001            NaN  0.437121E-001            NaN
  1242.92        2500.00                 NaN   97.1499       0.800414       0.301888                 NaN            NaN            NaN  0.339826        1.40423       0.371813E-002            NaN
  1241.76        2500.00                 NaN   99.6558       0.227123                 NaN            NaN            NaN            NaN  0.534676E-001            NaN  0.158875E-001  0.477146E-001
  1240.60        2500.00                 NaN   99.0180       0.258494                 NaN            NaN            NaN            NaN  0.894072E-001  0.632309       0.177885E-002            NaN
  1239.45        2500.00                 NaN   99.1780       0.362834                 NaN            NaN            NaN            NaN  0.103687       0.353010       0.248812E-002            NaN
  1238.29        2500.00                 NaN   91.0482       0.877387       0.929098                 NaN            NaN            NaN  0.858848        3.54848       0.103236        2.63473     
  1237.13        2500.00                 NaN   90.0894       0.163799        1.81608                 NaN            NaN            NaN  0.972686        3.91054       0.101134        2.94633     
  1235.98        2500.00                 NaN   90.9090        1.79371                 NaN            NaN            NaN            NaN  0.881546        3.61596       0.948744E-001   2.70488     
  1234.82        2500.00                 NaN   90.5064        1.80856                 NaN            NaN            NaN            NaN  0.905191        3.82037       0.102043        2.85741     
  1233.66        2500.00                 NaN   90.0166        1.23199       0.624818                 NaN            NaN            NaN  0.942350        4.05825       0.107133        3.01891     
  1232.51        2500.00                 NaN   89.2605        1.89783                 NaN            NaN            NaN            NaN  0.968695        4.44322       0.125896        3.30383     
