|6.6.6
Archiving\03_Data\Deqfrac/QFM_m2/YM20/YM20_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            Sp(TH)         q             
  1615.38        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1613.84        2500.00        99.3109       0.675417       0.136945E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.30        2500.00        99.1655       0.739748       0.947060E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.75        2500.00        99.1739       0.732289       0.937870E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.21        2500.00        99.1625       0.743329       0.941594E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.67        2500.00        99.2101       0.700299       0.895926E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.13        2500.00        99.9791                 NaN  0.208849E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.58        2500.00        98.1676        1.64499       0.187384                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1603.04        2500.00        99.4486       0.491067       0.603353E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        99.4534       0.485924       0.606331E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.96        2500.00        99.0262       0.866045       0.107773                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.41        2500.00        98.5852        1.25787       0.156880                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.87        2500.00        99.8810       0.106540       0.124853E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.33        2500.00        99.2800       0.641683       0.783537E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.79        2500.00        99.8954       0.549747E-001  0.495922E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.25        2500.00        98.6303        1.26202       0.107664                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.70        2500.00        99.2712       0.650600       0.782320E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.16        2500.00        99.2798       0.643199       0.769781E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.62        2500.00        99.2878       0.634869       0.773084E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.08        2500.00        99.2935       0.631878       0.746205E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.53        2500.00        99.2790       0.645374       0.756135E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.99        2500.00        99.5387       0.414050       0.472146E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        99.0956       0.810958       0.934713E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.91        2500.00        99.3174       0.612440       0.701455E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.36        2500.00        99.3229       0.607520       0.695520E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.82        2500.00        99.3300       0.600537       0.694452E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.28        2500.00        99.3369       0.596103       0.669890E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.74        2500.00        99.3409       0.598153       0.609859E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.20        2500.00        99.3467       0.582247       0.710102E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.65        2500.00        99.3892       0.549516       0.613010E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.11        2500.00        99.3105       0.628652       0.608369E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.57        2500.00        99.3664       0.572598       0.610181E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.03        2500.00        99.3693       0.568418       0.623071E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.48        2500.00        99.5204       0.434693       0.448788E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.94        2500.00        99.2286       0.698333       0.730309E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        99.3837       0.557609       0.587339E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.86        2500.00        99.3867       0.556618       0.567201E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.31        2500.00        99.3924       0.551109       0.564734E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.77        2500.00        99.3971       0.547001       0.559019E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.23        2500.00        99.4035       0.542088       0.544318E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.69        2500.00        97.8340        2.00173       0.164302                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.15        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.60        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.06        2500.00        99.7943       0.199075       0.664944E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.52        2500.00        99.3864       0.560502       0.530588E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.98        2500.00        99.7135       0.259138       0.274064E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.43        2500.00        99.1894       0.740493       0.700869E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.89        2500.00        99.4366       0.515309       0.481082E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        99.4115       0.538446       0.500509E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.81        2500.00        99.4738       0.483948       0.422050E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.26        2500.00        99.4308       0.531521       0.376299E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.72        2500.00        99.4698       0.479724       0.504888E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.18        2500.00        99.3084       0.638650       0.529183E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.64        2500.00        99.6055       0.363525       0.309882E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.10        2500.00        99.4624       0.496670       0.408947E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.55        2500.00        99.4651       0.495851       0.390481E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.01        2500.00        99.4566       0.502669       0.407557E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.47        2500.00        99.6943       0.284115       0.216316E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.93        2500.00        99.2639       0.683745       0.523686E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.38        2500.00        99.4819       0.481985       0.361341E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.84        2500.00        99.3025       0.654629       0.428831E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        2500.00        99.6601       0.317086       0.228157E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.76        2500.00        99.4862       0.480813       0.330090E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.21        2500.00        99.4905       0.476714       0.327901E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.67        2500.00        99.4953       0.472153       0.325095E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.13        2500.00        99.4906       0.479907       0.294791E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.59        2500.00        99.5025       0.467316       0.302321E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.05        2500.00        99.3479       0.975707E-002            NaN  0.642309                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.50        2500.00        99.1391                 NaN  0.374363E-004  0.860856                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.96        2500.00        99.6734                 NaN            NaN  0.326582                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.42        2500.00        99.0644                 NaN            NaN  0.935597                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.88        2500.00        99.2791                 NaN            NaN  0.720913                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.33        2500.00        98.9857                 NaN  0.457493E-005  0.524810       0.489501                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.79        2500.00        98.8581                 NaN  0.896641E-002  0.724729       0.408181                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.25        2500.00        98.8557                 NaN            NaN  0.423311       0.720948                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.71        2500.00        98.8783                 NaN  0.111726E-005  0.708475       0.413174                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.16        2500.00        98.8862                 NaN  0.196482E-002  0.406937       0.704920                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.62        2500.00        98.8952                 NaN  0.100834E-005  0.699191       0.405636                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.08        2500.00        98.9066                 NaN  0.148605E-002  0.692902       0.399018                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.54        2500.00        98.9159                 NaN  0.301073E-001  0.351331       0.702640                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.00        2500.00        98.9410                 NaN  0.311033E-001  0.342053       0.685876                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.45        2500.00        98.9426                 NaN  0.288787E-001  0.343753       0.684809                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.91        2500.00        98.9508                 NaN  0.277831E-001  0.679622       0.341840                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.37        2500.00        98.9617                 NaN  0.263111E-001  0.340153       0.671833                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.83        2500.00        98.9693                 NaN  0.251735E-001  0.338734       0.666761                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.28        2500.00        98.9805                 NaN  0.241102E-001  0.336042       0.659340                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.74        2500.00        98.9880                 NaN  0.230119E-001  0.333661       0.655370                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.20        2500.00        98.9963                 NaN  0.220628E-001  0.649644       0.331999                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.66        2500.00        99.0048                 NaN  0.207083E-001  0.643771       0.330722                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.11        2500.00        99.0127                 NaN  0.198315E-001  0.328025       0.639430                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
