|6.6.6
Archiving\03_Data\frac/QFM_m5/EETA/EETA_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       melt(TH)       pxmn           iron           Ni             Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  2000.00        2500.00        97.8498                 NaN  0.788832        1.35002       0.113382E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1997.49        2500.00        97.8416                 NaN  0.788939        1.35815       0.113389E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1994.99        2500.00        97.8334                 NaN  0.789044        1.36618       0.113396E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1992.48        2500.00        97.8253                 NaN  0.789150        1.37422       0.113403E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1989.97        2500.00        97.8172                 NaN  0.789256        1.38223       0.113410E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.47        2500.00        97.8091                 NaN  0.789361        1.39020       0.113416E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1984.96        2500.00        97.8011                 NaN  0.789466        1.39813       0.113423E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1982.46        2500.00        97.7930                 NaN  0.789570        1.40605       0.113430E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1979.95        2500.00        97.7850                 NaN  0.789675        1.41394       0.113437E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.44        2500.00        97.7771                 NaN  0.789779        1.42177       0.113444E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.94        2500.00        97.7692                 NaN  0.789883        1.42960       0.113451E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1972.43        2500.00        97.7613                 NaN  0.789986        1.43739       0.113457E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1969.92        2500.00        97.7533                 NaN  0.790091        1.44524       0.113464E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.42        2500.00        97.7456                 NaN  0.790193        1.45286       0.113471E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.91        2500.00        97.7378                 NaN  0.790296        1.46055       0.113478E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1962.41        2500.00        97.7300                 NaN  0.790399        1.46822       0.113484E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1959.90        2500.00        97.7223                 NaN  0.790501        1.47585       0.113491E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
