|6.6.6
Archiving\03_Data\frac/QFM_m5/EETA/EETA_1.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       melt(TH)       pxmn           iron           Ni             Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  2000.00        2500.00        95.5673                 NaN  0.978235        3.42245       0.320141E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1997.49        2500.00        95.5467                 NaN  0.978292        3.44296       0.320160E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1994.99        2500.00        95.5264                 NaN  0.978348        3.46321       0.320178E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1992.48        2500.00        95.5061                 NaN  0.978404        3.48347       0.320197E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1989.97        2500.00        95.4858                 NaN  0.978461        3.50367       0.320215E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.47        2500.00        95.4657                 NaN  0.978516        3.52376       0.320234E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1984.96        2500.00        95.4456                 NaN  0.978572        3.54376       0.320252E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1982.46        2500.00        95.4256                 NaN  0.978628        3.56373       0.320270E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1979.95        2500.00        95.4057                 NaN  0.978683        3.58360       0.320288E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.44        2500.00        95.3859                 NaN  0.978738        3.60335       0.320306E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.94        2500.00        95.3661                 NaN  0.978793        3.62307       0.320324E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1972.43        2500.00        95.3464                 NaN  0.978847        3.64270       0.320342E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1969.92        2500.00        95.3266                 NaN  0.978902        3.66248       0.320360E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.42        2500.00        95.3073                 NaN  0.978956        3.68170       0.320377E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.91        2500.00        95.2879                 NaN  0.979009        3.70107       0.320395E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1962.41        2500.00        95.2685                 NaN  0.979063        3.72038       0.320412E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1959.90        2500.00        95.2492                 NaN  0.979117        3.73960       0.320430E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1957.39        2500.00        95.2300                 NaN  0.979170        3.75875       0.320447E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        2500.00        95.2108                 NaN  0.979223        3.77789       0.320465E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        2500.00        95.1918                 NaN  0.979276        3.79688       0.320482E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        2500.00        95.1728                 NaN  0.979329        3.81585       0.320499E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        2500.00        95.1540                 NaN  0.979381        3.83460       0.320516E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        2500.00        95.1352                 NaN  0.979433        3.85333       0.320533E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        2500.00        95.1164                 NaN  0.979485        3.87203       0.320550E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        2500.00        95.0978                 NaN  0.979536        3.89062       0.320567E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        2500.00        95.0792                 NaN  0.979588        3.90915       0.320584E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        2500.00        95.0607                 NaN  0.979639        3.92764       0.320601E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        2500.00        95.0423                 NaN  0.979690        3.94595       0.320618E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        2500.00        95.0239                 NaN  0.979741        3.96429       0.320634E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        2500.00        95.0057                 NaN  0.979792        3.98246       0.320651E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        2500.00        94.9875                 NaN  0.979842        4.00060       0.320667E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        2500.00        94.9694                 NaN  0.979892        4.01867       0.320684E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        2500.00        94.9513                 NaN  0.979943        4.03672       0.320700E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        2500.00        94.9183                 NaN  0.980034        4.06961       0.320730E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        2500.00        94.9155                 NaN  0.980042        4.07238       0.320733E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        2500.00        94.8976                 NaN  0.980091        4.09020       0.320749E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        2500.00        94.8800                 NaN  0.980140        4.10781       0.320765E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        2500.00        94.8623                 NaN  0.980189        4.12541       0.320781E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        2500.00        94.8447                 NaN  0.980238        4.14294       0.320797E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        2500.00        94.8272                 NaN  0.980286        4.16038       0.320813E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        2500.00        94.8098                 NaN  0.980334        4.17776       0.320829E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        2500.00        94.7925                 NaN  0.980383        4.19505       0.320844E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        2500.00        94.7751                 NaN  0.980431        4.21234       0.320860E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        2500.00        94.7580                 NaN  0.980478        4.22943       0.320875E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        2500.00        94.7409                 NaN  0.980525        4.24650       0.320891E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        2500.00        94.7239                 NaN  0.980573        4.26347       0.320906E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        2500.00        94.7069                 NaN  0.980620        4.28044       0.320922E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        2500.00        94.6900                 NaN  0.980666        4.29726       0.320937E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        2500.00        94.6732                 NaN  0.980713        4.31401       0.320952E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        2500.00        94.6565                 NaN  0.980759        4.33069       0.320968E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        2500.00        94.6398                 NaN  0.980806        4.34734       0.320983E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        2500.00        94.6232                 NaN  0.980851        4.36383       0.320998E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        2500.00        94.6044                 NaN  0.980903        4.38257       0.321015E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        2500.00        94.5902                 NaN  0.980943        4.39673       0.321028E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        2500.00        94.5739                 NaN  0.980988        4.41304       0.321042E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        94.5697                 NaN  0.981000        4.41724       0.321046E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        94.5414                 NaN  0.981078        4.44545       0.321072E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        94.5253                 NaN  0.981123        4.46149       0.321086E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        94.5092                 NaN  0.981167        4.47751       0.321101E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        94.4932                 NaN  0.981211        4.49344       0.321115E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        94.4773                 NaN  0.981255        4.50931       0.321130E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        94.4615                 NaN  0.981299        4.52509       0.321144E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00        94.4457                 NaN  0.981343        4.54081       0.321159E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        94.4300                 NaN  0.981386        4.55645       0.321173E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        94.3823                 NaN  0.981518        4.60402       0.321216E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        94.3989                 NaN  0.981473        4.58751       0.321201E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        94.3834                 NaN  0.981515        4.60295       0.321215E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        94.3620                 NaN  0.981575        4.62431       0.321234E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        94.3526                 NaN  0.981601        4.63368       0.321243E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        94.3375                 NaN  0.981642        4.64874       0.321257E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        94.3314                 NaN  0.981659        4.65484       0.321262E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        94.3087                 NaN  0.981722        4.67749       0.321283E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        94.2922                 NaN  0.981768        4.69388       0.321298E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        94.2773                 NaN  0.981809        4.70877       0.321311E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        94.2955                 NaN  0.981759        4.69056       0.321295E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        94.2476                 NaN  0.981891        4.73841       0.321338E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        94.2329                 NaN  0.981932        4.75303       0.321351E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        94.2183                 NaN  0.981972        4.76763       0.321365E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        94.2037                 NaN  0.982013        4.78217       0.321378E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        94.1892                 NaN  0.982053        4.79662       0.321391E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        94.1747                 NaN  0.982093        4.81102       0.321404E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        94.1604                 NaN  0.982133        4.82536       0.321417E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        94.1461                 NaN  0.982172        4.83956       0.321430E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        94.1319                 NaN  0.982211        4.85371       0.321443E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        94.2313                 NaN  0.981936        4.75460       0.321353E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        94.1038                 NaN  0.982289        4.88181       0.321468E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        94.0898                 NaN  0.982328        4.89575       0.321481E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        94.0759                 NaN  0.982366        4.90962       0.321493E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        94.0620                 NaN  0.982405        4.92343       0.321506E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
