|6.6.6
Archiving\03_Data\eqfrac/QFM_m3/KHA22/KHA22_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       Sp(TH)         Opx(TH)        O(HP)          O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1589.74        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.26        2500.00        99.6226       0.127427E-001  0.238150       0.126544                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.78        2500.00        99.3484                 NaN  0.456584       0.194983                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.31        2500.00        99.4156                 NaN  0.584442                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.83        2500.00        99.4097                 NaN  0.590331                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.35        2500.00        99.4150                 NaN  0.550908       0.340827E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.87        2500.00        99.4163                 NaN  0.531012       0.526981E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.39        2500.00        99.4255                 NaN  0.522118       0.523432E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.92        2500.00        99.4294                 NaN  0.518644       0.519546E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        99.4343                 NaN  0.514879       0.508037E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.96        2500.00        99.4390                 NaN  0.511113       0.498509E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.48        2500.00        99.4436                 NaN  0.490495       0.658560E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.00        2500.00        99.4461                 NaN  0.523809       0.300661E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.53        2500.00        99.6466                 NaN  0.322336       0.310530E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.05        2500.00        99.2667                 NaN  0.670091       0.632043E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.57        2500.00        99.1217                 NaN  0.802671       0.755932E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.09        2500.00        99.8024                 NaN  0.160492       0.370901E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.61        2500.00        99.4793                 NaN  0.497363       0.233461E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.14        2500.00        99.4546                 NaN  0.509852       0.355518E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.66        2500.00        99.5064                 NaN  0.438202       0.554393E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.18        2500.00        99.4867                 NaN  0.470034       0.432764E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.70        2500.00        99.4902                 NaN  0.467227       0.425656E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.22        2500.00        99.4932                 NaN  0.465400       0.414335E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.74        2500.00        99.2461                 NaN  0.687526       0.663991E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.27        2500.00        99.7055                 NaN  0.272018       0.224841E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        2500.00        99.5610                 NaN  0.404381       0.346333E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.31        2500.00        99.3832                 NaN  0.566563       0.502118E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.83        2500.00        99.6426                 NaN  0.329537       0.278808E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.35        2500.00        99.5181                 NaN  0.444448       0.374514E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.88        2500.00        99.5219                 NaN  0.440700       0.374135E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.40        2500.00        99.5236                 NaN  0.441057       0.353057E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.92        2500.00        99.5300                 NaN  0.435251       0.347753E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.44        2500.00        99.5306                 NaN  0.435267       0.341287E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.96        2500.00        99.5352                 NaN  0.432182       0.326513E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.49        2500.00        99.5369                 NaN  0.430496       0.326082E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.01        2500.00        99.5425                 NaN  0.425862       0.316848E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.53        2500.00        99.5475                 NaN  0.420657       0.318106E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.05        2500.00        99.6222                 NaN  0.351291       0.264738E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.57        2500.00        99.4774                 NaN  0.486576       0.359930E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.10        2500.00        99.5582                 NaN  0.412121       0.296557E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.62        2500.00        99.5089                 NaN  0.460077       0.309792E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.14        2500.00        99.6094                 NaN  0.365122       0.254625E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.66        2500.00        99.5646                 NaN  0.408335       0.270521E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.18        2500.00        99.5690                 NaN  0.403127       0.278734E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.71        2500.00        99.5719                 NaN  0.400811       0.273340E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.23        2500.00        99.5742                 NaN  0.399534       0.263062E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.75        2500.00        99.5776                 NaN  0.396489       0.259078E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
