|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.75/EETA/EETA_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        Sp(TH)         O(HP)          an             San(TH)        ilm            q             
  1461.54        2500.00        99.9862       0.113767E-001            NaN            NaN  0.243459E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1460.38        2500.00        99.4235       0.328698       0.247823                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.23        2500.00        99.3845       0.425948       0.189539                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.07        2500.00        98.8440       0.358191       0.797657                 NaN            NaN  0.106130E-003            NaN            NaN            NaN            NaN            NaN
  1456.91        2500.00        99.9319       0.466832E-001  0.213490E-001            NaN            NaN  0.645914E-004            NaN            NaN            NaN            NaN            NaN
  1455.76        2500.00        99.4018       0.412462       0.185166                 NaN            NaN  0.540747E-003            NaN            NaN            NaN            NaN            NaN
  1454.60        2500.00        99.3990       0.413160       0.187309                 NaN            NaN  0.522175E-003            NaN            NaN            NaN            NaN            NaN
  1453.44        2500.00        99.4019       0.185803       0.411777                 NaN            NaN  0.502719E-003            NaN            NaN            NaN            NaN            NaN
  1452.29        2500.00        99.4052       0.184967       0.409394                 NaN            NaN  0.481071E-003  0.315803E-005            NaN            NaN            NaN            NaN
  1451.13        2500.00        99.5338       0.320925       0.144932                 NaN            NaN  0.356213E-003            NaN            NaN            NaN            NaN            NaN
  1449.97        2500.00        99.2861       0.222647       0.490762                 NaN            NaN  0.540993E-003            NaN            NaN            NaN            NaN            NaN
  1448.82        2500.00        99.4144       0.403152       0.182058                 NaN            NaN  0.418261E-003            NaN            NaN            NaN            NaN            NaN
  1447.66        2500.00        99.3698       0.433529       0.196185                 NaN            NaN  0.447388E-003            NaN            NaN            NaN            NaN            NaN
  1446.50        2500.00        99.4666       0.366824       0.166269                 NaN            NaN  0.351988E-003            NaN            NaN            NaN            NaN            NaN
  1445.35        2500.00        99.4232       0.179585       0.396898                 NaN            NaN  0.364049E-003            NaN            NaN            NaN            NaN            NaN
  1444.19        2500.00        99.4267       0.178227       0.394742                 NaN            NaN  0.348839E-003            NaN            NaN            NaN            NaN            NaN
  1443.03        2500.00        99.3713       0.439559       0.179162                 NaN            NaN  0.309069E-003  0.967008E-002            NaN            NaN            NaN            NaN
  1441.88        2500.00        99.4925       0.348994       0.158198                 NaN            NaN  0.272536E-003            NaN            NaN            NaN            NaN            NaN
  1440.72        2500.00        99.4349       0.175380       0.389374                 NaN            NaN  0.296645E-003            NaN            NaN            NaN            NaN            NaN
  1439.56        2500.00        99.4372       0.174391       0.388168                 NaN            NaN  0.286745E-003            NaN            NaN            NaN            NaN            NaN
  1438.41        2500.00        99.4236       0.397438       0.178674                 NaN            NaN  0.271206E-003            NaN            NaN            NaN            NaN            NaN
  1437.25        2500.00        99.4586       0.167759       0.373388                 NaN            NaN  0.241153E-003            NaN            NaN            NaN            NaN            NaN
  1436.09        2500.00        99.4459       0.171782       0.382132                 NaN            NaN  0.233911E-003            NaN            NaN            NaN            NaN            NaN
  1434.93        2500.00        99.4472       0.381275       0.171273                 NaN            NaN  0.225182E-003            NaN            NaN            NaN            NaN            NaN
  1433.78        2500.00        99.4042       0.410935       0.184620                 NaN            NaN  0.222248E-003  0.151933E-005            NaN            NaN            NaN            NaN
  1432.62        2500.00        99.4989       0.154900       0.345985                 NaN            NaN  0.165574E-003            NaN            NaN            NaN            NaN            NaN
  1431.46        2500.00        99.4547       0.168225       0.376942                 NaN            NaN  0.179077E-003            NaN            NaN            NaN            NaN            NaN
  1430.31        2500.00        99.4575       0.167540       0.374831                 NaN            NaN  0.164497E-003  0.825004E-005            NaN            NaN            NaN            NaN
  1429.15        2500.00        98.8816       0.443207       0.414844                 NaN            NaN            NaN            NaN  0.260308                 NaN            NaN            NaN
  1427.99        2500.00        98.7680       0.288523       0.387701                 NaN            NaN            NaN  0.125571       0.430182                 NaN            NaN            NaN
  1426.84        2500.00        98.5548       0.474435       0.266831                 NaN            NaN            NaN  0.190279       0.513684                 NaN            NaN            NaN
  1425.68        2500.00        98.5726       0.260265       0.469862                 NaN            NaN            NaN  0.189603       0.507717                 NaN            NaN            NaN
  1424.52        2500.00        98.5911       0.252488       0.465960                 NaN            NaN            NaN  0.189000       0.501437                 NaN            NaN            NaN
  1423.37        2500.00        98.6058       0.227691       0.467585                 NaN            NaN            NaN  0.199847       0.499069                 NaN            NaN            NaN
  1422.21        2500.00        98.6316       0.452086       0.254631                 NaN            NaN            NaN  0.176404       0.485270                 NaN            NaN            NaN
  1421.05        2500.00        98.6406       0.229390       0.456066                 NaN            NaN            NaN  0.188711       0.485231                 NaN            NaN            NaN
  1419.90        2500.00        98.6694       0.446190       0.224825                 NaN            NaN            NaN  0.184989       0.474596                 NaN            NaN            NaN
  1418.74        2500.00        98.6813       0.446426       0.215126                 NaN            NaN            NaN  0.186079       0.471059                 NaN            NaN            NaN
  1417.58        2500.00        98.6992       0.209087       0.440869                 NaN            NaN            NaN  0.185729       0.465103                 NaN            NaN            NaN
  1416.43        2500.00        98.7173       0.202700       0.437208                 NaN            NaN            NaN  0.184211       0.458623                 NaN            NaN            NaN
  1415.27        2500.00        98.7306       0.195214       0.435640                 NaN            NaN            NaN  0.184277       0.454308                 NaN            NaN            NaN
  1414.11        2500.00        98.7483       0.431117       0.188827                 NaN            NaN            NaN  0.183517       0.448205                 NaN            NaN            NaN
  1412.96        2500.00        98.7629       0.428731       0.181489                 NaN            NaN            NaN  0.183404       0.443514                 NaN            NaN            NaN
  1411.80        2500.00        98.7777       0.177847       0.424048                 NaN            NaN            NaN  0.182363       0.438056                 NaN            NaN            NaN
  1410.64        2500.00        98.7958       0.420404       0.170310                 NaN            NaN            NaN  0.181572       0.431923                 NaN            NaN            NaN
  1409.49        2500.00        98.8080       0.164515       0.418030                 NaN            NaN            NaN  0.181495       0.427996                 NaN            NaN            NaN
  1408.33        2500.00        98.8238       0.158622       0.414796                 NaN            NaN            NaN  0.180439       0.422392                 NaN            NaN            NaN
  1407.17        2500.00        98.8357       0.412502       0.153030                 NaN            NaN            NaN  0.180479       0.418248                 NaN            NaN            NaN
  1406.02        2500.00        98.8520       0.408228       0.147918                 NaN            NaN            NaN  0.179230       0.412583                 NaN            NaN            NaN
  1404.86        2500.00        98.8644       0.142263       0.405915                 NaN            NaN            NaN  0.179009       0.408402                 NaN            NaN            NaN
  1403.70        2500.00        98.8779       0.402361       0.137334                 NaN            NaN            NaN  0.178609       0.403821                 NaN            NaN            NaN
  1402.55        2500.00        98.8910       0.400300       0.131767                 NaN            NaN            NaN  0.177748       0.399165                 NaN            NaN            NaN
  1401.39        2500.00        98.9044       0.397442       0.126628                 NaN            NaN            NaN  0.176981       0.394534                 NaN            NaN            NaN
  1400.23        2500.00        98.9168       0.395142       0.121282                 NaN            NaN            NaN  0.176499       0.390239                 NaN            NaN            NaN
  1399.08        2500.00        98.9296       0.391658       0.116826                 NaN            NaN            NaN  0.176032       0.385904                 NaN            NaN            NaN
  1397.92        2500.00        98.9398       0.391024       0.110953                 NaN            NaN            NaN  0.175827       0.382421                 NaN            NaN            NaN
  1396.76        2500.00        98.9547       0.107629       0.386763                 NaN            NaN            NaN  0.174019       0.376875                 NaN            NaN            NaN
  1395.61        2500.00        98.9652       0.384334       0.102416                 NaN            NaN            NaN  0.174302       0.373762                 NaN            NaN            NaN
  1394.45        2500.00        98.9777       0.382564       0.979185E-001            NaN            NaN            NaN  0.172894       0.368906                 NaN            NaN            NaN
  1393.29        2500.00        98.9879       0.933708E-001  0.380642                 NaN            NaN            NaN  0.172596       0.365462                 NaN            NaN            NaN
  1392.14        2500.00        98.9989       0.378605       0.890011E-001            NaN            NaN            NaN  0.171964       0.361575                 NaN            NaN            NaN
  1390.98        2500.00        99.1124       0.336528       0.752545E-001            NaN            NaN            NaN  0.154612       0.321180                 NaN            NaN            NaN
  1389.82        2500.00        98.9161       0.413098       0.924579E-001            NaN            NaN            NaN  0.187308       0.391040                 NaN            NaN            NaN
  1388.67        2500.00        99.0317       0.371629       0.771980E-001            NaN            NaN            NaN  0.169569       0.349891                 NaN            NaN            NaN
  1387.51        2500.00        99.0415       0.370030       0.730389E-001            NaN            NaN            NaN  0.169075       0.346401                 NaN            NaN            NaN
  1386.35        2500.00        99.0514       0.368650       0.683095E-001            NaN            NaN            NaN  0.168607       0.342992                 NaN            NaN            NaN
  1385.20        2500.00        99.0624       0.366238       0.650232E-001            NaN            NaN            NaN  0.167428       0.338939                 NaN            NaN            NaN
  1384.04        2500.00        99.0698       0.366939       0.584336E-001            NaN            NaN            NaN  0.168023       0.336765                 NaN            NaN            NaN
  1382.88        2500.00        99.0822       0.361676       0.599706E-001            NaN            NaN            NaN  0.164839       0.331316                 NaN            NaN            NaN
  1381.72        2500.00        99.0910       0.360329       0.553374E-001            NaN            NaN            NaN  0.164732       0.328612                 NaN            NaN            NaN
  1380.57        2500.00        99.1003       0.358757       0.513421E-001            NaN            NaN            NaN  0.164283       0.325307                 NaN            NaN            NaN
  1379.41        2500.00        99.1094       0.357263       0.480281E-001            NaN            NaN            NaN  0.163326       0.321957                 NaN            NaN            NaN
  1378.25        2500.00        99.1187       0.452492E-001  0.354968                 NaN            NaN            NaN  0.162475       0.318595                 NaN            NaN            NaN
  1377.10        2500.00        99.2274       0.313876       0.339647E-001            NaN            NaN            NaN  0.144730       0.280058                 NaN            NaN            NaN
  1375.94        2500.00        99.0368       0.491305E-001  0.389002                 NaN            NaN            NaN  0.177471       0.347584                 NaN            NaN            NaN
  1374.78        2500.00        99.1457       0.352890E-001  0.350376                 NaN            NaN            NaN  0.159962       0.308686                 NaN            NaN            NaN
  1373.63        2500.00        99.1540       0.347365       0.335410E-001            NaN            NaN            NaN  0.159089       0.306045                 NaN            NaN            NaN
  1372.47        2500.00        99.1629       0.346261       0.309310E-001            NaN            NaN            NaN  0.157588       0.302325                 NaN            NaN            NaN
  1371.31        2500.00        99.1703       0.278414E-001  0.345248                 NaN            NaN            NaN  0.156914       0.299739                 NaN            NaN            NaN
  1370.16        2500.00        99.1787       0.343455       0.257908E-001            NaN            NaN            NaN  0.155538       0.296522                 NaN            NaN            NaN
  1369.00        2500.00        99.1845       0.237181E-001  0.342045                 NaN            NaN            NaN  0.154936       0.294824                 NaN            NaN            NaN
  1367.84        2500.00        99.1962       0.207578E-001  0.340280                 NaN            NaN            NaN  0.153111       0.289694                 NaN            NaN            NaN
  1366.69        2500.00        99.2015       0.339546       0.187112E-001            NaN            NaN            NaN  0.152348       0.287937                 NaN            NaN            NaN
  1365.53        2500.00        99.2097       0.167040E-001  0.337428                 NaN            NaN            NaN  0.151318       0.284887                 NaN            NaN            NaN
  1364.37        2500.00        99.2169       0.131075E-001  0.337354                 NaN            NaN            NaN  0.150489       0.282198                 NaN            NaN            NaN
  1363.22        2500.00        99.1524       0.157341       0.113270                 NaN            NaN            NaN  0.216512       0.360464                 NaN            NaN            NaN
  1362.06        2500.00        99.2886       0.980008E-002  0.455484                 NaN            NaN            NaN  0.515589E-001  0.194598                 NaN            NaN            NaN
  1360.90        2500.00        99.2408       0.336094                 NaN            NaN            NaN            NaN  0.149462       0.273643                 NaN            NaN            NaN
  1359.75        2500.00        99.0916       0.133701       0.318865                 NaN            NaN            NaN  0.135952       0.319842                 NaN            NaN            NaN
  1358.59        2500.00        99.3928       0.270082                 NaN            NaN            NaN            NaN  0.119290       0.217865                 NaN            NaN            NaN
  1357.43        2500.00        99.2606       0.328798                 NaN            NaN            NaN            NaN  0.144834       0.265805                 NaN            NaN            NaN
  1356.28        2500.00        99.2674       0.325523                 NaN            NaN            NaN            NaN  0.143818       0.263245                 NaN            NaN            NaN
  1355.12        2500.00        99.2757       0.318086                 NaN            NaN            NaN            NaN  0.145159       0.261097                 NaN            NaN            NaN
  1353.96        2500.00        99.2815       0.321959                 NaN            NaN            NaN            NaN  0.139338       0.257220                 NaN            NaN            NaN
  1352.81        2500.00        99.2866       0.319766                 NaN            NaN            NaN            NaN  0.138272       0.255342                 NaN            NaN            NaN
