|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.75/EETA/EETA_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        Sp(TH)         O(HP)          an             San(TH)        ilm            q             
  1461.54        2500.00        99.9839       0.132694E-001            NaN            NaN  0.285739E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1460.38        2500.00        99.3320       0.379134       0.288913                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.23        2500.00        99.2875       0.491457       0.221069                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.07        2500.00        98.6623       0.417604       0.919890                 NaN            NaN  0.162506E-003            NaN            NaN            NaN            NaN            NaN
  1456.91        2500.00        99.9210       0.539542E-001  0.249464E-001            NaN            NaN  0.990650E-004            NaN            NaN            NaN            NaN            NaN
  1455.76        2500.00        99.3064       0.476520       0.216290                 NaN            NaN  0.828094E-003            NaN            NaN            NaN            NaN            NaN
  1454.60        2500.00        99.3029       0.477440       0.218887                 NaN            NaN  0.799266E-003            NaN            NaN            NaN            NaN            NaN
  1453.44        2500.00        99.3059       0.217241       0.476050                 NaN            NaN  0.769236E-003            NaN            NaN            NaN            NaN            NaN
  1452.29        2500.00        99.3094       0.216370       0.473475                 NaN            NaN  0.735749E-003  0.393918E-005            NaN            NaN            NaN            NaN
  1451.13        2500.00        99.4585       0.371346       0.169582                 NaN            NaN  0.544681E-003            NaN            NaN            NaN            NaN            NaN
  1449.97        2500.00        99.1706       0.260645       0.567895                 NaN            NaN  0.826461E-003            NaN            NaN            NaN            NaN            NaN
  1448.82        2500.00        99.3193       0.466815       0.213290                 NaN            NaN  0.638720E-003            NaN            NaN            NaN            NaN            NaN
  1447.66        2500.00        99.2672       0.502180       0.229975                 NaN            NaN  0.683121E-003            NaN            NaN            NaN            NaN            NaN
  1446.50        2500.00        99.3793       0.425127       0.195009                 NaN            NaN  0.537179E-003            NaN            NaN            NaN            NaN            NaN
  1445.35        2500.00        99.3286       0.210709       0.460110                 NaN            NaN  0.555004E-003            NaN            NaN            NaN            NaN            NaN
  1444.19        2500.00        99.3324       0.209231       0.457828                 NaN            NaN  0.531749E-003            NaN            NaN            NaN            NaN            NaN
  1443.03        2500.00        99.2668       0.510069       0.210483                 NaN            NaN  0.471445E-003  0.121262E-001            NaN            NaN            NaN            NaN
  1441.88        2500.00        99.4085       0.405131       0.185920                 NaN            NaN  0.415077E-003            NaN            NaN            NaN            NaN            NaN
  1440.72        2500.00        99.3412       0.206195       0.452145                 NaN            NaN  0.451483E-003            NaN            NaN            NaN            NaN            NaN
  1439.56        2500.00        99.3434       0.205171       0.450999                 NaN            NaN  0.436319E-003            NaN            NaN            NaN            NaN            NaN
  1438.41        2500.00        99.3274       0.461921       0.210298                 NaN            NaN  0.412359E-003            NaN            NaN            NaN            NaN            NaN
  1437.25        2500.00        99.3679       0.197571       0.434176                 NaN            NaN  0.366573E-003            NaN            NaN            NaN            NaN            NaN
  1436.09        2500.00        99.3527       0.202414       0.444533                 NaN            NaN  0.355347E-003            NaN            NaN            NaN            NaN            NaN
  1434.93        2500.00        99.3541       0.443694       0.201907                 NaN            NaN  0.341831E-003            NaN            NaN            NaN            NaN            NaN
  1433.78        2500.00        99.3035       0.478391       0.217744                 NaN            NaN  0.337164E-003  0.191782E-005            NaN            NaN            NaN            NaN
  1432.62        2500.00        99.4139       0.182822       0.403035                 NaN            NaN  0.251147E-003            NaN            NaN            NaN            NaN            NaN
  1431.46        2500.00        99.3618       0.198619       0.439265                 NaN            NaN  0.271412E-003            NaN            NaN            NaN            NaN            NaN
  1430.31        2500.00        99.3648       0.197934       0.436979                 NaN            NaN  0.249223E-003  0.104415E-004            NaN            NaN            NaN            NaN
  1429.15        2500.00        98.7449       0.516824       0.490207                 NaN            NaN            NaN            NaN  0.248083                 NaN            NaN            NaN
  1427.99        2500.00        98.6371       0.341237       0.452305                 NaN            NaN            NaN  0.159209       0.410117                 NaN            NaN            NaN
  1426.84        2500.00        98.3990       0.553860       0.315780                 NaN            NaN            NaN  0.241605       0.489795                 NaN            NaN            NaN
  1425.68        2500.00        98.4172       0.308319       0.549022                 NaN            NaN            NaN  0.241156       0.484307                 NaN            NaN            NaN
  1424.52        2500.00        98.4364       0.299389       0.544924                 NaN            NaN            NaN  0.240810       0.478520                 NaN            NaN            NaN
  1423.37        2500.00        98.4508       0.270263       0.547327                 NaN            NaN            NaN  0.255105       0.476471                 NaN            NaN            NaN
  1422.21        2500.00        98.4788       0.529631       0.302531                 NaN            NaN            NaN  0.225540       0.463502                 NaN            NaN            NaN
  1421.05        2500.00        98.4871       0.272801       0.534700                 NaN            NaN            NaN  0.241687       0.463669                 NaN            NaN            NaN
  1419.90        2500.00        98.5177       0.523652       0.267637                 NaN            NaN            NaN  0.237305       0.453719                 NaN            NaN            NaN
  1418.74        2500.00        98.5295       0.524478       0.256348                 NaN            NaN            NaN  0.239164       0.450546                 NaN            NaN            NaN
  1417.58        2500.00        98.5482       0.249378       0.518268                 NaN            NaN            NaN  0.239075       0.445062                 NaN            NaN            NaN
  1416.43        2500.00        98.5669       0.242017       0.514484                 NaN            NaN            NaN  0.237527       0.439074                 NaN            NaN            NaN
  1415.27        2500.00        98.5803       0.233322       0.513145                 NaN            NaN            NaN  0.238059       0.435156                 NaN            NaN            NaN
  1414.11        2500.00        98.5989       0.508247       0.225901                 NaN            NaN            NaN  0.237451       0.429525                 NaN            NaN            NaN
  1412.96        2500.00        98.6139       0.505866       0.217327                 NaN            NaN            NaN  0.237700       0.425245                 NaN            NaN            NaN
  1411.80        2500.00        98.6288       0.213229       0.500904                 NaN            NaN            NaN  0.236826       0.420226                 NaN            NaN            NaN
  1410.64        2500.00        98.6479       0.497007       0.204372                 NaN            NaN            NaN  0.236141       0.414561                 NaN            NaN            NaN
  1409.49        2500.00        98.6602       0.197626       0.494666                 NaN            NaN            NaN  0.236464       0.411008                 NaN            NaN            NaN
  1408.33        2500.00        98.6766       0.190735       0.491307                 NaN            NaN            NaN  0.235497       0.405845                 NaN            NaN            NaN
  1407.17        2500.00        98.6886       0.489117       0.184203                 NaN            NaN            NaN  0.235998       0.402080                 NaN            NaN            NaN
  1406.02        2500.00        98.7057       0.484467       0.178238                 NaN            NaN            NaN  0.234721       0.396854                 NaN            NaN            NaN
  1404.86        2500.00        98.7183       0.171610       0.482211                 NaN            NaN            NaN  0.234842       0.393050                 NaN            NaN            NaN
  1403.70        2500.00        98.7321       0.478438       0.165833                 NaN            NaN            NaN  0.234732       0.388861                 NaN            NaN            NaN
  1402.55        2500.00        98.7456       0.476480       0.159282                 NaN            NaN            NaN  0.234023       0.384598                 NaN            NaN            NaN
  1401.39        2500.00        98.7595       0.473522       0.153223                 NaN            NaN            NaN  0.233399       0.380356                 NaN            NaN            NaN
  1400.23        2500.00        98.7723       0.471234       0.146904                 NaN            NaN            NaN  0.233160       0.376434                 NaN            NaN            NaN
  1399.08        2500.00        98.7854       0.467528       0.141668                 NaN            NaN            NaN  0.232918       0.372472                 NaN            NaN            NaN
  1397.92        2500.00        98.7956       0.467323       0.134693                 NaN            NaN            NaN  0.233066       0.369330                 NaN            NaN            NaN
  1396.76        2500.00        98.8113       0.130785       0.462632                 NaN            NaN            NaN  0.231078       0.364194                 NaN            NaN            NaN
  1395.61        2500.00        98.8220       0.460160       0.124586                 NaN            NaN            NaN  0.231845       0.361405                 NaN            NaN            NaN
  1394.45        2500.00        98.8349       0.458541       0.119241                 NaN            NaN            NaN  0.230361       0.356929                 NaN            NaN            NaN
  1393.29        2500.00        98.8452       0.113824       0.456742                 NaN            NaN            NaN  0.230395       0.353816                 NaN            NaN            NaN
  1392.14        2500.00        98.8564       0.454735       0.108609                 NaN            NaN            NaN  0.229951       0.350272                 NaN            NaN            NaN
  1390.98        2500.00        98.9848       0.404777       0.919684E-001            NaN            NaN            NaN  0.207142       0.311361                 NaN            NaN            NaN
  1389.82        2500.00        98.7592       0.497134       0.113054                 NaN            NaN            NaN  0.251327       0.379240                 NaN            NaN            NaN
  1388.67        2500.00        98.8902       0.447758       0.945116E-001            NaN            NaN            NaN  0.227904       0.339603                 NaN            NaN            NaN
  1387.51        2500.00        98.9001       0.446303       0.895183E-001            NaN            NaN            NaN  0.227649       0.336434                 NaN            NaN            NaN
  1386.35        2500.00        98.9104       0.445091       0.838087E-001            NaN            NaN            NaN  0.227377       0.333340                 NaN            NaN            NaN
  1385.20        2500.00        98.9217       0.442674       0.798674E-001            NaN            NaN            NaN  0.226173       0.329618                 NaN            NaN            NaN
  1384.04        2500.00        98.9291       0.443995       0.718505E-001            NaN            NaN            NaN  0.227377       0.327721                 NaN            NaN            NaN
  1382.88        2500.00        98.9420       0.438057       0.738170E-001            NaN            NaN            NaN  0.223502       0.322634                 NaN            NaN            NaN
  1381.72        2500.00        98.9509       0.436949       0.681938E-001            NaN            NaN            NaN  0.223729       0.320216                 NaN            NaN            NaN
  1380.57        2500.00        98.9605       0.435493       0.633380E-001            NaN            NaN            NaN  0.223498       0.317211                 NaN            NaN            NaN
  1379.41        2500.00        98.9698       0.434142       0.593101E-001            NaN            NaN            NaN  0.222563       0.314158                 NaN            NaN            NaN
  1378.25        2500.00        98.9794       0.559406E-001  0.431801                 NaN            NaN            NaN  0.221792       0.311092                 NaN            NaN            NaN
  1377.10        2500.00        99.1042       0.382218       0.420363E-001            NaN            NaN            NaN  0.197886       0.273673                 NaN            NaN            NaN
  1375.94        2500.00        98.8822       0.608673E-001  0.474101                 NaN            NaN            NaN  0.243031       0.339813                 NaN            NaN            NaN
  1374.78        2500.00        99.0071       0.437705E-001  0.427610                 NaN            NaN            NaN  0.219472       0.302045                 NaN            NaN            NaN
  1373.63        2500.00        99.0157       0.424402       0.416424E-001            NaN            NaN            NaN  0.218608       0.299672                 NaN            NaN            NaN
  1372.47        2500.00        99.0249       0.423482       0.384480E-001            NaN            NaN            NaN  0.216960       0.296238                 NaN            NaN            NaN
  1371.31        2500.00        99.0323       0.346445E-001  0.422765                 NaN            NaN            NaN  0.216370       0.293913                 NaN            NaN            NaN
  1370.16        2500.00        99.0410       0.421012       0.321289E-001            NaN            NaN            NaN  0.214850       0.290966                 NaN            NaN            NaN
