|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.5/Y98/Y98_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          Sp(TH)         an             ilm            San(TH)        q             
  1490.38        2500.00        97.3152                 NaN  0.493072        1.87548                 NaN            NaN  0.316246                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.15        2500.00        99.0276                 NaN  0.319866       0.652572                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.92        2500.00        99.0321                 NaN  0.650055       0.317847                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.69        2500.00        99.0405                 NaN  0.643888       0.315656                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.46        2500.00        99.0319                 NaN  0.650401       0.317706                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.23        2500.00        99.8727                 NaN  0.801002E-001  0.266690E-001            NaN            NaN            NaN  0.205449E-001            NaN            NaN            NaN            NaN            NaN
  1483.01        2500.00        98.2557                 NaN  0.558211        1.18429                 NaN            NaN            NaN            NaN  0.176007E-002            NaN            NaN            NaN            NaN
  1481.78        2500.00        99.0657                 NaN  0.621256       0.311108                 NaN            NaN            NaN            NaN  0.192509E-002            NaN            NaN            NaN            NaN
  1480.55        2500.00        99.0703                 NaN  0.617977       0.309867                 NaN            NaN            NaN            NaN  0.186632E-002            NaN            NaN            NaN            NaN
  1479.32        2500.00        99.0768                 NaN  0.614072       0.307293                 NaN            NaN            NaN            NaN  0.179798E-002            NaN            NaN            NaN            NaN
  1478.09        2500.00        99.0826                 NaN  0.305589       0.610100                 NaN            NaN            NaN            NaN  0.174698E-002            NaN            NaN            NaN            NaN
  1476.86        2500.00        99.0875                 NaN  0.607081       0.303717                 NaN            NaN            NaN            NaN  0.168824E-002            NaN            NaN            NaN            NaN
  1475.63        2500.00        99.0882                 NaN  0.303595       0.606538                 NaN            NaN            NaN            NaN  0.162007E-002            NaN            NaN            NaN            NaN
  1474.40        2500.00        99.7914                 NaN  0.134248       0.739427E-001            NaN            NaN            NaN            NaN  0.366112E-003            NaN            NaN            NaN            NaN
  1473.17        2500.00        98.4227                 NaN   1.05469       0.519940                 NaN            NaN            NaN            NaN  0.269617E-002            NaN            NaN            NaN            NaN
  1471.94        2500.00        99.1100                 NaN  0.295567       0.592919                 NaN            NaN            NaN            NaN  0.146654E-002            NaN            NaN            NaN            NaN
  1470.72        2500.00        99.1163                 NaN  0.588240       0.294074                 NaN            NaN            NaN            NaN  0.139569E-002            NaN            NaN            NaN            NaN
  1469.49        2500.00        99.1208                 NaN  0.585559       0.292350                 NaN            NaN            NaN            NaN  0.133443E-002            NaN            NaN            NaN            NaN
  1468.26        2500.00        99.1257                 NaN  0.582118       0.290938                 NaN            NaN            NaN            NaN  0.129089E-002            NaN            NaN            NaN            NaN
  1467.03        2500.00        99.1307                 NaN  0.579034       0.289067                 NaN            NaN            NaN            NaN  0.124617E-002            NaN            NaN            NaN            NaN
  1465.80        2500.00        99.0397                 NaN  0.319230       0.639799                 NaN            NaN            NaN  0.398678E-005  0.129874E-002            NaN            NaN            NaN            NaN
  1464.57        2500.00        99.2374                 NaN  0.508533       0.253028                 NaN            NaN            NaN            NaN  0.101705E-002            NaN            NaN            NaN            NaN
  1463.34        2500.00        99.1437                 NaN  0.283551       0.571644                 NaN            NaN            NaN            NaN  0.110277E-002            NaN            NaN            NaN            NaN
  1462.11        2500.00        99.1506                 NaN  0.281377       0.566992                 NaN            NaN            NaN  0.143585E-004  0.104719E-002            NaN            NaN            NaN            NaN
  1460.88        2500.00        99.0244                 NaN  0.322650       0.651756                 NaN            NaN            NaN            NaN  0.116641E-002            NaN            NaN            NaN            NaN
  1459.65        2500.00        99.2860                 NaN  0.476827       0.236350                 NaN            NaN            NaN  0.997029E-006  0.819597E-003            NaN            NaN            NaN            NaN
  1458.43        2500.00        99.1632                 NaN  0.563306       0.265243                 NaN            NaN            NaN  0.732419E-002  0.901851E-003            NaN            NaN            NaN            NaN
  1457.20        2500.00        99.1656                 NaN  0.558152       0.275328                 NaN            NaN            NaN            NaN  0.890356E-003            NaN            NaN            NaN            NaN
  1455.97        2500.00        99.1717                 NaN  0.557893       0.263101                 NaN            NaN            NaN  0.645865E-002  0.833813E-003            NaN            NaN            NaN            NaN
  1454.74        2500.00        99.1760                 NaN  0.558749       0.251821                 NaN            NaN            NaN  0.126822E-001  0.770492E-003            NaN            NaN            NaN            NaN
  1453.51        2500.00        99.1814                 NaN  0.554756       0.250943                 NaN            NaN            NaN  0.122017E-001  0.743287E-003            NaN            NaN            NaN            NaN
  1452.28        2500.00        99.1848                 NaN  0.554862       0.243851                 NaN            NaN            NaN  0.158274E-001  0.704005E-003            NaN            NaN            NaN            NaN
  1451.05        2500.00        99.1109                 NaN  0.600825       0.279904                 NaN            NaN            NaN  0.758194E-002  0.753246E-003            NaN            NaN            NaN            NaN
  1449.82        2500.00        98.8852                 NaN  0.295809       0.564001                 NaN            NaN            NaN  0.804795E-001            NaN  0.174489                 NaN            NaN            NaN
  1448.59        2500.00        97.6693                 NaN  0.805158       0.525799                 NaN            NaN            NaN  0.298090                 NaN  0.701681                 NaN            NaN            NaN
  1447.36        2500.00        97.7101                 NaN  0.794639       0.508927                 NaN            NaN            NaN  0.296741                 NaN  0.689605                 NaN            NaN            NaN
  1446.14        2500.00        97.7456                 NaN  0.492316       0.786549                 NaN            NaN            NaN  0.296241                 NaN  0.679287                 NaN            NaN            NaN
  1444.91        2500.00        99.0871                 NaN  0.319136       0.196077                 NaN            NaN            NaN  0.121829       0.418246E-003  0.275452                 NaN            NaN            NaN
  1443.68        2500.00        96.5047                 NaN  0.741891        1.23123                 NaN            NaN            NaN  0.469328                 NaN   1.05283                 NaN            NaN            NaN
  1442.45        2500.00        97.8402                 NaN  0.764715       0.448339                 NaN            NaN            NaN  0.294916                 NaN  0.651833                 NaN            NaN            NaN
  1441.22        2500.00        97.8661                 NaN  0.431084       0.760587                 NaN            NaN            NaN  0.297931                 NaN  0.644301                 NaN            NaN            NaN
  1439.99        2500.00        97.9439                 NaN  0.414409       0.734283                 NaN            NaN            NaN  0.287724                 NaN  0.619648                 NaN            NaN            NaN
  1438.76        2500.00        97.9436                 NaN  0.402377       0.739979                 NaN            NaN            NaN  0.292961                 NaN  0.621054                 NaN            NaN            NaN
  1437.53        2500.00        97.9785                 NaN  0.383348       0.733954                 NaN            NaN            NaN  0.292229                 NaN  0.611960                 NaN            NaN            NaN
  1436.30        2500.00        98.0087                 NaN  0.723521       0.375567                 NaN            NaN            NaN  0.290834                 NaN  0.601426                 NaN            NaN            NaN
  1435.07        2500.00        98.0337                 NaN  0.361563       0.719091                 NaN            NaN            NaN  0.291368                 NaN  0.594282                 NaN            NaN            NaN
  1433.84        2500.00        98.0657                 NaN  0.348891       0.710495                 NaN            NaN            NaN  0.290293                 NaN  0.584646                 NaN            NaN            NaN
  1432.62        2500.00        98.0885                 NaN  0.335915       0.707075                 NaN            NaN            NaN  0.290542                 NaN  0.577942                 NaN            NaN            NaN
  1431.39        2500.00        98.1144                 NaN  0.700511       0.324135                 NaN            NaN            NaN  0.290405                 NaN  0.570542                 NaN            NaN            NaN
  1430.16        2500.00        98.1402                 NaN  0.695263       0.312007                 NaN            NaN            NaN  0.289878                 NaN  0.562617                 NaN            NaN            NaN
  1428.93        2500.00        98.1650                 NaN  0.690007       0.300090                 NaN            NaN            NaN  0.289651                 NaN  0.555222                 NaN            NaN            NaN
  1427.70        2500.00        98.1856                 NaN  0.288650       0.686783                 NaN            NaN            NaN  0.289922                 NaN  0.549066                 NaN            NaN            NaN
  1426.47        2500.00        98.2136                 NaN  0.279064       0.677857                 NaN            NaN            NaN  0.288854                 NaN  0.540604                 NaN            NaN            NaN
  1425.24        2500.00        98.2261                 NaN  0.265161       0.680245                 NaN            NaN            NaN  0.291326                 NaN  0.537126                 NaN            NaN            NaN
  1424.01        2500.00        98.2691                 NaN  0.665371       0.256163                 NaN            NaN            NaN  0.285872                 NaN  0.523528                 NaN            NaN            NaN
  1422.78        2500.00        98.2740                 NaN  0.669477       0.243062                 NaN            NaN            NaN  0.290041                 NaN  0.523450                 NaN            NaN            NaN
  1421.55        2500.00        97.8331                 NaN  0.410555       0.813103                 NaN            NaN            NaN  0.297541                 NaN  0.645675                 NaN            NaN            NaN
  1420.33        2500.00        98.8094                 NaN  0.412349E-001  0.503904                 NaN            NaN            NaN  0.275852                 NaN  0.369593                 NaN            NaN            NaN
  1419.10        2500.00        98.3428                 NaN  0.213743       0.653888                 NaN            NaN            NaN  0.287650                 NaN  0.501903                 NaN            NaN            NaN
  1417.87        2500.00        98.3606                 NaN  0.652772       0.201708                 NaN            NaN            NaN  0.288254                 NaN  0.496656                 NaN            NaN            NaN
  1416.64        2500.00        98.3847                 NaN  0.193884       0.645888                 NaN            NaN            NaN  0.286365                 NaN  0.489177                 NaN            NaN            NaN
  1415.41        2500.00        98.4027                 NaN  0.642063       0.184220                 NaN            NaN            NaN  0.286994                 NaN  0.484010                 NaN            NaN            NaN
  1414.18        2500.00        98.4190                 NaN  0.174040       0.641406                 NaN            NaN            NaN  0.286728                 NaN  0.478849                 NaN            NaN            NaN
  1412.95        2500.00        98.4383                 NaN  0.637636       0.164802                 NaN            NaN            NaN  0.286286                 NaN  0.472949                 NaN            NaN            NaN
  1411.72        2500.00        98.4538                 NaN  0.634451       0.156648                 NaN            NaN            NaN  0.286846                 NaN  0.468215                 NaN            NaN            NaN
  1410.49        2500.00        98.4703                 NaN  0.144226       0.634435                 NaN            NaN            NaN  0.287095                 NaN  0.463944                 NaN            NaN            NaN
  1409.26        2500.00        98.4944                 NaN  0.627297       0.139024                 NaN            NaN            NaN  0.283802                 NaN  0.455465                 NaN            NaN            NaN
  1408.04        2500.00        98.5058                 NaN  0.627278       0.129121                 NaN            NaN            NaN  0.285445                 NaN  0.452361                 NaN            NaN            NaN
  1406.81        2500.00        98.5237                 NaN  0.624101       0.120289                 NaN            NaN            NaN  0.284926                 NaN  0.446994                 NaN            NaN            NaN
