|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.5/GRV/GRV_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1592.95        2500.00       0.944752E-002   99.4807       0.509821                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.46        2500.00       0.283974E-003   99.0672       0.932548                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.98        2500.00                 NaN   99.0841       0.856086       0.598455E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.49        2500.00                 NaN   99.0820       0.918015                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.01        2500.00                 NaN   99.0905       0.900726       0.880584E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.52        2500.00                 NaN   99.0947       0.866771       0.385634E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.03        2500.00       0.195692E-002   99.1027       0.855256       0.400500E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.55        2500.00       0.428424E-003   99.1029       0.860231       0.364121E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.06        2500.00                 NaN   99.0818       0.883242       0.349796E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.58        2500.00                 NaN   99.1457       0.821983       0.323335E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.09        2500.00                 NaN   99.1222       0.846179       0.316577E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.60        2500.00                 NaN   99.1239       0.845893       0.302197E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.12        2500.00                 NaN   99.0834       0.886640       0.299739E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.63        2500.00                 NaN   99.1786       0.794863       0.265551E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.14        2500.00                 NaN   99.1365       0.836711       0.267837E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.66        2500.00                 NaN   99.1403       0.834457       0.252894E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.17        2500.00                 NaN   99.1455       0.830725       0.238122E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.69        2500.00                 NaN   99.1410       0.836478       0.225186E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.20        2500.00                 NaN   99.1544       0.824474       0.211432E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.71        2500.00                 NaN   98.5042                 NaN  0.812676E-001   1.41454                 NaN            NaN            NaN            NaN            NaN            NaN
  1563.23        2500.00       0.193580E-002   99.3854                 NaN            NaN  0.612666                 NaN            NaN            NaN            NaN            NaN            NaN
  1561.74        2500.00       0.333588E-002   99.2814                 NaN  0.920728E-001  0.623162                 NaN            NaN            NaN            NaN            NaN            NaN
