|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1.25/WD94/WD94_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1567.31        500.000       0.809179E-002   99.7703       0.134429       0.871355E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1565.89        500.000                 NaN   99.3888       0.576119       0.351274E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1564.47        500.000                 NaN   99.3755       0.590057       0.344006E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1563.04        500.000                 NaN   99.3877       0.580009       0.322604E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1561.62        500.000                 NaN   99.3893       0.579071       0.316606E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1560.20        500.000                 NaN   99.7199       0.265967       0.141695E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1558.78        500.000                 NaN   99.0738       0.881317       0.449004E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1557.36        500.000                 NaN   99.2129       0.750811       0.362700E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1555.94        500.000                 NaN   99.5943       0.385653       0.200194E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1554.51        500.000                 NaN   99.4246       0.548133       0.273028E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1553.09        500.000                 NaN   99.4201       0.553989       0.259256E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1551.67        500.000                 NaN   99.4251       0.548724       0.261329E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1550.25        500.000                 NaN   99.4327       0.540695       0.266018E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1548.83        500.000                 NaN   99.4348       0.541106       0.241266E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1547.40        500.000                 NaN   99.4407       0.535530       0.237886E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1545.98        500.000                 NaN   99.4464       0.527996       0.255625E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1544.56        500.000                 NaN   99.4514       0.525158       0.234888E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1543.14        500.000                 NaN   99.4550       0.522538       0.224302E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1541.72        500.000                 NaN   99.4481       0.535669       0.161931E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1540.30        500.000                 NaN   99.4724       0.505769       0.218201E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1538.87        500.000                 NaN   99.4671       0.513471       0.194118E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1537.45        500.000                 NaN   99.4722       0.508443       0.193570E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1536.03        500.000                 NaN   99.4708       0.513281       0.159074E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1534.61        500.000                 NaN   99.4828       0.500030       0.171759E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1533.19        500.000                 NaN   99.4850       0.497838       0.171396E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1531.76        500.000                 NaN   99.4884       0.494671       0.169531E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1530.34        500.000                 NaN   99.4932       0.490587       0.162252E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1528.92        500.000                 NaN   99.4964       0.487165       0.164285E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1527.50        500.000                 NaN   99.5022       0.482673       0.150818E-001            NaN            NaN            NaN            NaN            NaN            NaN
