|6.6.6
Archiving\03_Data\eq/QFM_m4.75/Y98/Y98_3.tab                              
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       pxmn           Ni             Sp(TH)         iron           O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an            
  2000.00        2500.00        99.2140       0.777576       0.838227E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.2140       0.777648       0.838227E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.2139       0.777719       0.838226E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.2138       0.777791       0.838226E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.2138       0.777863       0.838226E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.2137       0.777935       0.838226E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.2136       0.778006       0.838226E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.2135       0.778078       0.838227E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.2135       0.778150       0.838228E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.2134       0.778223       0.838229E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.2133       0.778295       0.838230E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.2133       0.778367       0.838231E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.2132       0.778440       0.838233E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.2131       0.778512       0.838234E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.2130       0.778584       0.838236E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.2130       0.778657       0.838239E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.2129       0.778730       0.838241E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.2128       0.778802       0.838243E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        99.2127       0.778875       0.838246E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        99.2127       0.778948       0.838249E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        99.2126       0.779021       0.838252E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        99.2125       0.779094       0.838256E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        99.2125       0.779167       0.838259E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        99.2124       0.779240       0.838263E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        99.2123       0.779313       0.838267E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        99.2122       0.779387       0.838271E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        99.2122       0.779460       0.838275E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        99.2121       0.779533       0.838280E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        99.2120       0.779607       0.838285E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        99.2119       0.779680       0.838289E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        99.2119       0.779754       0.838294E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        99.2118       0.779828       0.838300E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        99.2117       0.779902       0.838305E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        99.2116       0.779975       0.838311E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        99.2116       0.780049       0.838317E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        99.2115       0.780123       0.838323E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        99.2114       0.780197       0.838329E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        99.2113       0.780271       0.838336E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        99.2113       0.780346       0.838342E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        99.2112       0.780420       0.838349E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        99.2111       0.780494       0.838356E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        99.2110       0.780569       0.838363E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        99.2110       0.780643       0.838370E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        99.2109       0.780718       0.838378E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        99.2108       0.780792       0.838386E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        99.2107       0.780867       0.838394E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        99.2107       0.780942       0.838402E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        99.2106       0.781017       0.838410E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        99.2105       0.781091       0.838419E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        99.2104       0.781166       0.838427E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        99.2104       0.781241       0.838436E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        99.2103       0.781317       0.838445E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        99.2102       0.781392       0.838455E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        99.2101       0.781467       0.838464E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        99.2101       0.781542       0.838474E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        99.2100       0.781618       0.838483E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
