|6.6.6
Archiving\03_Data\DfracLP/QFM_m0.25/K22/K22_1.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       melt(TH)       melt(TH)       melt(TH)       O(HP)          Sp(TH)         ilm            Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        q             
  2000.00        500.000        99.4868                 NaN            NaN            NaN  0.513179                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1997.49        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1994.99        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1992.48        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1989.97        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.47        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1984.96        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1982.46        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1979.95        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.44        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.94        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1972.43        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1969.92        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.42        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.91        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1962.41        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1959.90        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1957.39        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        500.000        99.8478                 NaN            NaN            NaN  0.152156                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        500.000        99.3525                 NaN            NaN            NaN  0.647477                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        500.000        99.3571                 NaN            NaN            NaN  0.642869                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        500.000        99.3666                 NaN            NaN            NaN  0.633416                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000        99.3701                 NaN            NaN            NaN  0.629929                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000        99.3665                 NaN            NaN            NaN  0.623693       0.978075E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000        99.3812                 NaN            NaN            NaN  0.618805                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        99.3799                 NaN            NaN            NaN  0.612899       0.718294E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        99.3774                 NaN            NaN            NaN  0.606959       0.156470E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        99.3827                 NaN            NaN            NaN  0.601697       0.155799E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        99.3886                 NaN            NaN            NaN  0.595860       0.155705E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        99.3907                 NaN            NaN            NaN  0.593891       0.154485E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        99.3964                 NaN            NaN            NaN  0.588159       0.154044E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        99.4004                 NaN            NaN            NaN  0.584219       0.153617E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        99.4055                 NaN            NaN            NaN  0.579206       0.152818E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        99.4055                 NaN            NaN            NaN  0.579199       0.153399E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        99.4155                 NaN            NaN            NaN  0.569369       0.150815E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        99.4164                 NaN            NaN            NaN  0.568494       0.151398E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        99.4206                 NaN            NaN            NaN  0.564322       0.150782E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.4239                 NaN            NaN            NaN  0.561081       0.150239E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.4275                 NaN            NaN            NaN  0.557529       0.149800E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.4295                 NaN            NaN            NaN  0.555465       0.149887E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.4353                 NaN            NaN            NaN  0.549838       0.148280E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.4366                 NaN            NaN            NaN  0.548533       0.148666E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.4403                 NaN            NaN            NaN  0.544911       0.147779E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.4423                 NaN            NaN            NaN  0.542965       0.147571E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.4460                 NaN            NaN            NaN  0.539292       0.146730E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.4469                 NaN            NaN            NaN  0.538374       0.146810E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.4513                 NaN            NaN            NaN  0.534149       0.145918E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.4530                 NaN            NaN            NaN  0.532456       0.145622E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.4551                 NaN            NaN            NaN  0.530360       0.145350E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.4558                 NaN            NaN            NaN  0.529623       0.145452E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.4603                 NaN            NaN            NaN  0.525270       0.143892E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.4142                 NaN            NaN            NaN  0.570077       0.156745E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.5084                 NaN            NaN            NaN  0.478474       0.131149E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.4653                 NaN            NaN            NaN  0.520459       0.142865E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.4662                 NaN            NaN            NaN  0.519502       0.142857E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.4659                 NaN            NaN            NaN  0.519807       0.143081E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.6733                 NaN            NaN            NaN  0.317570       0.909222E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.2696                 NaN            NaN            NaN  0.711170       0.192004E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        98.9674                 NaN            NaN            NaN   1.00507       0.275324E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.9731                 NaN            NaN            NaN  0.262137E-001  0.672229E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.5888                 NaN            NaN            NaN  0.400170       0.110013E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.3571                 NaN            NaN            NaN  0.625737       0.171309E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.4737                 NaN            NaN            NaN  0.512300       0.140297E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.4740                 NaN            NaN            NaN  0.511995       0.139907E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.4985                 NaN            NaN            NaN  0.488135       0.133210E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.4526                 NaN            NaN            NaN  0.532907       0.145119E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.4717                 NaN            NaN            NaN  0.514286       0.140299E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.4795                 NaN            NaN            NaN  0.506770       0.137294E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.5779                 NaN            NaN            NaN  0.410987       0.111584E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.3717                 NaN            NaN            NaN  0.611805       0.165297E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.4740                 NaN            NaN            NaN  0.512173       0.138025E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.4748                 NaN            NaN            NaN  0.511489       0.137586E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.4742                 NaN            NaN            NaN  0.512097       0.137236E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.4725                 NaN            NaN            NaN  0.513726       0.137299E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.4732                 NaN            NaN            NaN  0.513132       0.136590E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.4710                 NaN            NaN            NaN  0.515348       0.136767E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.4700                 NaN            NaN            NaN  0.516391       0.136558E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.4698                 NaN            NaN            NaN  0.516573       0.135887E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.4675                 NaN            NaN            NaN  0.518850       0.136034E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.2610                 NaN            NaN            NaN  0.720166       0.188289E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.8128                 NaN            NaN            NaN  0.182596       0.464375E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.3216                 NaN            NaN            NaN  0.661218       0.172287E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.4613                 NaN            NaN            NaN  0.525204       0.135269E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.4584                 NaN            NaN            NaN  0.528039       0.135243E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.4592                 NaN            NaN            NaN  0.527389       0.134452E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.4550                 NaN            NaN            NaN  0.531549       0.134652E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.4543                 NaN            NaN            NaN  0.532244       0.134237E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.4498                 NaN            NaN            NaN  0.536735       0.134695E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.4494                 NaN            NaN            NaN  0.537179       0.133956E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.4466                 NaN            NaN            NaN  0.540060       0.133882E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.4435                 NaN            NaN            NaN  0.543141       0.133985E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.4410                 NaN            NaN            NaN  0.545605       0.133657E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.4385                 NaN            NaN            NaN  0.548172       0.133438E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.4352                 NaN            NaN            NaN  0.551402       0.133495E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.4313                 NaN            NaN            NaN  0.555374       0.133435E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.4283                 NaN            NaN            NaN  0.558365       0.133304E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.4264                 NaN            NaN            NaN  0.560303       0.132857E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.9804                 NaN            NaN            NaN  0.192235E-001  0.362422E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        98.8624                 NaN            NaN            NaN   1.11141       0.261554E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.4151                 NaN            NaN            NaN  0.571635       0.132822E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.4112                 NaN            NaN            NaN  0.575551       0.132739E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.4092                 NaN            NaN            NaN  0.577519       0.132330E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.4049                 NaN            NaN            NaN  0.581843       0.132375E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.4035                 NaN            NaN            NaN  0.583157       0.133193E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.3954                 NaN            NaN            NaN  0.591469       0.131475E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.3928                 NaN            NaN            NaN  0.593976       0.132355E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.3900                 NaN            NaN            NaN  0.596776       0.132076E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.3851                 NaN            NaN            NaN  0.601660       0.132126E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.3813                 NaN            NaN            NaN  0.605497       0.132037E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.3764                 NaN            NaN            NaN  0.610372       0.132295E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.3757                 NaN            NaN            NaN  0.611200       0.131429E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
