|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m3.75/K22/K22_3.tab                   
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        San(TH)        ilm            q             
  1599.36        500.000        99.2231                 NaN  0.776874                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1597.86        500.000        99.1392                 NaN  0.838352       0.224483E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.36        500.000        99.1465                 NaN  0.796997       0.564989E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.85        500.000        99.1625                 NaN  0.837531       0.635334E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.35        500.000        99.1657                 NaN  0.834274                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.85        500.000        99.1748                 NaN  0.825186                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.35        500.000        99.1823                 NaN  0.817743                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.84        500.000        99.1898                 NaN  0.810224                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.34        500.000        99.2008                 NaN  0.798362       0.878868E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.84        500.000        99.2077                 NaN  0.779461       0.128742E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.34        500.000        99.2174                 NaN  0.761584       0.210348E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.84        500.000        99.2222                 NaN  0.759963       0.178550E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.33        500.000        99.2392                 NaN  0.742254       0.184977E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.83        500.000        99.2376                 NaN  0.746188       0.162178E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.33        500.000        99.2503                 NaN  0.733518       0.162021E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.83        500.000        99.2571                 NaN  0.726875       0.160039E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.33        500.000        99.2639                 NaN  0.720666       0.153952E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.82        500.000        99.6721                 NaN  0.320695       0.717031E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.32        500.000        98.8798                 NaN   1.09646       0.237433E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.82        500.000        99.2839                 NaN  0.703010       0.131076E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.32        500.000        99.2901                 NaN  0.699102       0.107739E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.81        500.000        99.2993                 NaN  0.683382       0.173531E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.31        500.000        99.3037                 NaN  0.692336       0.400045E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.81        500.000        99.3110                 NaN  0.679258       0.974020E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.31        500.000        99.3197                 NaN  0.657801       0.224626E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.81        500.000        99.3254                 NaN  0.657119       0.174475E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.30        500.000        99.3320                 NaN  0.646392       0.216372E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.80        500.000        99.3353                 NaN  0.664656                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.30        500.000        99.3404                 NaN  0.659587                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.80        500.000        99.3502                 NaN  0.626964       0.228122E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.30        500.000        99.3530                 NaN  0.646952       0.308328E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        500.000        99.3611                 NaN  0.619363       0.195835E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.29        500.000        99.3013                 NaN  0.648009       0.507366E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.79        500.000        99.4404                 NaN  0.559579                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.29        500.000        99.3747                 NaN  0.625330                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.78        500.000        99.3800                 NaN  0.619958       0.140971E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.28        500.000        99.3847                 NaN  0.615312       0.167987E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.78        500.000        99.3910                 NaN  0.608950                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.28        500.000        99.3958                 NaN  0.604168                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.78        500.000        99.4020                 NaN  0.597990                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.27        500.000        99.4058                 NaN  0.594202                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.77        500.000        99.4107                 NaN  0.589303                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.27        500.000        99.4295                 NaN  0.488220       0.823000E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.77        500.000        99.4221                 NaN  0.577930                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.27        500.000        99.4257                 NaN  0.574277                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.76        500.000        99.4293                 NaN  0.570450       0.272206E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.26        500.000        99.4343                 NaN  0.565717                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.76        500.000        99.4374                 NaN  0.562554                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.26        500.000        99.4364                 NaN  0.563649                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.75        500.000        99.4552                 NaN  0.544840                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.25        500.000        99.4504                 NaN  0.549605       0.689223E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.75        500.000        99.4554                 NaN  0.544568                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.25        500.000        99.4420                 NaN  0.557991                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.75        500.000        99.4911                 NaN  0.508864                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.24        500.000        99.4506                 NaN  0.549432                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.74        500.000        99.4708                 NaN  0.529205                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.24        500.000        99.4757                 NaN  0.524256                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.74        500.000        99.4801                 NaN  0.519854                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.23        500.000        99.4823                 NaN  0.517698                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.73        500.000        99.4854                 NaN  0.514571                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.23        500.000        99.4909                 NaN  0.509080                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.73        500.000        99.4925                 NaN  0.507539                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.23        500.000        99.4944                 NaN  0.505580                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.72        500.000        99.4961                 NaN  0.489106                 NaN  0.147886E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.22        500.000        99.4271                 NaN  0.182440                 NaN  0.390478                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.72        500.000        99.4495                 NaN  0.681652E-001            NaN  0.482373                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.22        500.000        99.3202                 NaN  0.132657                 NaN  0.547132                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.72        500.000        99.3834                 NaN            NaN            NaN  0.616582                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.21        500.000        99.3671                 NaN  0.141332                 NaN  0.491609                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.71        500.000        99.4060                 NaN            NaN            NaN  0.593954                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.21        500.000        99.3919                 NaN            NaN            NaN  0.608118                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.71        500.000        99.3885                 NaN            NaN            NaN  0.611470                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.20        500.000        99.2548                 NaN            NaN            NaN  0.745173                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.70        500.000        99.6453                 NaN  0.237513E-002            NaN  0.352346                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.20        500.000        99.2593                 NaN            NaN            NaN  0.740676                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.70        500.000        99.3814                 NaN            NaN            NaN  0.618554                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.20        500.000        99.3881                 NaN            NaN            NaN  0.611875                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.69        500.000        99.3793                 NaN            NaN            NaN  0.620685                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.19        500.000        99.3773                 NaN            NaN            NaN  0.622684                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.69        500.000        99.0914                 NaN            NaN            NaN  0.425589       0.482980                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.19        500.000        98.9799                 NaN            NaN            NaN  0.417254       0.602829                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.69        500.000        98.9905                 NaN            NaN            NaN  0.597024       0.412441                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.18        500.000        99.0040                 NaN            NaN            NaN  0.589854       0.406098                 NaN            NaN            NaN            NaN            NaN            NaN
  1474.68        500.000        99.0177                 NaN            NaN            NaN  0.582359       0.399963                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.18        500.000        99.0302                 NaN            NaN            NaN  0.575410       0.394370                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.68        500.000        99.0399                 NaN            NaN            NaN  0.390121       0.570019                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.17        500.000        99.0502                 NaN            NaN            NaN  0.564490       0.385329                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.67        500.000        99.0619                 NaN            NaN            NaN  0.558105       0.380006                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.17        500.000        99.0746                 NaN            NaN            NaN  0.374265       0.551113                 NaN            NaN            NaN            NaN            NaN            NaN
  1465.67        500.000        99.2826                 NaN            NaN            NaN  0.428209       0.289229                 NaN            NaN            NaN            NaN            NaN            NaN
  1464.17        500.000        98.8930                 NaN            NaN            NaN  0.660927       0.446054                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.66        500.000        99.1055                 NaN            NaN            NaN  0.534800       0.359686                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.16        500.000        99.1142                 NaN            NaN            NaN  0.355541       0.530253                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.66        500.000        99.1230                 NaN            NaN            NaN  0.525109       0.351928                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.16        500.000        99.1335                 NaN            NaN            NaN  0.346678       0.519841                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.66        500.000        99.1449                 NaN            NaN            NaN  0.513311       0.341831                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.15        500.000        99.1528                 NaN            NaN            NaN  0.338059       0.509158                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.65        500.000        99.1614                 NaN            NaN            NaN  0.504694       0.333877                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.15        500.000        99.1691                 NaN            NaN            NaN  0.500089       0.330798                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.65        500.000        99.1837                 NaN            NaN            NaN  0.324080       0.492242                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.14        500.000        99.1877                 NaN            NaN            NaN  0.489842       0.322457                 NaN            NaN            NaN            NaN            NaN            NaN
