|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m3.75/K22/K22_1.tab                   
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        San(TH)        ilm            q             
  1599.36        500.000        99.1119                 NaN  0.888086                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1597.86        500.000        99.0152                 NaN  0.958522       0.262295E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.36        500.000        99.0225                 NaN  0.911494       0.660348E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.85        500.000        99.0417                 NaN  0.958245       0.742986E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.35        500.000        99.0451                 NaN  0.954871                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.85        500.000        99.0553                 NaN  0.944651                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.35        500.000        99.0638                 NaN  0.936215                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.84        500.000        99.0720                 NaN  0.927987                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.34        500.000        99.0845                 NaN  0.914509       0.102931E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.84        500.000        99.0917                 NaN  0.893195       0.150878E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.34        500.000        99.1024                 NaN  0.872916       0.246525E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.84        500.000        99.1078                 NaN  0.871258       0.209338E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.33        500.000        99.1270                 NaN  0.851277       0.217014E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.83        500.000        99.1251                 NaN  0.855907       0.190336E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.33        500.000        99.1393                 NaN  0.841642       0.190230E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.83        500.000        99.1470                 NaN  0.834238       0.187965E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.33        500.000        99.1545                 NaN  0.827388       0.180884E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.82        500.000        99.6230                 NaN  0.368607       0.843153E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.32        500.000        98.7133                 NaN   1.25885       0.279023E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.82        500.000        99.1768                 NaN  0.807767       0.154189E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.32        500.000        99.1839                 NaN  0.803413       0.126785E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
