|6.6.6
Archiving\03_Data\Deqfrac/QFM_m4.5/WD94/WD94_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1637.82        2500.00        99.7671                 NaN  0.812089E-001  0.151678                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.22        2500.00        98.8860                 NaN  0.968987       0.145053                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.62        2500.00        98.8955                 NaN  0.961182       0.143339                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1633.02        2500.00        98.9132                 NaN  0.945945       0.140838                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.43        2500.00        98.9199                 NaN  0.940505       0.139592                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.83        2500.00        98.9372                 NaN  0.925229       0.137586                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1628.23        2500.00        98.9456                 NaN  0.919208       0.135165                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.63        2500.00        98.9580                 NaN  0.908424       0.133593                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1625.03        2500.00        98.9112                 NaN  0.950908       0.137909                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.43        2500.00        99.0337                 NaN  0.842371       0.123948                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.83        2500.00        98.9927                 NaN  0.879371       0.127902                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.24        2500.00        99.0032                 NaN  0.870178       0.126626                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.64        2500.00        98.9917                 NaN  0.879408       0.128888                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.04        2500.00        99.1793                 NaN  0.716885       0.103813                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.44        2500.00        98.8965                 NaN  0.964426       0.139082                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1613.84        2500.00        99.0447                 NaN  0.835938       0.119334                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.24        2500.00        99.0542                 NaN  0.826865       0.118918                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.64        2500.00        99.0631                 NaN  0.820236       0.116641                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.05        2500.00        99.0736                 NaN  0.811079       0.115281                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.45        2500.00        99.0819                 NaN  0.804535       0.113550                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1605.85        2500.00        99.0661                 NaN  0.819077       0.114867                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.25        2500.00        99.4056                 NaN  0.523093       0.712667E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.65        2500.00        98.8282                 NaN   1.02879       0.143006                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.05        2500.00        99.1186                 NaN  0.773991       0.107435                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.45        2500.00        99.0944                 NaN  0.797655       0.107992                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1597.86        2500.00        98.0328                 NaN   1.69441       0.272770                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.26        2500.00       100.0000                 NaN            NaN  0.267857E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.66        2500.00        99.4672                 NaN  0.468070       0.647304E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.06        2500.00        99.1115                 NaN  0.783151       0.105307                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.46        2500.00        99.7184                 NaN  0.245277       0.363371E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.86        2500.00        98.6664                 NaN   1.18415       0.149470                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.27        2500.00        99.1847                 NaN  0.720941       0.943776E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.67        2500.00        99.1886                 NaN  0.717419       0.939382E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.07        2500.00        99.1996                 NaN  0.708278       0.921053E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.47        2500.00        99.2053                 NaN  0.702912       0.918294E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.87        2500.00        99.2116                 NaN  0.696247       0.921989E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.27        2500.00        99.2190                 NaN  0.693890       0.870790E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.67        2500.00        99.2252                 NaN  0.687579       0.872055E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.08        2500.00        99.2322                 NaN  0.681276       0.865017E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.48        2500.00        99.2374                 NaN  0.677984       0.846344E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.88        2500.00        99.2481                 NaN  0.668257       0.836830E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.28        2500.00        99.2519                 NaN  0.665431       0.826643E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.68        2500.00        99.2587                 NaN  0.660440       0.808807E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.08        2500.00        99.2636                 NaN  0.656842       0.795295E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.48        2500.00        99.2726                 NaN  0.647684       0.797011E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.89        2500.00        99.2772                 NaN  0.645247       0.775987E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.29        2500.00        99.2825                 NaN  0.640991       0.764907E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
