|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.25/TAY13/TAY13_1.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1564.10        500.000       0.236123E-001   99.8921       0.843066E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.69        500.000       0.161793E-002   99.6353       0.152988E-005  0.363063                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.27        500.000                 NaN   99.0247       0.453897E-005  0.975325                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.86        500.000                 NaN   99.3230                 NaN  0.676968                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.44        500.000                 NaN   99.3306       0.130058E-001  0.656388                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.03        500.000                 NaN   99.5446       0.906275E-002  0.446316                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.62        500.000                 NaN   99.1297       0.833180E-002  0.861997                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.20        500.000                 NaN   99.3481       0.329977E-001  0.618950                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        500.000                 NaN   99.3520       0.306808E-001  0.617282                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000                 NaN   99.3580       0.302899E-001  0.611694                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.96        500.000                 NaN   99.3639       0.294805E-001  0.606624                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.55        500.000                 NaN   99.3697       0.315935E-001  0.598701                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.13        500.000                 NaN   99.3337       0.325686E-001  0.633697                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.72        500.000                 NaN   99.7929       0.953577E-002  0.197554                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.31        500.000                 NaN   99.0143       0.418357E-001  0.943901                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.89        500.000                 NaN   99.3861       0.268554E-001  0.587049                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.48        500.000                 NaN   99.4002       0.272013E-001  0.572594                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.07        500.000                 NaN   99.3972       0.237044E-001  0.579046                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.65        500.000                 NaN   99.4052       0.243541E-001  0.570449                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.24        500.000                 NaN   99.4051       0.225716E-001  0.572374                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.82        500.000                 NaN   99.3698       0.253940E-001  0.604800                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.41        500.000                 NaN   99.4647       0.203319E-001  0.514992                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.00        500.000                 NaN   99.4223       0.218712E-001  0.555816                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.58        500.000                 NaN   99.2412       0.229369E-001  0.735892                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.17        500.000                 NaN   99.6144       0.129047E-001  0.372724                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.76        500.000                 NaN   99.4345       0.186600E-001  0.546870                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.34        500.000                 NaN   99.4362       0.174846E-001  0.546312                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.93        500.000                 NaN   99.4441       0.174551E-001  0.538424                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.51        500.000                 NaN   99.4471       0.162856E-001  0.536638                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.10        500.000                 NaN   99.4508       0.159163E-001  0.533320                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.69        500.000                 NaN   99.4543       0.148098E-001  0.530911                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.27        500.000                 NaN   99.4595       0.155011E-001  0.525024                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.86        500.000                 NaN   99.4619       0.131868E-001  0.524934                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.45        500.000                 NaN   99.8038       0.513243E-002  0.191092                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.03        500.000                 NaN   99.1315       0.191837E-001  0.849282                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.62        500.000                 NaN   99.4736       0.122903E-001  0.514067                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.20        500.000                 NaN   99.4771       0.986896E-002  0.513042                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.79        500.000                 NaN   99.4796       0.955018E-002  0.510836                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.38        500.000                 NaN   99.4843       0.956223E-002  0.506154                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.96        500.000                 NaN   99.4860       0.831827E-002  0.505699                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.55        500.000                 NaN   99.4928       0.100252E-001  0.497127                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.13        500.000                 NaN   99.4934       0.655817E-002  0.499997                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.72        500.000                 NaN   99.4984       0.826538E-002  0.493355                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.31        500.000                 NaN   99.0024       0.997554                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.89        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.48        500.000                 NaN   99.6520                 NaN  0.347971                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.07        500.000                 NaN   99.5124                 NaN  0.487576                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.65        500.000                 NaN   99.5147                 NaN  0.485303                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.24        500.000                 NaN   99.4356                 NaN  0.564431                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.82        500.000                 NaN   99.6919                 NaN  0.308082                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.41        500.000                 NaN   99.4333                 NaN  0.566703                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.00        500.000                 NaN   99.5259                 NaN  0.474127                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.58        500.000                 NaN   99.5293                 NaN  0.470666                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.17        500.000                 NaN   99.5323                 NaN  0.467658                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.76        500.000                 NaN   99.5343       0.536907E-005  0.465733                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.34        500.000                 NaN   99.5377                 NaN  0.462271                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.93        500.000                 NaN   99.5347                 NaN  0.465285                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.51        500.000                 NaN   99.5504                 NaN  0.449575                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.10        500.000                 NaN   99.5425                 NaN  0.457497                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.69        500.000                 NaN   99.5503                 NaN  0.449669                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.27        500.000                 NaN   99.5515                 NaN  0.448527                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.86        500.000                 NaN   99.5540                 NaN  0.445953                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.45        500.000                 NaN   99.5538                 NaN  0.446221                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.03        500.000                 NaN   99.5582                 NaN  0.441786                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.62        500.000                 NaN   99.5601                 NaN  0.439927                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.20        500.000                 NaN   99.5615                 NaN  0.438534                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.79        500.000                 NaN   99.5646                 NaN  0.435440                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.38        500.000                 NaN   99.5671                 NaN  0.432913                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.96        500.000                 NaN   99.5688                 NaN  0.431209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.55        500.000                 NaN   99.5800                 NaN  0.419991                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.14        500.000                 NaN   99.5669                 NaN  0.433064                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.72        500.000                 NaN   99.1965                 NaN  0.150120       0.653348                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.31        500.000                 NaN   99.7405                 NaN  0.116523E-001  0.247824                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.89        500.000                 NaN   99.5994                 NaN            NaN  0.400621                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.48        500.000                 NaN   99.9297                 NaN  0.310222E-001  0.392987E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1458.07        500.000                 NaN   98.9658                 NaN            NaN   1.03421                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.65        500.000                 NaN   99.4860                 NaN  0.143000       0.371006                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.24        500.000                 NaN   99.4807                 NaN            NaN  0.519308                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.82        500.000                 NaN   99.4789                 NaN            NaN  0.521132                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.41        500.000                 NaN   99.4775                 NaN            NaN  0.522486                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.00        500.000                 NaN   99.4253                 NaN            NaN  0.574666                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.58        500.000                 NaN   99.5323                 NaN            NaN  0.467685                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.17        500.000                 NaN   99.4762                 NaN            NaN  0.523760                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.76        500.000                 NaN   99.4732                 NaN            NaN  0.526790                 NaN            NaN            NaN            NaN            NaN            NaN
